"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","1748","1470","834","733","113","49","204","145","171","153","8","32","110","36","323","80","85","1179","289","0","301","216","279","256","256"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","2417","1525","847","386","119","54","210","123","349","205","226","25","51","10","672","356","84","1802","790","0","1560","368","504","422","320"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","2052","1104","643","196","41","87","442","287","287","380","61","79","10","45","184","217","48","988","353","0","521","65","186","257","291"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","648","349","335","98","6","130","23","172","132","36","51","88","71","13","636","774","150","819","496","120","2692","336","863","1004","1017"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","11"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","1334","675","770","234","5","69","25","406","101","86","0","34","216","145","431","569","62","1147","1070","0","1881","366","834","714","1090"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","2567","1446","549","326","56","136","459","270","265","238","49","33","23","41","253","209","111","1440","477","72","645","231","310","318","443"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","191","20","5","4","9","4","19","46","17","17","0","50","30","4","9","22","0","68","32","13","218","74","261","177","292"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","653","196","277","265","52","43","47","131","83","135","168","8","111","105","416","448","59","715","401","0","891","688","918","514","1039"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","787","294","313","346","30","122","0","157","145","25","43","4","74","30","326","277","42","688","270","69","726","545","838","468","534"
