"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","22","3","0","0","7","0","0","0","13","0","0","0","0","0","11","72","11","2","12","0","83","28","48","20","15"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","89","31","21","37","0","14","0","0","0","0","0","7","13","6","53","7","0","72","48","0","114","149","167","94","86"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","1187","885","613","147","41","163","356","107","242","226","66","115","535","97","204","161","155","943","559","0","236","133","402","750","827"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","1311","382","242","164","51","56","127","252","121","220","67","138","379","159","490","615","78","963","1090","96","1087","713","948","998","1201"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","1454","557","368","74","165","93","237","514","368","189","25","23","101","105","223","138","64","582","335","0","387","159","216","588","417"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","69","49","4","21","150","0","0","200","12","0","38","17","20","0","226","52","153","63","220","0","34","7","18","16","113"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","299","58","72","17","19","41","0","53","13","0","0","65","71","14","417","216","26","301","397","0","775","55","327","233","648"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","1240","750","608","408","155","26","283","480","379","858","96","50","16","0","387","51","83","1093","412","0","47","57","130","165","222"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","869","455","314","277","68","134","26","159","170","160","14","96","73","122","279","455","51","347","818","0","524","568","554","972","1120"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","1389","672","637","590","187","189","310","534","284","329","26","41","84","24","246","121","46","757","393","0","314","238","343","263","190"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","880","1007","683","137","204","145","382","388","358","414","50","41","65","31","439","24","62","890","423","0","143","85","169","198","71"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","71","18","11","0","0","0","0","0","5","0","0","4","34","5","0","22","0","26","46","0","18","16","19","18","136"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","582","317","180","131","137","80","0","121","49","47","42","53","176","47","268","292","94","533","466","0","281","298","494","1100","554"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","961","788","826","392","146","63","187","569","445","466","204","27","95","56","321","244","28","695","1031","7","404","143","180","240","566"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","532","517","293","144","56","19","45","262","61","49","107","71","251","147","868","457","34","651","672","14","1040","519","1025","943","2103"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","1750","1138","1715","263","172","355","278","597","228","348","113","20","37","9","585","125","163","1473","1309","36","347","298","511","271","468"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","324","100","350","176","167","0","67","21","0","37","73","0","0","98","29","66","0","282","206","0","71","102","245","180","152"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","6","0","14","10","0","0","0","1","0","0","0","2","0","0","8","0","0","24","4","2","24","10","6","12","74"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","0","2","18","0","0","2","0","2","3","0","0","9","2","0","5","0","6","4","2","0","21","4","2","6","14"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","424","111","106","61","13","12","0","57","8","25","18","10","153","130","90","225","0","306","113","0","457","356","323","237","419"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","54","20","19","11","0","0","0","5","31","0","0","20","0","0","55","27","0","171","30","0","77","125","96","18","22"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","707","426","426","335","164","96","19","373","281","198","92","114","72","206","462","938","138","371","823","18","1566","556","1130","460","1064"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","456","207","179","107","17","120","92","134","213","71","0","34","14","40","309","127","73","253","255","112","107","9","296","122","363"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","658","754","502","247","159","85","137","191","150","254","95","79","208","29","558","191","22","623","485","9","267","146","127","237","466"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","87","41","24","22","2","1","0","110","0","12","3","0","81","0","19","34","0","69","30","3","88","32","61","22","105"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","25","0","240","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","21","0","0","31","36","21","24"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","320","93","76","39","32","26","0","54","0","65","13","43","15","48","24","98","2","199","58","0","142","95","321","31","56"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","21","4","26","4","0","0","0","1","2","0","2","0","72","2","52","24","6","11","5","0","25","201","15","35","3"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","2383","1386","1381","563","213","161","226","964","297","423","199","201","119","639","589","682","197","1409","965","2","927","678","1021","664","821"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","2227","1466","2196","1009","94","167","255","699","198","607","161","63","132","54","457","216","199","1164","272","0","584","208","443","544","263"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","2696","1180","1205","664","244","83","209","675","209","671","53","129","122","5","416","289","81","1254","384","0","384","196","125","187","239"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","306","52","4","92","52","22","0","5","4","24","0","47","7","11","50","166","0","124","120","0","381","271","345","120","258"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","1085","414","304","181","84","11","18","125","105","149","60","45","86","49","113","31","36","457","134","0","69","119","102","99","123"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","977","104","254","188","37","77","149","145","129","137","48","0","15","156","115","98","51","374","266","0","158","122","79","85","25"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","183","29","31","13","0","19","0","0","0","22","37","4","33","27","37","84","3","144","101","22","125","152","111","171","90"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","3020","1814","2068","844","271","168","154","605","389","649","148","81","327","248","723","342","94","2054","1476","0","784","570","813","802","846"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","74","0","0","0","0","0","0","8","0","0","0","0","0","0","11","9","0","0","9","0","35","16","11","0","19"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","33","27","0","8","0","0","0","0","0","0","0","9","0","8","0","0","0","0","0","0","6","4","0","0","0"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","485","229","477","139","31","0","0","78","0","143","14","19","33","20","81","221","15","489","250","9","628","381","241","63","96"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","11","2","0","0","0","0","0","1","0","2","8","0","0","0","0","0","0","0","6","0","17","1","4","38","7"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","2401","944","1987","585","219","31","188","354","258","326","31","82","170","69","526","120","171","911","253","0","299","151","472","256","174"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","4","3","7","0","0","0","0","0","0","0","0","0","0","2","4","0","0","8","2","3","16","5","2","4","14"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","270","19","26","84","20","0","0","15","27","2","3","8","41","0","41","29","0","51","29","14","113","76","184","93","168"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","1260","794","590","1063","89","61","31","331","169","145","18","7","34","260","301","326","50","560","659","18","553","802","1051","864","950"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","85","7","37","17","0","0","0","16","43","2","0","0","3","6","18","11","0","57","32","0","25","28","35","13","32"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","122","63","12","12","0","1","0","17","0","0","16","2","12","20","40","22","11","106","153","0","97","72","62","92","21"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","1192","540","639","328","15","16","57","292","181","87","125","49","274","134","285","408","85","470","444","25","627","478","487","403","632"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","1819","663","597","341","50","60","153","99","49","735","96","0","94","58","287","170","173","824","429","10","251","386","257","340","160"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","19","1","28","34","0","0","11","0","0","0","0","52","11","0","36","67","0","58","0","0","158","106","89","4","41"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","1525","821","396","427","126","236","90","282","165","233","138","121","212","223","707","495","146","1367","880","60","1263","1038","1827","1150","797"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","502","58","130","175","12","38","0","61","116","48","0","68","146","109","151","106","90","486","262","0","651","296","379","135","466"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","215","143","201","79","4","0","0","46","4","81","0","2","128","9","149","119","0","56","34","0","44","51","77","28","53"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","1079","315","687","402","53","75","16","76","89","339","14","0","106","57","87","345","35","346","185","34","315","209","82","176","126"
"publicpolygonfeature:5:46417","ZIP Code 43065","country:us/state:oh/zip:43065","43065","2904","1355","1027","673","175","33","312","565","487","744","96","32","143","92","285","221","227","1665","529","0","373","139","133","211","290"
"publicpolygonfeature:5:46418","ZIP Code 43066","country:us/state:oh/zip:43066","43066","10","69","0","13","0","0","0","0","0","0","13","0","0","41","0","22","0","75","0","0","27","30","16","21","0"
"publicpolygonfeature:5:46419","ZIP Code 43067","country:us/state:oh/zip:43067","43067","38","10","78","0","0","0","0","0","0","10","0","0","11","8","12","13","0","57","0","0","110","22","71","10","9"
"publicpolygonfeature:5:46420","ZIP Code 43068","country:us/state:oh/zip:43068","43068","1781","1122","1352","233","112","132","87","422","219","36","176","82","397","153","967","592","208","1219","1179","13","814","856","1358","907","2182"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","1113","434","199","210","21","11","7","84","59","55","136","0","69","39","257","143","55","475","264","0","146","228","238","122","199"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","361","200","91","176","14","9","3","110","86","11","24","0","38","6","77","15","0","287","112","14","244","187","144","256","55"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077","14","0","0","3","0","1","0","1","1","0","0","0","1","2","3","4","0","36","3","0","4","3","3","4","4"
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","146","6","1","24","0","3","0","0","3","27","0","12","3","20","15","128","14","129","17","12","124","98","155","103","27"
"publicpolygonfeature:5:46427","ZIP Code 43081","country:us/state:oh/zip:43081","43081","3042","1401","2056","766","111","165","249","533","451","392","178","176","421","190","752","369","293","1674","985","17","1151","492","629","579","529"
"publicpolygonfeature:5:46428","ZIP Code 43082","country:us/state:oh/zip:43082","43082","2617","1218","973","441","28","145","144","460","66","169","71","25","85","93","549","162","151","1002","616","0","294","159","145","92","205"
"publicpolygonfeature:5:46430","ZIP Code 43085","country:us/state:oh/zip:43085","43085","1225","506","827","328","130","69","99","281","165","279","67","97","118","111","419","227","96","589","395","0","155","144","167","163","231"
"publicpolygonfeature:5:46432","ZIP Code 43102","country:us/state:oh/zip:43102","43102","91","29","27","8","0","17","0","5","0","0","8","0","0","25","87","20","26","60","70","0","93","210","117","59","44"
"publicpolygonfeature:5:46433","ZIP Code 43105","country:us/state:oh/zip:43105","43105","265","87","78","63","0","23","9","11","16","28","21","11","161","47","23","57","44","176","92","33","270","147","145","142","99"
"publicpolygonfeature:5:46435","ZIP Code 43107","country:us/state:oh/zip:43107","43107","75","12","23","0","6","0","0","35","0","21","19","0","7","4","31","97","0","71","19","0","168","31","136","57","98"
"publicpolygonfeature:5:46436","ZIP Code 43109","country:us/state:oh/zip:43109","43109","2","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","1"
"publicpolygonfeature:5:46437","ZIP Code 43119","country:us/state:oh/zip:43119","43119","771","241","735","185","77","115","49","304","52","149","25","103","185","247","506","353","189","766","688","0","532","484","771","510","366"
"publicpolygonfeature:5:46438","ZIP Code 43110","country:us/state:oh/zip:43110","43110","1406","1098","776","318","192","228","317","344","140","234","86","35","261","111","231","126","128","878","916","0","514","388","371","1077","887"
"publicpolygonfeature:5:46439","ZIP Code 43111","country:us/state:oh/zip:43111","43111","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46440","ZIP Code 43112","country:us/state:oh/zip:43112","43112","195","56","39","74","0","10","0","52","0","59","0","0","55","40","1","1","2","95","27","2","145","136","47","49","70"
"publicpolygonfeature:5:46442","ZIP Code 43113","country:us/state:oh/zip:43113","43113","788","189","138","187","25","78","16","200","174","111","57","46","106","131","158","177","10","621","209","0","651","707","640","302","394"
"publicpolygonfeature:5:46443","ZIP Code 43115","country:us/state:oh/zip:43115","43115","4","0","2","0","13","0","0","3","0","15","1","2","0","10","0","63","1","2","0","0","25","130","32","10","6"
"publicpolygonfeature:5:46444","ZIP Code 43116","country:us/state:oh/zip:43116","43116","60","27","41","10","14","0","1","21","0","4","0","0","35","43","35","41","0","110","21","0","22","42","83","92","32"
"publicpolygonfeature:5:46445","ZIP Code 43117","country:us/state:oh/zip:43117","43117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46446","ZIP Code 43123","country:us/state:oh/zip:43123","43123","2546","764","993","540","239","245","176","374","333","366","134","153","367","213","698","859","234","1411","1737","30","1192","935","1089","1356","1690"
"publicpolygonfeature:5:46447","ZIP Code 43125","country:us/state:oh/zip:43125","43125","457","68","422","41","15","74","32","176","24","123","0","235","69","175","75","130","31","235","195","9","216","320","259","431","234"
"publicpolygonfeature:5:46448","ZIP Code 43126","country:us/state:oh/zip:43126","43126","2","3","12","0","0","0","7","0","0","0","0","0","0","0","7","0","0","6","7","0","10","8","6","5","2"
"publicpolygonfeature:5:46449","ZIP Code 43127","country:us/state:oh/zip:43127","43127","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","3","4"
"publicpolygonfeature:5:46450","ZIP Code 43130","country:us/state:oh/zip:43130","43130","1695","761","535","458","141","64","221","454","136","385","168","71","419","276","694","801","70","948","913","12","2053","1070","1451","1039","1151"
"publicpolygonfeature:5:46451","ZIP Code 43145","country:us/state:oh/zip:43145","43145","72","15","10","10","9","6","0","13","11","0","0","15","0","7","21","6","0","3","3","25","28","38","90","29","36"
"publicpolygonfeature:5:46452","ZIP Code 43135","country:us/state:oh/zip:43135","43135","110","11","29","24","0","0","0","0","15","16","0","0","0","0","2","110","0","15","29","0","177","97","92","68","168"
"publicpolygonfeature:5:46453","ZIP Code 43136","country:us/state:oh/zip:43136","43136","75","33","33","21","6","14","2","20","23","3","6","6","15","23","6","8","0","58","17","10","54","44","49","14","45"
"publicpolygonfeature:5:46454","ZIP Code 43137","country:us/state:oh/zip:43137","43137","6","21","7","65","28","0","0","6","0","0","12","0","2","41","11","14","4","15","52","0","19","6","23","36","65"
