"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","1407","806","652","393","283","77","434","244","335","624","58","55","83","25","366","84","127","707","558","51","195","68","82","140","101"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","990","362","532","299","254","10","96","130","186","231","0","67","152","0","210","75","57","641","385","0","385","236","186","165","277"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","2132","869","859","1101","212","142","180","281","343","198","25","84","338","98","411","213","232","1327","639","0","778","600","479","351","274"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","1338","858","1202","697","35","36","104","30","243","264","55","16","58","32","133","97","29","893","214","16","261","196","78","220","47"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","2102","1449","841","425","138","58","315","157","474","181","107","67","10","13","419","162","122","931","391","0","359","78","74","154","51"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","3004","1304","936","532","174","149","649","449","422","484","275","50","73","23","418","118","198","1728","415","14","139","89","272","340","318"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","2787","1895","1226","1230","289","33","245","333","550","514","64","54","166","0","277","276","136","1861","636","3","448","237","214","200","415"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","1318","532","420","373","59","36","70","400","250","95","111","115","256","18","741","953","64","1318","580","49","4434","1253","757","792","627"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","2057","883","943","398","271","57","504","541","641","790","134","126","198","21","657","245","86","1002","339","8","530","219","252","411","139"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","1171","603","408","469","45","38","40","376","201","162","91","84","196","41","460","393","119","817","757","136","1893","524","781","1090","1129"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","1275","692","606","422","113","153","204","260","287","107","18","34","69","47","251","171","92","939","340","32","582","202","97","341","299"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","771","855","916","468","163","42","242","182","247","520","144","144","159","55","893","288","61","1224","940","105","848","310","473","710","504"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","809","460","269","470","49","33","29","271","249","15","22","96","21","78","418","135","105","628","546","7","862","303","639","259","375"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","1579","567","735","371","168","254","52","323","83","133","54","241","304","155","534","563","152","1010","1210","106","1570","1521","1208","961","1140"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","1515","329","853","333","71","61","36","74","93","137","56","132","167","67","491","205","63","1114","637","0","934","749","804","585","431"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","251","99","139","138","0","56","23","25","63","41","16","17","32","5","88","31","96","247","145","0","132","78","49","26","91"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","417","306","278","195","152","25","46","124","93","60","39","90","0","103","297","90","22","428","191","0","462","223","195","369","285"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","1313","724","745","439","58","18","72","272","275","118","6","30","66","35","275","79","43","804","681","20","430","343","299","327","369"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","2098","938","895","441","155","9","525","330","169","677","28","33","40","79","241","9","33","743","532","0","195","174","52","307","55"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","1036","219","310","303","58","108","39","259","149","33","0","330","108","0","541","460","124","581","1404","133","2621","964","860","1026","854"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","1730","350","932","619","89","112","31","205","271","62","60","81","189","80","329","199","20","1217","542","24","1000","778","496","280","471"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","698","308","280","106","24","131","76","74","197","154","30","44","130","23","382","41","166","478","674","0","168","244","122","188","188"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","2917","1473","2218","794","63","227","140","919","425","526","266","113","414","301","820","752","292","2182","1275","5","1274","1288","1147","1205","913"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","41","7","34","20","23","0","8","50","0","18","67","29","0","0","6","7","0","13","6","0","6","0","0","138","9"
