"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","924","443","226","312","88","128","140","180","210","90","52","27","230","236","275","362","67","576","395","27","1101","800","980","710","432"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","226","122","110","111","70","25","0","75","17","0","39","8","12","78","90","126","1","156","127","9","185","299","324","153","289"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","442","147","173","124","0","33","51","104","47","100","18","14","101","51","184","168","20","198","250","26","391","389","423","332","241"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","949","675","453","167","108","92","113","188","176","296","40","131","22","38","270","53","102","784","286","0","215","294","281","112","93"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","500","170","150","139","90","103","0","200","90","50","8","19","78","72","431","270","102","381","217","0","537","286","572","237","494"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","574","73","77","162","34","221","8","38","86","87","15","75","76","69","274","136","15","246","269","0","502","269","395","209","554"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","259","83","32","97","0","5","0","20","42","6","63","0","37","52","277","328","9","243","323","0","412","197","553","357","450"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","112","13","9","24","0","17","0","25","33","7","5","15","26","18","9","126","7","106","46","0","155","83","132","59","105"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","203","27","65","31","13","1","0","0","20","26","11","0","13","4","72","35","4","87","41","0","46","81","34","43","19"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","734","371","361","246","116","110","72","102","157","47","20","8","93","112","267","192","48","570","538","236","292","220","522","376","737"
