"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","143","55","26","23","0","0","0","21","25","10","0","0","0","0","254","1","16","182","63","0","53","0","38","0","109"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","288","215","129","52","0","0","58","219","64","31","20","7","21","55","135","0","0","105","141","0","153","101","47","40","141"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","937","619","488","215","88","38","237","188","480","156","49","38","182","44","207","128","81","654","579","0","698","450","401","763","482"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","321","243","118","47","0","14","5","117","56","26","32","16","84","0","283","226","15","276","290","22","416","83","123","335","584"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","1195","661","765","495","123","100","168","249","49","434","131","57","126","567","408","367","94","1249","758","0","697","678","445","562","612"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","163","385","233","81","125","29","34","152","93","12","42","117","157","174","324","296","205","425","385","0","271","657","282","722","748"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","145","79","11","44","17","57","21","45","85","35","7","46","71","23","468","463","28","286","264","50","506","229","382","258","1025"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","1223","443","484","251","27","120","45","251","150","180","65","36","153","191","459","67","17","1120","731","37","384","1005","401","918","1027"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","1397","648","971","255","28","297","42","144","182","217","81","27","369","125","934","514","97","855","733","1","802","431","772","715","550"
