"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","1331","634","312","185","76","49","46","389","49","203","146","104","158","76","675","577","205","1224","533","0","1250","431","501","896","702"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","688","192","162","70","0","81","51","171","100","175","28","59","89","13","412","716","161","697","689","61","2206","948","1340","1851","497"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","1185","334","268","371","0","156","14","441","97","275","253","75","301","106","643","675","287","1573","1342","36","2967","1657","1670","2951","1089"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","365","44","80","38","25","59","0","117","77","79","127","0","291","16","332","278","175","487","823","26","1552","915","644","1351","527"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","995","293","358","528","68","57","90","298","353","251","256","14","115","99","518","290","229","1525","706","17","1516","749","1001","1740","657"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","2835","628","817","268","67","126","258","469","713","530","126","16","397","187","411","399","346","1575","1906","65","1461","1516","1228","1536","762"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","1515","532","160","104","47","16","16","169","137","375","183","131","176","72","476","180","146","1067","1053","0","1102","1079","870","1992","652"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","2370","725","885","450","30","258","34","197","250","375","171","94","265","374","617","517","154","1804","1231","21","1698","1350","750","1847","618"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","910","283","93","55","0","7","106","83","127","128","25","28","129","15","156","50","95","477","257","7","297","56","50","241","18"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","1748","561","311","214","42","60","75","270","424","189","179","35","434","124","945","683","447","1456","1684","27","1636","758","570","991","659"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","1796","919","280","359","52","49","398","206","397","568","87","92","248","433","1090","664","333","1766","548","25","920","960","345","994","475"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","1312","299","262","248","63","70","57","660","251","296","245","167","686","293","915","995","307","1429","1663","221","2337","1134","818","1804","1690"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","2294","867","554","437","193","201","132","371","243","391","255","95","464","285","1506","1243","340","2113","1648","66","1657","2494","689","1131","751"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","2836","888","1238","566","83","300","74","455","482","371","76","317","458","516","1162","676","392","2311","1233","0","1668","1535","672","2001","767"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","991","426","405","211","130","14","222","265","220","194","35","43","181","119","332","241","167","1105","501","0","478","657","309","424","213"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","2896","1820","1212","423","70","344","365","339","586","541","170","91","447","329","712","454","321","1281","1097","8","683","1031","226","824","544"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","1485","638","482","329","107","56","70","221","241","514","54","0","148","181","247","258","107","1378","298","0","219","165","113","614","203"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","2917","592","1187","357","0","305","272","400","388","589","107","98","209","140","338","167","242","1425","1384","23","188","391","326","462","225"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","2184","786","541","217","0","28","133","185","377","335","90","23","116","9","625","219","159","1441","637","18","566","345","320","717","109"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","823","444","263","73","35","102","34","251","397","233","24","89","431","82","1800","746","350","1209","932","27","1448","779","226","1778","879"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","956","364","221","202","46","3","57","303","166","154","93","46","420","51","843","576","268","1187","868","0","1008","301","807","1291","686"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","1906","481","229","253","75","155","74","395","187","195","205","54","273","109","576","645","174","1545","730","33","1808","799","323","1269","558"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","1328","567","236","329","34","28","103","151","253","178","30","44","198","117","452","702","79","805","537","4","421","271","288","1078","376"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","300","125","0","0","113","88","10","43","27","60","86","10","266","106","454","411","88","446","261","22","1100","326","303","919","330"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","324","104","27","0","43","73","0","95","62","19","40","21","155","161","617","510","33","416","305","0","528","392","253","731","569"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","512","364","135","93","56","159","0","334","275","165","148","56","531","122","482","595","294","868","834","11","1442","506","302","1172","753"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","618","116","141","139","0","19","21","244","95","176","63","13","251","147","345","1376","74","601","323","974","2624","348","370","891","406"
"publicpolygonfeature:5:41411","ZIP Code 33031","country:us/state:fl/zip:33031","33031","447","0","25","57","20","46","0","9","48","0","0","0","0","22","25","76","0","469","184","0","186","129","17","241","19"
"publicpolygonfeature:5:41416","ZIP Code 33032","country:us/state:fl/zip:33032","33032","1989","466","298","423","31","134","148","288","249","297","75","65","669","476","597","928","381","1837","1258","81","2017","1450","940","1436","612"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","670","37","264","106","16","89","0","63","162","40","19","70","144","52","86","173","39","507","379","0","704","179","100","149","108"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","665","46","41","6","33","0","0","44","67","80","0","6","211","165","214","305","11","405","143","0","505","291","70","440","379"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","1300","487","363","157","67","174","0","178","233","184","88","87","191","118","620","308","118","1197","981","29","997","637","454","1781","746"
"publicpolygonfeature:5:41530","ZIP Code 33173","country:us/state:fl/zip:33173","33173","1387","513","613","149","40","0","273","403","241","331","38","44","177","16","301","163","113","1191","384","18","347","309","74","447","181"
