"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","1234","680","737","231","163","112","91","271","416","62","26","101","187","127","573","442","289","776","301","0","745","198","1246","608","854"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","1090","200","470","109","95","81","189","138","344","256","85","48","96","0","392","310","57","918","101","0","123","97","197","231","253"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","797","627","315","207","36","39","19","192","214","1","134","100","47","142","427","400","48","1130","340","0","1423","1032","1115","1356","1032"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","1808","748","656","595","45","85","77","283","303","98","33","195","54","122","279","0","0","829","125","0","142","152","128","91","222"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","116","30","55","43","0","0","0","28","20","20","0","0","11","31","9","16","0","24","12","0","60","126","85","92","81"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","0","0","0","0","0","0","0","27","0","25","0","0","22","0","0","0","0","0","0","0","21","0","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","41","0","2","3","0","2","0","11","17","0","0","0","15","8","13","15","2","34","16","0","26","31","55","38","22"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","86","20","12","3","0","0","0","68","0","0","0","0","2","0","0","0","0","2","10","0","53","4","54","8","3"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","229","96","34","2","0","83","9","22","0","37","14","9","7","18","43","115","11","151","77","16","75","120","146","43","114"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","67","38","38","0","22","1","0","0","0","0","0","0","5","2","0","0","0","9","10","0","28","61","121","31","50"
