"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","45","58","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","56","60","36","40","15","97","68","20"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","848","657","452","564","162","169","287","254","352","437","24","25","54","0","278","0","203","543","376","0","76","62","44","218","68"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","425","83","64","12","0","0","0","38","13","11","0","0","10","42","17","52","3","92","14","15","192","54","65","22","27"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","166","199","43","117","0","5","0","43","46","43","5","0","7","7","78","88","52","76","26","5","86","21","69","102","11"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","834","546","466","115","25","0","19","196","11","109","205","0","430","91","407","969","529","1144","1035","3","1401","532","548","1488","893"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","1337","717","787","327","86","11","276","354","478","292","75","8","121","141","458","62","40","735","333","0","321","92","139","207","92"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","1445","717","317","350","69","59","245","337","284","320","64","51","85","35","199","191","141","1283","260","0","214","23","230","209","195"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","374","173","54","118","13","26","0","86","41","26","29","0","82","34","508","767","69","469","158","0","415","204","157","316","754"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","1157","470","730","393","67","181","141","225","283","304","58","137","127","18","380","159","127","1007","476","0","615","239","215","216","335"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","926","240","339","173","41","51","92","79","134","232","155","18","173","111","587","416","157","980","939","32","1716","699","476","1069","552"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","595","295","181","94","136","14","61","119","175","40","154","184","524","120","1332","867","10","947","329","17","1702","1033","677","1456","1302"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","523","126","211","87","50","21","0","234","133","67","8","59","14","15","779","823","173","389","573","70","1415","193","210","515","331"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","708","253","354","278","0","44","71","369","192","101","73","116","57","61","524","425","131","1041","434","0","1386","571","354","598","372"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","765","262","108","187","15","43","22","43","682","0","126","123","295","62","1009","414","296","1187","1317","31","842","409","511","878","716"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","1204","584","334","440","21","170","142","229","226","82","72","195","232","48","517","378","259","943","728","0","702","536","408","579","491"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","667","513","172","213","75","0","90","44","68","555","0","0","35","0","57","47","44","140","293","0","123","10","0","144","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","1170","463","639","368","68","118","28","425","217","204","18","62","278","40","1539","230","488","1179","731","81","572","321","349","430","659"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","757","388","139","157","45","156","0","391","130","61","285","135","231","94","1446","1249","338","766","654","0","1390","639","652","1641","1199"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","1537","526","1016","268","27","62","95","69","277","428","132","83","209","92","790","387","363","890","316","13","400","283","315","705","165"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","433","157","207","275","0","111","44","204","39","51","10","26","32","112","317","82","0","299","144","0","734","12","50","67","53"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","800","395","688","268","72","54","9","218","465","89","111","0","174","21","1035","116","207","678","346","66","579","134","298","470","331"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","1451","696","701","423","99","78","0","326","251","38","35","239","466","116","862","705","217","1525","1060","33","1854","1121","1295","2249","1790"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","1634","1382","655","401","140","141","42","299","814","200","329","59","183","40","714","803","432","1796","1103","185","1082","776","651","1923","714"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","1417","1084","831","1187","35","220","49","454","601","347","442","43","312","106","1214","1202","212","1943","1531","50","1177","925","458","1461","653"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","424","336","849","612","124","63","27","596","141","15","27","0","108","42","596","555","190","493","867","0","276","293","248","233","217"
