"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","123","68","128","0","0","18","20","91","39","13","36","0","0","42","24","92","0","59","64","0","86","58","109","104","71"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","1557","737","952","460","107","98","424","226","194","641","157","12","119","133","149","159","106","807","411","3","94","373","280","51","158"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","193","94","104","122","14","28","0","41","24","17","31","79","8","0","54","54","44","277","173","0","66","127","167","72","166"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","9","0","16","0","13","0","0","0","20","0","0","0","0","0","0","0","0","0","31","0","198","0","0","18","72"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","862","256","497","448","126","84","253","157","55","113","25","38","0","82","210","64","53","513","378","23","426","205","287","510","295"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","318","348","70","136","0","40","0","83","36","26","23","74","54","69","198","82","29","124","197","22","545","121","155","179","126"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","196","66","315","35","50","19","0","43","0","19","66","33","25","0","40","27","0","130","172","0","53","82","66","75","25"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","83","17","16","0","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","457","333","134","160","7","35","0","160","50","30","52","34","53","72","88","164","21","612","319","24","277","174","292","226","268"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","427","110","83","129","20","112","0","109","31","0","4","10","51","0","82","54","0","284","243","0","319","255","108","330","171"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","1625","523","600","216","78","159","125","373","360","207","103","90","185","196","288","284","182","1453","948","6","761","534","714","908","608"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","239","237","80","154","79","62","0","43","21","20","126","7","201","95","249","598","77","204","286","1","414","561","420","410","373"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","990","812","500","153","118","29","72","148","86","54","198","57","207","159","318","444","74","980","677","0","634","508","405","719","1002"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","108","4","9","1","0","0","0","15","4","26","0","4","7","4","10","0","3","27","3","0","17","0","11","14","3"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","146","18","0","81","0","0","30","36","18","0","0","0","0","28","0","0","0","92","99","0","22","34","35","0","0"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","1126","485","459","174","81","308","106","383","170","194","104","113","211","324","481","803","260","1062","926","25","970","923","949","1193","1137"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","410","146","130","49","69","40","0","338","0","0","32","20","129","122","22","36","3","151","51","0","92","117","34","118","8"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","28","0","0","0","0","18","23"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","99","73","5","14","0","7","0","12","10","27","3","0","3","7","18","4","0","43","73","0","54","19","25","12","19"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","199","24","11","37","18","14","0","63","0","9","10","14","25","60","7","59","0","121","99","40","132","141","49","123","27"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","617","284","242","101","101","23","18","315","103","128","59","22","168","176","483","150","66","755","595","3","406","453","234","237","555"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","343","135","116","69","92","47","0","40","90","0","86","18","82","52","328","128","26","291","172","0","208","169","185","296","226"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","346","241","221","113","14","0","16","95","43","160","12","42","69","79","75","84","0","243","196","0","268","149","133","192","236"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","1084","430","208","99","87","40","406","246","119","540","73","10","40","23","166","62","34","361","184","0","146","54","46","80","64"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","593","377","469","160","59","118","79","215","373","95","75","30","110","120","316","563","60","572","413","0","191","288","188","86","159"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","428","135","289","72","3","28","57","70","71","83","0","0","57","106","37","21","21","121","86","0","168","106","39","32","86"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","224","103","43","45","0","3","44","40","0","38","0","0","17","0","19","41","19","369","57","0","115","82","159","42","166"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","763","108","119","204","29","101","44","149","74","256","31","19","122","216","182","434","109","592","215","228","603","463","284","433","350"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","13","0","39","11","3","54","3","22","2","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","7","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","39","11","3","20","5","0","0","7","3","0","8","0","0","0","0","16","0","6","6","0","17","11","14","12","13"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","5","0","0","0","0","0","0","0","0","74","0","0","0","5","0","7","0","0","0","0","7","0","0","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","1316","997","855","428","94","85","438","193","112","462","114","35","54","78","231","15","51","730","525","0","157","157","211","391","306"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","49","5","16","6","6","0","0","32","0","4","8","47","6","0","112","61","4","38","50","0","11","56","96","83","109"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","531","504","266","162","14","209","44","220","29","53","181","117","183","230","191","347","28","624","600","0","375","619","679","633","762"
"publicpolygonfeature:5:34934","ZIP Code 08048","country:us/state:nj/zip:08048","08048","759","374","371","124","30","44","66","93","0","44","32","32","68","130","119","90","18","234","183","0","161","156","184","150","178"
"publicpolygonfeature:5:34935","ZIP Code 08049","country:us/state:nj/zip:08049","08049","102","54","61","66","17","8","0","31","15","0","0","57","0","37","9","52","25","136","168","0","123","176","162","132","21"
"publicpolygonfeature:5:34937","ZIP Code 08051","country:us/state:nj/zip:08051","08051","343","300","208","211","45","21","87","164","19","84","37","0","47","58","173","52","7","470","74","0","213","155","159","210","185"
