"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","128","106","54","205","9","29","0","108","44","14","30","28","41","56","163","204","27","394","284","48","654","204","325","216","508"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","68","0","111","45","17","0","0","85","7","0","0","27","0","0","90","0","15","28","33","0","71","24","0","0","12"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","404","174","160","244","0","14","3","135","102","37","61","129","134","28","1109","857","66","528","384","45","2668","507","729","829","857"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","63","37","26","0","0","0","0","7","3","0","0","14","0","0","147","95","0","116","6","0","51","34","4","37","216"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","224","34","10","8","10","13","0","33","37","0","41","109","36","17","293","205","16","327","197","24","758","349","561","217","277"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","944","309","127","60","7","7","80","92","85","7","190","125","77","36","346","933","173","796","679","154","1781","807","756","945","967"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","621","339","511","102","147","0","110","272","104","534","217","47","373","0","1172","352","153","890","748","0","794","386","447","1033","727"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","1208","504","824","272","132","144","283","388","268","682","157","149","210","35","678","425","10","1478","1197","0","567","265","649","553","401"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","365","63","54","94","57","46","0","122","47","6","108","191","59","33","519","784","82","303","461","34","2087","753","743","626","455"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","675","111","160","302","78","50","18","205","109","64","167","142","112","87","564","441","29","459","456","49","560","623","513","175","175"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","422","236","204","172","42","41","25","198","89","39","136","17","150","102","534","432","164","369","400","0","464","578","481","607","375"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","1337","740","1749","589","152","183","202","406","197","674","306","360","201","301","955","531","211","1089","1549","0","1113","780","832","611","623"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","524","75","111","0","0","0","21","103","114","34","11","9","55","48","753","419","88","475","380","0","1783","660","1000","490","425"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","67","25","2","0","0","0","0","35","31","0","0","11","50","31","50","60","12","93","24","72","496","358","219","210","27"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","288","105","0","82","0","27","0","60","7","57","0","10","41","27","68","88","0","86","15","0","272","279","92","150","105"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","71","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","2658","605","351","244","139","288","81","221","209","523","94","30","191","243","170","213","318","1299","479","0","1033","684","294","255","252"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","226","75","146","27","46","15","15","35","64","12","8","0","105","24","43","120","0","507","211","0","144","159","302","99","230"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","1350","724","441","234","126","0","181","235","160","288","170","0","95","73","51","83","0","578","596","0","294","84","142","246","132"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","38","26","0","0","0","0","0","0","0","0","0","0","0","0","35","30","0","0","0","0","83","60","0","14","109"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","0","3","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0","35","0","10","12","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","403","93","101","249","9","35","0","132","0","24","51","64","59","13","163","62","0","182","95","43","383","345","159","202","51"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","89","142","21","37","7","1","0","12","10","136","12","0","0","0","77","14","16","106","51","24","295","102","98","79","18"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","735","138","276","124","43","63","13","149","0","26","2","9","82","104","132","139","79","281","200","0","511","328","314","341","179"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","1260","767","493","409","57","126","48","424","82","504","154","30","144","189","206","66","82","869","285","0","242","251","193","283","190"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","189","2","0","102","16","0","0","86","49","0","0","0","0","0","22","0","6","75","90","15","468","276","147","135","94"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","9","0","0","18","0","0","0"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","31","0","0","2","0","0","118","20","0","0","22","0","2","0","0","0","0","29","86","0","50","71","36","0","18"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","21","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","18","0","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","281","49","20","0","0","17","0","23","0","15","0","0","0","94","53","26","0","115","75","0","213","260","121","147","39"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","60","15","5","0","0","0","0","15","0","6","0","0","0","0","5","19","28","5","0","10","7","38","8","5","0"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","40","24","0","109","0","0","5","0","52","0","0","9","0","0","0","0","28","92","33","0","11","11","122","0","0"
