"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","1118","781","808","324","302","85","223","215","271","70","21","216","66","30","455","77","16","590","268","12","377","42","162","337","82"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","999","465","1047","236","114","75","105","175","218","153","141","348","68","111","667","494","188","783","958","0","967","403","420","698","558"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","884","499","1013","122","170","15","205","417","184","81","21","38","10","0","31","51","17","88","80","0","17","0","0","0","9"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","1913","751","3237","1187","336","29","70","131","132","171","98","43","74","38","263","87","169","460","338","0","160","256","148","268","344"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","1487","746","624","600","131","27","128","315","200","208","131","20","54","24","324","44","45","888","289","0","374","79","110","169","123"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","1231","364","1085","378","454","51","164","89","188","114","70","210","164","143","878","906","84","425","420","43","1494","349","357","457","555"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","789","331","849","136","306","0","78","74","99","58","3","0","15","0","26","0","8","156","117","0","0","20","15","45","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","587","306","360","183","148","29","155","460","200","145","6","7","0","32","18","19","16","195","85","0","30","36","68","5","64"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","1731","409","1170","460","359","177","164","248","217","457","115","86","210","200","762","427","206","817","599","2","1032","588","532","551","409"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","351","76","231","66","15","0","134","15","34","10","0","34","0","0","80","8","15","82","3","0","8","7","15","47","106"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","2414","1417","2224","780","296","96","189","771","445","287","235","587","471","207","1131","1004","355","1253","1648","41","1684","802","1062","1460","904"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","48","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","488","364","161","112","40","0","39","52","43","65","0","0","14","0","18","26","24","72","28","0","6","0","25","3","18"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","2779","1498","2285","526","379","120","423","477","976","593","54","152","39","59","252","141","262","579","457","0","242","35","112","196","81"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","2105","1597","1740","323","178","65","219","231","539","184","16","135","149","0","360","22","77","970","369","0","233","8","115","158","89"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","1758","604","1146","510","355","126","430","592","604","375","47","231","238","206","401","213","164","706","578","9","271","208","385","516","193"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","952","561","1037","330","99","112","11","332","238","278","194","369","356","75","691","1008","197","1454","965","119","1284","611","874","1208","573"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","2163","746","1125","533","210","93","202","594","516","539","422","419","534","261","1110","526","286","1270","1424","0","1275","735","721","1569","1032"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","2569","1369","2780","556","489","137","514","426","970","313","48","40","142","8","576","109","47","1068","440","0","160","232","275","187","147"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","2166","1232","2031","549","197","95","366","484","657","299","14","202","70","0","256","73","38","1112","469","0","170","209","123","185","381"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","1262","717","1508","720","330","148","108","207","121","225","39","36","106","40","121","75","148","474","78","8","234","154","136","184","125"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","241","48","222","61","64","24","25","50","51","22","13","0","41","0","0","0","50","73","32","21","29","42","12","103","0"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","2759","1317","1048","516","386","159","385","296","286","436","35","174","161","24","584","183","125","778","517","16","661","195","249","256","275"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","676","131","270","147","86","115","98","138","107","109","10","15","73","18","244","227","52","223","79","120","259","6","26","230","28"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","88","69","50","36","0","14","11","15","18","40","0","0","0","0","0","0","14","10","39","0","26","0","0","0","0"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","2498","845","1409","788","805","88","291","598","231","477","32","12","94","166","226","370","182","875","169","28","215","327","96","154","322"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","447","224","192","34","55","3","100","33","73","160","0","0","2","0","15","4","25","65","19","192","66","0","22","0","0"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","809","497","904","332","224","42","81","222","92","146","31","99","70","42","356","69","113","485","394","0","356","291","124","169","135"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","125","136","29","12","0","0","0","96","57","50","33","0","0","15","0","0","0","115","112","0","51","0","0","0","15"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","109","50","166","50","0","2","0","0","22","13","0","6","0","0","0","73","24","0","23","0","58","55","56","0","0"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","1450","625","1102","455","271","114","117","485","326","180","264","92","264","141","452","214","105","720","747","17","776","373","434","718","210"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","17","0","0","0","0","0","16","26","30","17","0","0","0","0","0","84","0","0","0","83","82","0","0","0","0"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","1488","448","1227","535","245","102","187","559","442","314","55","65","51","67","304","711","130","568","640","30","1102","301","274","164","460"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","2007","1007","1426","421","231","168","303","511","380","415","97","219","29","33","584","247","120","971","780","5","247","245","195","289","237"
