"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","3440","2164","1543","911","345","248","677","1120","982","1086","347","281","194","57","488","249","501","1940","1486","0","498","90","121","678","355"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","2462","1616","1440","506","311","45","400","1158","1170","846","116","178","31","31","561","205","207","1100","538","0","172","272","213","199","123"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","3833","2618","3826","1115","282","280","263","1503","1012","628","693","473","218","10","1407","2144","494","2589","2229","50","1686","540","1182","464","883"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","52","31","66","0","0","21","0","38","10","9","20","41","17","32","31","85","52","96","110","10","139","56","137","31","72"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","361","92","19","26","13","16","10","223","0","17","27","9","90","18","22","133","34","158","140","63","307","114","131","110","58"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","111","191","10","4","0","8","0","26","8","45","4","17","10","0","58","17","7","104","92","0","106","48","139","35","127"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","1148","551","159","154","34","143","51","322","54","418","218","240","151","96","426","274","284","949","700","4","1080","367","419","291","378"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","1230","388","448","226","97","171","20","435","81","358","146","165","161","81","536","621","122","1005","1340","13","652","393","486","479","456"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","115","3","36","15","26","0","6","26","14","49","0","35","11","34","33","2","119","70","85","0","47","13","31","32","43"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","2553","1068","564","311","98","298","239","1344","282","303","271","671","190","194","726","539","533","1681","1656","0","1429","977","897","627","709"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","2911","1227","1000","437","71","92","285","303","450","339","0","8","40","0","105","24","260","999","152","0","6","0","0","105","49"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","3099","2030","1792","952","185","299","486","872","1226","533","58","212","120","50","552","263","163","1906","1170","0","478","67","533","123","260"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","3284","1792","891","381","182","199","760","1287","753","929","36","70","118","46","215","13","218","1574","775","0","49","37","480","34","27"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","4154","3009","1080","822","171","500","187","1339","374","967","283","545","529","294","655","648","450","2564","2989","4","1170","800","1199","1072","770"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","862","365","243","134","155","27","0","427","124","465","56","182","98","27","224","561","164","556","1145","0","623","324","485","514","306"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","6908","4423","2566","1490","529","547","843","1825","1726","1574","269","213","53","46","1049","1063","931","3261","3029","75","638","424","308","436","434"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","1143","655","1189","705","933","250","116","2604","750","325","145","576","132","29","1355","73","721","1887","1763","19","304","70","312","250","204"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","8281","4390","5834","2081","456","756","445","2654","1235","2013","911","812","362","428","1816","460","937","4830","3950","89","901","1065","913","1123","1217"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0"
