"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","2924","2490","917","962","215","239","383","621","489","986","194","119","110","36","572","100","348","1712","1182","0","309","260","328","267","358"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","4228","3329","1046","491","191","400","523","1301","673","907","339","484","55","10","1213","910","503","3096","2535","0","1859","371","749","553","773"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","3359","2050","808","330","76","256","713","928","606","980","144","212","10","45","431","360","450","2172","1258","8","543","65","381","470","349"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","1429","881","415","108","38","310","102","725","346","373","282","495","357","30","1225","1588","708","1483","2610","135","3027","352","1372","1214","1298"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","37","0","11"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","2725","1640","1217","296","114","479","44","1341","254","631","531","400","286","228","1197","992","528","2083","3505","0","2335","375","1273","937","1405"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","3921","2849","835","445","140","535","849","1147","549","797","173","130","69","70","653","348","446","2430","1429","72","645","241","435","347","554"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","272","59","16","16","9","29","19","128","18","179","47","75","30","4","116","22","27","289","270","13","218","74","357","232","295"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","1160","537","363","347","143","138","206","1009","184","602","288","337","113","133","843","732","277","1335","1760","0","1012","698","1294","557","1167"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","1599","666","436","360","61","233","62","766","226","525","142","304","86","70","620","421","159","1496","1523","77","730","623","1238","527","716"
"publicpolygonfeature:5:41047","ZIP Code 27054","country:us/state:nc/zip:27054","27054","136","71","17","0","0","20","0","77","10","0","46","72","13","10","22","0","24","65","124","0","0","0","125","58","10"
"publicpolygonfeature:5:41049","ZIP Code 28098","country:us/state:nc/zip:28098","28098","142","80","130","47","0","10","12","149","20","37","141","12","15","0","53","0","36","205","375","16","97","51","129","99","58"
