"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","45","3","0","0","7","17","0","31","13","2","34","2","42","0","19","75","11","20","55","0","83","28","52","25","43"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","124","46","49","68","0","14","0","182","0","66","26","92","13","6","123","26","42","189","216","0","114","149","202","168","137"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","1908","1714","1039","172","316","308","408","688","242","1214","269","551","555","97","360","279","296","1507","2050","0","236","133","770","763","1357"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","2117","1099","571","181","116","210","223","621","280","580","543","1053","453","209","1053","980","594","1910","3588","96","1160","713","1639","1145","1665"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","2521","1313","527","84","260","511","420","1441","594","718","120","328","127","105","520","188","240","1223","1239","6","387","175","321","692","534"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","201","76","13","42","162","22","0","400","58","0","115","57","146","0","718","71","419","352","645","0","34","7","25","28","122"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","566","159","163","17","91","200","0","237","40","32","273","452","88","24","1078","471","236","640","1251","0","836","55","633","288","824"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","2582","1595","813","627","406","232","519","1188","661","2239","298","231","124","10","675","110","241","1642","943","14","47","57","178","193","311"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","1825","944","379","281","83","240","58","594","248","464","262","599","171","188","965","827","242","1249","2353","37","531","587","1165","1169","1704"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","2494","1447","881","686","323","426","513","1482","547","1325","212","217","84","24","589","169","241","1258","1194","0","343","238","483","284","330"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","1907","2013","855","253","330","442","484","825","671","1020","115","192","194","31","825","124","223","1211","1010","0","143","85","199","280","217"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","75","51","11","0","0","5","0","0","5","21","9","62","38","10","52","38","4","92","122","0","25","16","30","18","252"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","1193","1140","270","228","144","439","98","573","108","419","152","818","214","47","757","495","431","1378","1594","0","300","298","778","1197","945"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","1703","1416","1121","478","311","228","311","1573","762","1401","309","244","137","56","671","275","231","1344","1883","7","404","143","394","251","646"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","1431","1193","689","144","181","234","91","830","212","360","339","1640","368","191","1394","756","211","1500","2774","25","1092","554","1527","1054","3187"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","3498","2152","2127","355","651","594","415","1938","640","1470","449","327","185","9","1469","520","488","2431","2653","45","347","298","877","318","649"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","681","436","486","176","167","0","138","134","0","114","73","0","0","98","67","66","37","594","384","0","71","102","245","282","320"
