"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","2996","1796","861","649","567","379","884","895","696","1734","169","129","107","29","603","170","295","1277","1013","76","210","68","142","231","172"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","2145","665","593","369","316","368","293","798","451","778","109","471","152","9","348","183","242","875","829","8","385","236","252","175","308"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","3474","1899","1110","1377","309","561","392","1328","690","1134","228","583","473","121","856","298","751","2437","2311","0","843","645","578","433","522"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","2283","1499","1575","838","161","240","253","570","377","736","315","175","82","60","276","147","158","1661","650","16","268","196","189","227","83"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","3460","2734","1341","548","295","299","586","655","851","1211","257","160","10","23","637","173","428","1722","905","0","359","81","159","178","119"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","4911","2523","1294","822","443","500","1006","1527","947","1390","472","455","116","29","771","253","725","2601","1287","27","161","121","396","362","354"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","4995","3909","1857","1574","569","518","737","1149","1186","2288","320","187","276","23","668","483","328","2988","1595","31","495","237","325","210","453"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","2590","1290","582","403","205","379","195","1230","665","478","363","869","392","37","1874","1957","799","2616","2755","49","4478","1276","1285","918","992"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","3820","2011","1244","541","434","357","1017","1383","1023","1771","240","475","198","65","909","573","509","1667","1162","23","542","231","430","473","246"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","2264","1441","533","625","193","253","164","942","339","686","375","528","241","62","1078","946","457","1650","2536","224","1929","524","963","1125","1304"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","2254","1398","825","467","187","266","295","869","603","670","193","185","106","52","489","472","475","1551","1208","39","582","202","116","407","356"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","1796","1543","1089","518","558","451","367","1090","649","1118","586","452","186","91","1408","342","453","2250","2396","105","848","373","741","979","568"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","1401","1027","427","572","58","149","193","799","338","359","292","384","64","139","669","247","319","1364","1276","7","875","322","698","268","539"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","2622","1486","969","664","239","534","115","1089","309","1247","277","1204","333","261","1125","798","561","2212","3559","106","1640","1596","1717","1175","1428"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","2629","950","987","415","176","384","115","602","223","495","266","535","300","67","1080","347","457","1700","1885","0","934","762","1072","612","667"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","598","331","176","138","27","123","59","341","149","95","105","174","73","5","232","78","300","478","462","0","137","78","86","59","161"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","769","508","352","316","173","104","70","354","115","386","101","362","139","114","536","210","197","1090","737","0","462","236","243","382","338"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","2027","1515","932","489","160","223","151","968","539","505","61","337","165","52","683","139","315","1267","1561","79","430","343","313","343","501"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","3650","1636","1155","467","395","368","844","944","542","1474","122","405","58","96","568","9","347","1309","1226","0","226","174","119","401","201"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","1950","659","436","396","119","283","149","762","262","484","444","963","196","0","1194","1316","393","1591","2703","133","2698","992","1062","1366","1189"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","2603","918","1119","725","402","264","76","1216","550","651","478","603","197","214","847","298","578","2153","1945","24","1010","812","635","387","568"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","1239","800","408","267","120","271","160","443","300","547","157","215","130","33","546","110","358","1146","1213","0","168","244","239","215","308"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","5034","3272","2684","969","275","511","412","2734","933","2003","641","1018","490","346","1719","1026","1181","3738","4829","5","1274","1340","1498","1372","1121"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","48","16","40","20","83","17","8","107","6","87","92","75","0","0","6","7","0","13","33","0","6","0","0","148","9"
"publicpolygonfeature:5:58158","ZIP Code 80212","country:us/state:co/zip:80212","80212","2901","1141","795","838","220","173","312","717","655","790","195","495","0","33","398","135","281","1082","954","0","237","324","137","182","221"
