"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","1561","711","335","352","183","265","262","637","354","598","245","348","271","292","595","539","366","1421","1708","27","1112","827","1477","933","535"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","456","220","130","128","140","131","0","344","97","210","151","324","19","78","213","202","51","340","588","9","185","299","474","154","338"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","715","344","227","172","4","124","113","534","104","326","173","260","106","69","316","296","113","486","1016","26","399","415","521","347","328"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","1760","1213","635","295","163","176","211","817","362","759","117","297","29","47","434","129","211","1108","1373","0","231","295","427","138","138"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","801","497","188","252","95","266","12","523","176","288","173","583","103","95","790","426","221","878","1107","0","573","301","702","305","575"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","914","187","103","172","34","353","67","264","169","382","219","383","76","96","625","276","207","620","1169","0","582","280","558","295","638"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","526","142","67","97","0","55","13","139","93","27","147","366","60","52","758","571","94","471","803","20","412","209","1023","428","752"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","172","28","9","36","0","141","1","87","33","109","100","147","26","18","45","197","56","328","257","0","189","83","211","79","125"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","219","103","68","31","13","8","5","91","23","192","71","29","13","4","96","44","4","119","153","8","50","81","46","43","33"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","1521","830","491","355","228","378","142","629","280","397","409","457","93","165","695","622","217","951","2012","236","292","262","1168","467","977"
