"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","2482","1323","948","247","223","185","489","1393","877","579","324","569","313","162","1176","1172","508","1788","1963","0","847","247","1740","791","1129"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","1897","851","594","171","150","315","267","564","592","818","192","347","149","0","1283","379","376","1366","700","0","156","97","411","325","297"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","1736","1171","415","237","36","244","41","738","381","665","518","631","65","179","857","773","332","1754","1784","0","1454","1103","1942","1736","1553"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","2609","1404","738","621","45","331","245","1114","367","874","151","262","99","157","580","68","241","1679","576","77","158","152","209","111","326"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","173","91","58","43","0","0","1","62","33","61","21","51","12","31","69","16","33","62","226","0","60","126","90","110","111"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","45","0","0","0","0","0","0","27","0","25","0","0","22","0","0","0","0","0","26","0","21","0","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","108","19","6","18","0","10","0","18","17","16","0","28","15","11","15","15","34","84","64","0","26","31","69","40","40"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","92","20","12","3","0","0","0","82","0","34","2","12","6","0","6","0","0","34","26","0","53","4","55","8","5"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","351","153","34","5","14","93","9","347","0","228","72","25","7","24","58","129","38","228","334","16","75","120","166","43","119"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","100","46","38","4","22","1","0","20","4","3","19","17","5","27","7","0","16","44","148","0","28","61","142","60","58"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","5608","3494","1337","596","524","907","206","2660","1578","1195","1415","1924","508","257","2546","2236","1081","3675","7918","81","4352","1347","4093","3644","3111"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","256","93","88","29","0","39","18","80","38","106","14","12","0","0","33","16","16","289","73","0","70","0","88","47","97"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","964","660","345","91","99","160","36","518","38","346","85","349","72","135","574","369","138","910","1024","0","556","535","741","383","411"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","290","138","31","116","12","39","14","204","59","116","3","37","8","3","143","109","26","118","232","34","98","127","365","75","77"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","378","85","84","0","57","151","11","45","28","172","144","73","12","49","83","113","97","129","272","10","249","113","270","90","99"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","356","91","59","17","39","14","23","79","14","62","19","91","9","11","97","24","65","153","345","0","102","121","150","195","158"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","115","166","199","119","0","34","0","152","96","40","76","110","0","32","98","205","244","538","476","0","331","161","270","86","150"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","59","0","0","15","0","0","0","18","20","66","8","0","0","14","48","14","16","112","77","0","68","49","40","58","19"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","5890","4162","1467","484","385","515","797","1801","1110","2774","607","186","240","69","1017","167","826","4256","2004","9","417","309","443","333","421"
"publicpolygonfeature:5:44544","ZIP Code 37143","country:us/state:tn/zip:37143","37143","328","227","38","72","29","7","13","112","38","77","30","147","34","59","62","50","136","194","221","17","82","57","197","62","106"
