"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","75","86","20","0","0","46","0","28","52","140","17","0","0","0","0","38","49","152","181","36","40","15","112","68","20"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","1683","1169","576","712","209","372","502","535","686","1057","86","74","54","0","584","0","303","937","749","0","76","62","60","292","84"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","527","119","85","12","9","11","2","112","27","141","6","37","10","58","43","250","27","153","158","15","212","54","82","22","52"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","326","282","57","117","0","35","20","109","97","128","5","4","7","7","257","91","60","169","195","5","86","21","91","102","33"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","1408","918","538","166","32","271","19","1035","376","426","512","980","665","205","1074","1833","871","2197","2929","3","1482","532","869","1658","1228"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","2605","1419","1055","348","374","121","581","904","781","751","310","95","124","165","739","107","354","1550","1179","0","333","92","139","371","99"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","2533","1189","552","432","225","122","367","856","646","801","269","172","90","69","377","254","413","1921","799","0","236","23","294","223","229"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","681","306","90","182","24","87","74","362","173","128","258","287","82","56","707","1293","273","969","698","0","415","222","308","410","1093"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","2004","1227","815","497","145","591","271","1011","549","870","256","293","160","22","817","256","278","1807","1329","0","646","239","275","351","404"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","1478","734","516","254","80","166","318","839","285","623","531","576","278","125","1286","965","741","1992","2381","146","1807","761","739","1165","742"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","1703","1067","383","125","136","407","100","559","319","415","724","1349","675","120","2844","2500","207","2873","3180","77","1765","1033","1233","1782","1501"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","874","475","331","100","69","82","144","382","184","165","50","403","33","15","1437","1434","332","1001","1590","183","1670","193","677","771","643"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","1465","1055","570","362","33","185","267","1382","377","351","481","851","106","81","1601","706","639","1936","1770","0","1527","593","654","721","741"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","1404","831","149","314","36","228","143","626","985","356","650","735","450","222","1561","1019","595","2410","2985","31","895","409","834","1415","1083"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","2376","1047","501","493","67","303","250","712","551","607","224","618","232","48","1047","727","640","1793","2489","0","785","536","667","728","699"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","986","894","253","222","83","44","262","299","123","813","0","67","35","0","242","47","80","461","349","0","123","10","0","263","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","1834","1080","689","478","218","325","86","1304","407","644","351","325","315","86","2364","386","912","2433","1883","81","674","321","868","505","803"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","1541","840","222","211","45","508","243","1800","237","631","774","2025","499","162","3058","2080","1244","2446","2671","10","1472","661","1061","1931","1677"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","2319","992","1179","354","41","163","228","435","724","966","406","202","218","109","1448","524","652","1811","1102","13","478","283","315","849","203"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","659","319","340","345","24","122","58","672","175","275","10","251","32","112","333","95","0","468","615","0","777","12","50","97","53"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","1446","917","779","268","137","116","144","591","871","418","325","262","256","21","1862","539","546","1479","1850","66","579","158","513","486","515"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","2614","1845","916","475","138","310","190","1625","559","874","592","1135","509","116","2036","1835","731","2866","4150","33","1969","1150","2460","2826","2302"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","3426","2253","857","430","338","497","97","1139","1011","880","718","567","253","193","1413","2167","893","3343","3903","185","1124","894","1039","2308","999"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","2893","2517","1230","1331","194","732","181","1810","796","1278","1239","912","344","134","2364","1513","997","3505","4902","83","1250","992","1152","1802","804"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","999","567","989","754","197","340","103","1336","429","229","172","165","196","42","1567","717","385","1122","2047","8","387","293","285","293","304"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","1681","810","703","247","15","0","115","301","125","1435","125","258","62","35","227","283","104","729","881","0","178","152","211","365","339"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","4573","3134","2362","1603","570","688","302","2491","1482","1224","1154","888","466","217","1702","464","1170","3624","4156","0","787","754","510","1297","1057"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","1262","879","602","261","85","287","145","747","296","523","271","137","267","142","514","176","331","942","1998","0","387","375","143","592","414"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","73","54","0","0","3","0","0","3","0","45","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","17","0","0","0","0","0","0","0","0","0","0","0","0","21","6","0","0","0","7","0","0","0","0","0","0"
