"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","190","118","142","0","41","27","83","265","54","63","56","45","83","87","102","92","62","152","284","0","86","58","203","104","98"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","2632","1516","1039","474","212","321","659","1253","295","1579","281","131","139","133","548","243","395","1344","1479","22","94","373","328","82","207"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","526","266","129","122","14","81","33","123","90","137","73","145","8","0","224","108","77","558","782","0","85","127","257","99","233"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","22","12","16","0","13","0","0","0","20","0","16","0","0","0","18","16","0","0","113","0","198","0","0","79","72"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","1549","779","561","448","199","259","389","608","204","846","290","320","62","82","425","99","237","1084","1299","23","533","205","446","638","295"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","731","545","79","152","23","40","38","371","47","332","115","268","83","69","332","82","141","488","916","39","556","121","189","179","180"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","300","126","409","35","94","40","106","337","18","108","66","102","25","12","89","27","88","290","347","0","53","82","184","75","77"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","51","0","0","83","17","16","0","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","673","389","143","193","116","117","29","647","50","314","230","173","53","147","403","199","172","1043","1064","24","277","174","415","255","346"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","541","260","153","129","20","202","101","464","116","276","18","219","81","0","201","81","189","480","700","0","319","362","271","415","334"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","2528","1350","637","231","123","381","333","1480","582","1074","625","532","251","214","984","607","804","2644","3055","6","841","555","960","1144","805"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","465","329","146","154","292","173","86","632","127","187","254","318","312","95","593","795","242","435","871","1","414","561","492","475","970"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","2065","1429","766","153","225","332","247","978","274","834","444","495","226","222","688","484","363","1876","2392","0","646","508","555","942","1257"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","115","19","13","1","0","0","9","24","16","98","5","4","7","4","13","0","11","75","12","1","17","0","31","16","8"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","317","52","61","98","0","0","30","102","50","60","71","0","0","28","41","0","29","122","168","0","22","34","35","0","0"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","2329","1009","636","286","181","583","308","1380","303","989","466","1224","339","389","1326","970","781","2308","2973","25","1031","923","1274","1685","1554"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","653","465","202","49","78","56","10","457","8","245","175","56","129","131","110","73","43","243","458","0","92","117","42","181","8"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","0","0","0","0","0","0","21","0","0","0","19","0","0","78","0","27","45","49","0","0","0","0","18","23"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","198","100","16","16","0","15","6","80","17","48","15","17","3","7","67","6","12","85","242","0","54","19","58","14","23"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","314","108","47","37","26","65","12","218","21","39","88","14","25","71","30","101","24","198","316","40","132","141","56","123","27"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","1153","546","291","128","127","204","43","1134","139","559","240","247","175","197","1026","287","357","1453","1650","3","415","453","264","319","674"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","560","266","156","89","97","79","49","310","143","128","117","303","138","76","495","158","248","640","627","0","208","169","260","387","337"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","521","506","275","122","40","28","71","339","148","237","107","215","93","108","361","84","86","399","767","0","268","149","259","231","282"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","1737","777","307","127","253","213","661","982","352","1130","110","53","72","46","236","87","105","665","534","0","146","54","51","80","87"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","1110","715","662","177","157","278","436","849","556","826","189","177","110","120","520","676","229","941","1036","0","191","288","289","93","197"
