"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","360","231","83","205","9","45","65","348","44","85","139","588","47","56","423","450","110","631","931","48","705","204","505","331","653"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","94","0","111","52","17","0","0","185","7","23","0","27","0","0","90","0","15","98","33","0","71","24","17","0","12"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","951","389","215","244","0","82","40","504","132","60","156","1099","204","113","2053","1899","308","1520","1633","138","2752","533","1142","989","1185"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","70","46","43","0","0","11","15","86","3","42","0","44","0","0","199","156","25","120","164","0","51","34","47","71","279"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","282","61","10","8","27","112","80","152","71","16","110","343","77","17","497","587","187","765","864","25","763","372","673","248","474"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","1619","616","206","60","7","204","151","820","94","205","628","1019","109","58","1361","1335","633","1681","2521","229","1836","883","1152","1038","1176"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","1091","773","713","114","519","185","160","727","372","1325","563","665","521","0","2141","544","392","1950","2712","0","836","403","481","1106","915"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","2223","1531","1036","365","239","804","408","1429","612","1368","348","723","210","77","1160","569","388","2558","2968","0","593","358","706","617","454"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","768","384","54","99","72","83","39","613","88","84","244","1105","66","56","1369","1248","361","1202","1695","42","2098","781","1152","781","566"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","991","537","348","312","78","111","70","739","192","263","360","503","161","139","1419","834","157","972","1855","137","560","623","691","293","350"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","952","481","321","232","48","57","77","862","226","187","206","351","250","176","1133","718","460","967","1661","40","509","599","595","644","403"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","2766","1575","2300","610","338","591","443","1587","652","1843","1192","1386","307","313","2266","931","421","2089","3995","0","1229","830","1156","704","691"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","847","338","116","0","17","165","59","523","153","198","144","670","76","57","1369","968","304","1236","1363","15","1842","728","1110","547","709"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","0","0","0","0","0","0","0","0","0","0","0","6","0","24","0","0","0","0","0","0","0","0","0","0","6"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","88","57","2","0","0","0","0","145","31","0","49","98","61","31","232","103","12","343","185","72","521","397","234","244","27"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","460","277","33","82","0","87","0","167","14","276","23","94","48","27","103","362","109","252","302","15","383","279","113","150","163"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","53","0","0","0","0","0","0","46","0","0","5","0","0","0","0","50","0","90","43","0","0","0","0","0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","3946","1436","475","374","258","474","160","1138","406","1455","224","227","191","314","626","402","752","2434","1736","30","1043","684","498","265","289"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","277","257","274","102","46","16","69","249","76","54","111","90","106","24","153","147","149","629","490","0","144","159","358","99","237"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","2166","1380","547","293","177","145","267","461","320","872","306","127","175","73","332","492","81","1212","1060","0","294","84","142","257","132"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","38","48","0","0","0","10","0","0","0","10","0","32","0","0","35","165","0","33","23","0","83","60","26","14","109"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","0","3","0","0","0","0","0","0","0","8","6","0","12","0","12","0","0","0","6","0","35","0","14","12","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","615","228","114","262","9","76","34","342","0","154","68","233","84","13","239","159","38","298","626","43","383","345","173","245","126"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","226","249","56","37","19","1","18","92","38","319","12","75","0","0","98","22","42","151","227","24","295","102","149","79","18"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","1183","341","328","152","79","197","94","353","31","337","112","275","104","116","259","179","183","1009","924","16","519","344","370","373","332"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","2206","1177","544","537","115","337","128","1551","406","1304","187","279","200","200","319","75","273","1477","1432","0","255","257","262","289","268"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","319","72","0","102","16","148","0","245","49","40","7","15","0","0","85","0","124","235","375","15","468","276","199","135","94"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","7","6","0","0","0","0","0","0","0","0","153","0","0","0","0","0","0","0","9","0","0","18","0","0","0"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","196","10","0","2","4","51","130","36","0","0","33","127","2","0","7","0","30","49","228","0","50","71","45","0","18"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","21","0","0","0","0","0","0","24","0","0","34","0","0","17","0","0","0","0","24","0","0","42","18","0","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","426","255","20","7","0","17","0","92","0","44","46","185","45","94","139","47","30","305","437","0","232","302","154","147","69"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","64","15","10","0","0","10","0","162","0","6","0","0","0","0","49","75","28","57","15","17","7","38","8","17","0"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","138","54","8","109","0","0","8","7","52","10","77","51","0","0","2","12","28","101","210","0","11","11","122","0","10"
"publicpolygonfeature:5:59708","ZIP Code 78209","country:us/state:tx/zip:78209","78209","3750","1241","599","644","268","458","1155","1867","623","1630","171","311","145","0","1417","336","641","2417","2158","69","417","190","244","537","464"
"publicpolygonfeature:5:59709","ZIP Code 78056","country:us/state:tx/zip:78056","78056","154","47","103","24","28","0","12","52","0","79","58","9","16","16","9","30","0","252","166","17","58","10","23","44","42"
"publicpolygonfeature:5:59710","ZIP Code 78063","country:us/state:tx/zip:78063","78063","972","378","92","66","40","15","20","189","33","143","16","109","82","52","178","113","123","451","624","0","404","122","329","273","142"
"publicpolygonfeature:5:59711","ZIP Code 78057","country:us/state:tx/zip:78057","78057","0","13","0","0","0","0","0","43","0","0","0","0","0","0","0","66","18","0","15","0","94","0","0","9","10"
"publicpolygonfeature:5:59713","ZIP Code 78059","country:us/state:tx/zip:78059","78059","210","109","20","27","2","23","0","282","8","104","17","167","0","42","153","22","36","145","248","0","281","177","113","245","225"
"publicpolygonfeature:5:59715","ZIP Code 78210","country:us/state:tx/zip:78210","78210","1236","869","325","344","75","214","79","1003","230","232","244","941","129","79","1261","1231","211","1421","1414","0","1158","711","544","837","690"
"publicpolygonfeature:5:59717","ZIP Code 78064","country:us/state:tx/zip:78064","78064","401","174","58","24","17","73","39","249","70","258","89","399","145","35","445","212","85","887","826","16","668","261","431","278","307"
"publicpolygonfeature:5:59719","ZIP Code 78065","country:us/state:tx/zip:78065","78065","372","57","7","0","8","6","0","172","11","149","64","207","0","11","261","212","42","622","482","147","399","255","414","432","209"
"publicpolygonfeature:5:59720","ZIP Code 78066","country:us/state:tx/zip:78066","78066","34","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","13","0","0"
"publicpolygonfeature:5:59721","ZIP Code 78211","country:us/state:tx/zip:78211","78211","822","205","38","45","43","53","11","401","125","302","252","799","162","29","1136","966","271","1223","1591","1","1579","647","834","560","743"
"publicpolygonfeature:5:59723","ZIP Code 78069","country:us/state:tx/zip:78069","78069","210","35","3","49","9","3","0","165","43","107","185","36","0","24","81","45","72","302","402","13","396","316","86","47","264"
"publicpolygonfeature:5:59724","ZIP Code 78101","country:us/state:tx/zip:78101","78101","541","189","117","44","30","49","28","290","11","99","31","63","42","28","43","5","86","249","350","0","260","213","133","126","32"
"publicpolygonfeature:5:59725","ZIP Code 78070","country:us/state:tx/zip:78070","78070","1709","536","423","321","109","144","87","403","332","499","150","262","63","33","548","256","132","1538","614","43","389","411","91","177","228"
"publicpolygonfeature:5:59729","ZIP Code 78112","country:us/state:tx/zip:78112","78112","249","326","34","80","37","57","32","100","20","33","43","55","46","19","93","316","55","383","504","26","192","222","357","422","81"
"publicpolygonfeature:5:59730","ZIP Code 78147","country:us/state:tx/zip:78147","78147","41","23","34","8","17","0","0","67","0","14","51","26","92","9","24","40","0","63","63","9","35","26","71","22","10"
"publicpolygonfeature:5:59731","ZIP Code 78212","country:us/state:tx/zip:78212","78212","1869","647","463","183","104","301","394","982","311","901","434","253","115","43","971","345","333","1207","1280","61","865","275","263","287","445"
"publicpolygonfeature:5:59733","ZIP Code 78073","country:us/state:tx/zip:78073","78073","308","46","46","109","0","20","27","161","38","28","21","359","63","37","330","121","66","318","510","58","568","176","437","480","196"
"publicpolygonfeature:5:59738","ZIP Code 78108","country:us/state:tx/zip:78108","78108","2152","1669","882","222","129","461","126","1508","385","1176","756","375","429","310","1131","627","705","2097","2209","18","714","379","557","885","1033"
"publicpolygonfeature:5:59739","ZIP Code 78109","country:us/state:tx/zip:78109","78109","2698","1607","1335","418","111","406","198","1520","290","1630","726","989","492","414","1950","1017","750","3420","3867","60","635","1142","1433","1241","1722"
"publicpolygonfeature:5:59740","ZIP Code 78113","country:us/state:tx/zip:78113","78113","155","43","33","12","0","22","0","104","18","14","33","8","19","2","10","22","24","56","253","50","35","88","49","50","94"
"publicpolygonfeature:5:59741","ZIP Code 78114","country:us/state:tx/zip:78114","78114","720","409","353","128","23","288","45","806","54","508","142","208","262","94","422","149","340","885","1611","3","678","736","743","664","372"
"publicpolygonfeature:5:59743","ZIP Code 78124","country:us/state:tx/zip:78124","78124","217","165","157","46","30","50","19","185","0","99","65","43","18","15","137","52","156","307","263","0","154","159","165","245","74"
"publicpolygonfeature:5:59746","ZIP Code 78130","country:us/state:tx/zip:78130","78130","6142","3768","1492","1380","198","748","236","4143","1076","2083","1153","1441","945","443","3633","1394","1063","5722","6211","60","2128","2288","1983","1868","2059"
"publicpolygonfeature:5:59747","ZIP Code 78132","country:us/state:tx/zip:78132","78132","3184","2458","446","210","203","180","170","1576","605","1303","303","260","265","329","663","586","368","2126","1334","37","700","360","198","505","284"
