"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","2174","1662","1134","504","436","171","514","603","483","383","44","721","100","30","745","213","162","1211","1206","12","383","42","287","450","130"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","1613","1059","1202","288","358","159","187","734","477","656","384","1000","111","187","1016","1207","802","1600","2451","15","1000","425","575","832","736"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","1424","1150","1277","141","633","45","287","908","352","480","78","107","10","0","103","77","17","198","221","0","17","0","98","0","26"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","3217","1473","4695","1471","754","171","92","717","245","614","228","341","118","59","539","158","404","862","1119","0","160","288","294","268","456"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","2577","1493","815","753","319","246","324","705","465","975","134","258","81","77","508","68","288","1552","1009","62","374","79","186","262","139"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","1939","624","1412","482","822","114","290","658","397","488","360","798","237","143","1273","1842","315","958","1438","110","1494","352","634","634","756"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","1303","637","1207","176","472","61","112","325","154","293","36","62","15","19","101","0","144","286","352","0","0","20","86","51","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1009","565","497","258","345","85","330","1069","356","430","27","87","6","32","30","35","58","336","311","0","30","36","185","5","64"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","2983","1627","1561","531","727","376","392","994","486","1204","388","721","219","223","1121","956","659","1770","2573","52","1036","617","780","728","597"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","444","172","326","66","36","0","195","37","67","30","15","130","5","0","116","8","30","268","236","0","8","7","67","47","106"
