"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","2808","2141","1095","445","142","277","312","602","398","1071","286","242","154","117","521","281","333","2295","1443","13","102","322","107","258","176"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","2691","1263","559","484","181","123","1166","672","450","1331","217","76","25","21","369","160","222","1919","962","10","136","12","255","222","78"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","955","507","571","305","95","118","80","247","330","364","206","607","151","0","420","584","308","993","2111","3","375","555","621","759","598"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","1045","937","625","445","43","197","100","448","246","394","246","492","184","114","594","336","488","1127","799","33","581","352","568","661","322"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","1019","388","341","121","53","37","139","811","240","526","365","274","256","120","527","350","210","1727","1491","75","525","531","147","665","122"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","1649","1042","402","325","38","179","73","610","143","701","165","284","112","92","657","130","250","1558","1416","0","228","221","473","284","115"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","30","65","87","0","0","0","0","18","0","68","0","49","0","0","0","0","0","150","56","0","0","0","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","765","500","265","188","36","67","61","447","154","505","162","239","260","73","815","243","208","1376","1131","0","622","415","325","604","336"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","1417","814","235","167","94","84","206","427","324","654","235","258","50","53","577","158","202","879","1121","0","352","94","173","286","117"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","1525","749","498","332","193","342","204","734","459","825","336","532","87","11","711","444","401","1346","1521","58","346","345","676","337","453"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","1589","923","260","117","71","22","89","165","363","354","104","95","46","22","265","115","139","958","436","4","43","81","160","99","66"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","1486","815","310","184","125","90","233","603","332","615","169","241","48","50","661","409","319","1122","853","106","263","392","280","374","100"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","1139","459","272","182","51","115","194","435","157","457","185","87","36","30","217","270","117","1242","532","0","266","115","205","124","100"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","1062","535","281","201","66","199","127","254","207","285","198","637","89","14","867","458","383","1591","1289","9","611","301","776","330","252"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","2580","1307","798","360","448","330","261","872","456","819","605","387","171","171","869","511","412","2417","1719","37","521","295","960","339","353"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","1037","475","206","80","40","198","147","339","154","382","186","343","331","40","796","214","513","921","977","7","415","352","226","172","153"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","1792","633","568","158","81","128","139","614","357","656","426","493","165","152","916","1036","256","1485","1882","11","852","520","405","470","350"
