"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","796","1175","13"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","37051","10862","370"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","613","2224","43"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","988","2304","13"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","4751","22227","1508"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","37019","14596","333"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","20210","13092","405"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","12327","9178","398"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","33587","15113","576"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","9940","19528","867"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","15545","27077","3206"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","55090","13238","883"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","22310","18454","1697"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","13887","20366","1730"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","6281","18140","1042"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","4163","5656","156"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","17796","19372","1209"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","4753","28049","3387"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","112747","16014","818"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","1534","5894","422"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","26456","15144","935"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","24430","34256","2252"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","27271","30927","1303"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","11056","34955","1888"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","19172","13926","1015"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","33400","9381","463"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","10815","36675","2065"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","2348","11776","337"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","59397","183","0"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","59","51","0"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","17362","21969","876"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","693","5451","159"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","8710","26017","1671"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","6563","12974","863"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","24703","28342","1725"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","13524","27941","1879"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","247","940","22"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","10716","8714","541"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","24050","21254","1094"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","14693","13074","913"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","443","803","142"
