"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","360","2495","425"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","13482","15779","961"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","1462","4297","297"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","273","595","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","20207","11880","852"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","1852","6116","331"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","1991","3090","82"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","2811","202","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","5488","7646","260"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","3268","5932","229"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","38","34","12"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","15146","22746","1471"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","1822","9419","678"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","20961","18401","1274"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","140","499","19"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","506","1320","10"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","4823","25272","1653"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","1059","4081","122"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","377","280","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","1364","1118","96"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","1101","2273","74"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","6177","12084","953"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","2726","6040","337"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","5089","5696","240"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","4530","8865","643"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","12857","10822","570"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","2071","4176","196"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","2655","3209","0"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","9841","11416","608"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","1645","201","17"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039",,"19","6"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","127","306","29"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","54","104","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","20235","14933","748"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","3110","1492","193"
