"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","18304","13800","893"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","3956","19074","1291"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","9763","7649","344"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","5458","18743","898"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","32387","13749","919"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","37534","18570","634"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","22511","5912","381"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1987","6186","331"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","14982","23321","1226"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","82356","2416","192"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","6382","41016","3451"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","42","156","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","1883","2763","92"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","10046","21881","1173"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","18448","19934","958"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","5596","21973","1208"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","10505","25283","1435"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","12281","35508","1850"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","12122","24729","961"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","11269","22813","1088"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","7308","14017","1090"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","10733","2320","220"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","31028","21319","1338"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","4848","6985","194"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","164","1014","15"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","98797","20699","1145"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","1822","2744","123"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","4103","11657","706"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","201","1516","160"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","374","1296","2"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","4375","20339","832"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","474","809","58"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","5379","19151","1321"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","5144","22557","1453"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","5867","13051","330"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","7566","30056","2072"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","20055","16055","853"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","41","86","0"
