"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","9335","15941","599"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","8664","13604","426"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","42884","11863","512"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","3504","11377","524"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","5086","11060","984"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","17692","11147","647"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679",,"80","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","110","523","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","2392","9797","441"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","6070","8977","285"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","8241","13465","900"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","8087","6586","265"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","6153","10180","462"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","4723","6987","176"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","5758","11022","518"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","11482","17998","680"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","5716","8704","929"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","16836","14545","582"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","5684","11679","404"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","5283","10863","471"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","1950","2314","73"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","121","662","24"
"publicpolygonfeature:5:41336","ZIP Code 33576","country:us/state:fl/zip:33576","33576","1789","2289","130"
"publicpolygonfeature:5:41427","ZIP Code 33603","country:us/state:fl/zip:33603","33603","5368","12033","600"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","20","390","0"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","3705","15585","882"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","1650","4045","300"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","5242","8607","359"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","4728","8724","499"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","6293","20326","539"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","11164","15771","948"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","1469","17062","950"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","6636","24451","1518"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","9241","17580","573"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","24857","30230","1529"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","2284","8707","1066"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","5094","8346","396"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","4039","7924","318"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","4093","8736","498"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","6461","16116","725"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","3935","14012","548"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","3113","4250","199"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","7023","8644","268"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","6456","10463","570"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","11833","13013","297"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","1927","7952","286"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","10851","11626","635"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","1696","6551","155"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","6025","14001","564"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","6838","15128","688"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","3977","13100","700"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","5659","10733","167"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","18280","32796","1430"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","2769","25680","966"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","7837","13380","622"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","7063","20132","1120"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","3094","5521","465"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","3345","19394","698"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","3165","14215","506"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","19797","7212","819"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","26085","13358","677"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","542","4768","57"
"publicpolygonfeature:5:43562","ZIP Code 33598","country:us/state:fl/zip:33598","33598","1883","13351","775"
"publicpolygonfeature:5:43563","ZIP Code 33602","country:us/state:fl/zip:33602","33602","41650","14032","365"
"publicpolygonfeature:5:43564","ZIP Code 33607","country:us/state:fl/zip:33607","33607","87744","15223","718"
"publicpolygonfeature:5:43565","ZIP Code 33609","country:us/state:fl/zip:33609","33609","26742","10519","379"
"publicpolygonfeature:5:43566","ZIP Code 33610","country:us/state:fl/zip:33610","33610","49194","20926","1680"
"publicpolygonfeature:5:43567","ZIP Code 33611","country:us/state:fl/zip:33611","33611","9175","20558","383"
"publicpolygonfeature:5:43568","ZIP Code 33612","country:us/state:fl/zip:33612","33612","31340","22508","1218"
"publicpolygonfeature:5:43569","ZIP Code 33625","country:us/state:fl/zip:33625","33625","11693","16059","860"
"publicpolygonfeature:5:43570","ZIP Code 33613","country:us/state:fl/zip:33613","33613","12875","19986","862"
"publicpolygonfeature:5:43571","ZIP Code 33614","country:us/state:fl/zip:33614","33614","23112","24388","1762"
"publicpolygonfeature:5:43572","ZIP Code 33615","country:us/state:fl/zip:33615","33615","7839","26280","1434"
"publicpolygonfeature:5:43573","ZIP Code 33616","country:us/state:fl/zip:33616","33616","1384","8681","340"
"publicpolygonfeature:5:43574","ZIP Code 33617","country:us/state:fl/zip:33617","33617","10575","23644","2053"
"publicpolygonfeature:5:43575","ZIP Code 33618","country:us/state:fl/zip:33618","33618","15488","14615","616"
"publicpolygonfeature:5:43576","ZIP Code 33619","country:us/state:fl/zip:33619","33619","50283","20279","1241"
"publicpolygonfeature:5:43577","ZIP Code 33620","country:us/state:fl/zip:33620","33620","164","2757","251"
"publicpolygonfeature:5:43578","ZIP Code 33621","country:us/state:fl/zip:33621","33621","1579","351","41"
"publicpolygonfeature:5:43579","ZIP Code 33624","country:us/state:fl/zip:33624","33624","7390","22149","928"
"publicpolygonfeature:5:43580","ZIP Code 33637","country:us/state:fl/zip:33637","33637","16072","10253","322"
"publicpolygonfeature:5:43581","ZIP Code 33647","country:us/state:fl/zip:33647","33647","22948","39008","1561"
"publicpolygonfeature:5:43582","ZIP Code 33701","country:us/state:fl/zip:33701","33701","25047","9762","452"
"publicpolygonfeature:5:43583","ZIP Code 33702","country:us/state:fl/zip:33702","33702","14576","15573","832"
"publicpolygonfeature:5:43584","ZIP Code 33703","country:us/state:fl/zip:33703","33703","3902","13864","478"
"publicpolygonfeature:5:43585","ZIP Code 33704","country:us/state:fl/zip:33704","33704","7144","8839","252"
"publicpolygonfeature:5:43586","ZIP Code 33712","country:us/state:fl/zip:33712","33712","4209","12576","704"
"publicpolygonfeature:5:43587","ZIP Code 33713","country:us/state:fl/zip:33713","33713","10318","18880","661"
"publicpolygonfeature:5:43588","ZIP Code 33714","country:us/state:fl/zip:33714","33714","4441","9019","788"
"publicpolygonfeature:5:43589","ZIP Code 33715","country:us/state:fl/zip:33715","33715","1149","3197","102"
"publicpolygonfeature:5:43590","ZIP Code 33716","country:us/state:fl/zip:33716","33716","35140","12945","750"
"publicpolygonfeature:5:43591","ZIP Code 33744","country:us/state:fl/zip:33744","33744","4955","0","0"
"publicpolygonfeature:5:43592","ZIP Code 33755","country:us/state:fl/zip:33755","33755","5906","14432","631"
"publicpolygonfeature:5:43593","ZIP Code 33759","country:us/state:fl/zip:33759","33759","12588","7587","477"
"publicpolygonfeature:5:43594","ZIP Code 33760","country:us/state:fl/zip:33760","33760","18276","10201","583"
"publicpolygonfeature:5:43595","ZIP Code 33761","country:us/state:fl/zip:33761","33761","9454","8064","137"
"publicpolygonfeature:5:43596","ZIP Code 33762","country:us/state:fl/zip:33762","33762","16447","2744","86"
"publicpolygonfeature:5:43597","ZIP Code 33763","country:us/state:fl/zip:33763","33763","5274","8561","364"
"publicpolygonfeature:5:43599","ZIP Code 33764","country:us/state:fl/zip:33764","33764","14146","14088","786"
"publicpolygonfeature:5:43600","ZIP Code 33765","country:us/state:fl/zip:33765","33765","12996","6920","450"
"publicpolygonfeature:5:43601","ZIP Code 33767","country:us/state:fl/zip:33767","33767","6265","2931","59"
"publicpolygonfeature:5:43602","ZIP Code 33770","country:us/state:fl/zip:33770","33770","7337","11728","807"
"publicpolygonfeature:5:43603","ZIP Code 33771","country:us/state:fl/zip:33771","33771","11252","12915","529"
"publicpolygonfeature:5:43604","ZIP Code 33773","country:us/state:fl/zip:33773","33773","14561","9193","338"
"publicpolygonfeature:5:43605","ZIP Code 33774","country:us/state:fl/zip:33774","33774","3631","9210","386"
"publicpolygonfeature:5:43606","ZIP Code 33776","country:us/state:fl/zip:33776","33776","1450","5581","236"
"publicpolygonfeature:5:43607","ZIP Code 33777","country:us/state:fl/zip:33777","33777","9140","9525","328"
"publicpolygonfeature:5:43608","ZIP Code 33778","country:us/state:fl/zip:33778","33778","2242","7807","306"
"publicpolygonfeature:5:43609","ZIP Code 33781","country:us/state:fl/zip:33781","33781","12692","14325","769"
"publicpolygonfeature:5:43756","ZIP Code 34652","country:us/state:fl/zip:34652","34652","8537","12324","614"
"publicpolygonfeature:5:43759","ZIP Code 34601","country:us/state:fl/zip:34601","34601","7658","9679","600"
"publicpolygonfeature:5:43760","ZIP Code 34602","country:us/state:fl/zip:34602","34602","2479","5129","201"
"publicpolygonfeature:5:43761","ZIP Code 34604","country:us/state:fl/zip:34604","34604","3653","5610","138"
"publicpolygonfeature:5:43762","ZIP Code 34606","country:us/state:fl/zip:34606","34606","7493","10602","826"
"publicpolygonfeature:5:43763","ZIP Code 34607","country:us/state:fl/zip:34607","34607","1479","3551","415"
"publicpolygonfeature:5:43764","ZIP Code 34608","country:us/state:fl/zip:34608","34608","2131","15914","558"
"publicpolygonfeature:5:43765","ZIP Code 34609","country:us/state:fl/zip:34609","34609","7974","20135","1357"
"publicpolygonfeature:5:43766","ZIP Code 34610","country:us/state:fl/zip:34610","34610","1849","8053","239"
"publicpolygonfeature:5:43767","ZIP Code 34653","country:us/state:fl/zip:34653","34653","5410","14767","800"
"publicpolygonfeature:5:43768","ZIP Code 34613","country:us/state:fl/zip:34613","34613","8331","7028","342"
"publicpolygonfeature:5:43769","ZIP Code 34614","country:us/state:fl/zip:34614","34614","450","4584","213"
"publicpolygonfeature:5:43770","ZIP Code 34637","country:us/state:fl/zip:34637","34637","942","4692","531"
"publicpolygonfeature:5:43771","ZIP Code 34638","country:us/state:fl/zip:34638","34638","4273","18981","517"
"publicpolygonfeature:5:43772","ZIP Code 34639","country:us/state:fl/zip:34639","34639","4193","15795","738"
"publicpolygonfeature:5:43773","ZIP Code 34655","country:us/state:fl/zip:34655","34655","12066","23669","846"
"publicpolygonfeature:5:43774","ZIP Code 34661","country:us/state:fl/zip:34661","34661",,"87","16"
"publicpolygonfeature:5:43775","ZIP Code 34667","country:us/state:fl/zip:34667","34667","7892","10301","562"
"publicpolygonfeature:5:43776","ZIP Code 34668","country:us/state:fl/zip:34668","34668","8230","19905","1078"
"publicpolygonfeature:5:43777","ZIP Code 34669","country:us/state:fl/zip:34669","34669","1414","6044","156"
