"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","125","1116","1555","236","1648","973","648","1656","4465","3346","1520","1524","989","0","62","63","814","302","1075","480","188","48","1017","631","824","149","390","258","965","691","2478","1987","1053","2293","1010","510","700","824","417","572"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","103","606","593","144","1108","232","1016","1118","3530","3114","1077","511","748","0","77","26","594","12","369","224","31","113","650","458","201","31","443","573","796","322","2073","1457","918","2196","678","399","93","418","293","455"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","184","2392","2047","553","2937","1100","1089","1976","8395","4831","2477","866","1575","111","147","37","1958","434","1437","610","420","133","1634","1303","778","322","722","367","1345","631","4794","3601","1326","3505","1324","1153","302","564","829","746"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","28","157","126","30","196","47","5","41","165","194","16","81","70","0","28","0","138","19","119","7","18","12","103","93","22","25","5","0","4","37","148","17","51","143","2","14","37","44","58","12"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","105","510","172","26","186","98","27","104","288","294","61","213","107","0","42","63","471","39","139","33","26","0","105","81","80","18","18","9","60","44","257","31","30","264","16","45","119","94","55","52"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","12","118","200","19","111","55","0","86","277","114","60","57","58","98","12","0","118","0","121","79","19","0","33","78","36","19","0","0","45","41","185","92","27","87","0","60","15","42","40","18"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","161","1491","494","180","1307","303","150","433","1036","1710","734","502","410","18","135","26","1318","173","237","257","164","16","729","578","224","79","91","59","68","365","623","413","315","1395","255","479","340","162","163","247"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","208","1193","1006","247","1399","612","108","455","1150","1658","794","596","684","0","195","13","1036","157","780","226","181","66","674","725","422","190","108","0","217","238","587","563","414","1244","344","450","205","391","194","490"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","5","102","52","0","99","35","0","16","43","306","10","41","136","33","5","0","102","0","46","6","0","0","57","42","30","5","0","0","11","5","31","12","18","288","8","2","32","9","17","119"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","130","2070","1837","226","1930","1209","436","725","2121","4322","1289","1005","860","754","57","73","1928","142","1560","277","215","11","972","958","905","304","247","189","300","425","762","1359","924","3398","635","654","387","618","445","415"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","9","82","391","279","416","96","503","1115","3622","1066","601","277","406","32","9","0","54","28","381","10","270","9","135","281","21","75","256","247","624","491","2429","1193","599","467","276","325","27","250","180","226"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","85","850","1214","412","1528","370","1043","1356","5041","2567","1264","1308","391","0","69","16","785","65","787","427","306","106","884","644","244","126","599","444","889","467","2578","2463","898","1669","563","701","724","584","158","233"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","206","463","1003","107","979","109","310","1764","4087","3146","1025","534","417","0","188","18","319","144","625","378","41","66","571","408","109","0","70","240","1280","484","2192","1895","1498","1648","451","574","318","216","157","260"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","73","2377","2296","717","2493","1621","461","1890","3858","4788","2030","2939","1032","10","69","4","1976","401","1375","921","496","221","1526","967","1194","427","325","136","771","1119","2180","1678","1389","3399","1166","864","1196","1743","437","595"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","219","1398","550","66","388","701","21","364","1118","1394","751","625","472","0","219","0","1085","313","450","100","49","17","246","142","535","166","21","0","158","206","669","449","407","987","456","295","227","398","337","135"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","211","1504","2014","443","2174","1274","1745","3567","10301","6270","2468","1200","1489","36","183","28","817","687","1482","532","298","145","1091","1083","740","534","931","814","2225","1342","6148","4153","1937","4333","1195","1273","554","646","755","734"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","101","506","928","96","1743","347","415","901","1637","6773","2252","513","298","0","82","19","333","173","648","280","96","0","430","1313","189","158","337","78","448","453","1003","634","3270","3503","1059","1193","278","235","117","181"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","181","2189","4659","1014","5524","1976","1529","4551","9864","8892","3427","2251","1902","29","133","48","1804","385","3365","1294","711","303","3309","2215","1341","635","1248","281","2317","2234","5665","4199","2382","6510","1697","1730","1187","1064","944","958"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","43","86","47","11","71","58","0","36","76","108","61","82","27","0","43","0","61","25","37","10","10","1","64","7","58","0","0","0","8","28","10","66","8","100","32","29","4","78","7","20"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","152","1297","393","29","330","223","44","147","569","685","452","259","266","0","140","12","1192","105","324","69","11","18","132","198","109","114","20","24","69","78","220","349","150","535","236","216","136","123","0","266"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","199","2251","760","91","1945","629","105","846","1062","2647","1251","1032","986","0","177","22","2146","105","475","285","73","18","1447","498","483","146","60","45","462","384","670","392","673","1974","535","716","322","710","669","317"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","172","643","1201","198","1088","496","286","1116","2174","2345","709","443","540","87","138","34","517","126","928","273","138","60","731","357","438","58","219","67","661","455","1179","995","566","1779","214","495","255","188","256","284"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","60","244","348","69","150","59","57","340","801","644","102","99","167","0","41","19","147","97","327","21","10","59","12","138","22","37","43","14","227","113","554","247","134","510","80","22","56","43","87","80"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","108","2316","1377","191","1655","853","189","734","1543","2208","1077","1457","765","0","85","23","2139","177","1085","292","142","49","700","955","676","177","135","54","275","459","990","553","445","1763","447","630","559","898","430","335"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","0","21","0","60","0","0","0","37","0","21","40","0","0","0","0","0","0","21","0","0","0","6","54","0","0","0","0","0","0","13","24","0","0","21","0","0","40","0","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","244","1879","1937","474","3741","912","537","1515","4129","5497","2184","1268","1177","367","150","94","1573","306","1398","539","386","88","1992","1749","599","313","396","141","687","828","2520","1609","1455","4042","1141","1043","637","631","421","756"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","234","1578","2236","418","2631","958","574","1984","4947","5462","1395","1177","1030","226","226","8","1214","364","1523","713","292","126","1657","974","712","246","366","208","1077","907","2906","2041","1535","3927","786","609","714","463","572","458"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","0","225","161","0","229","125","0","41","244","318","86","57","147","0","0","0","166","59","106","55","0","0","183","46","110","15","0","0","0","41","132","112","106","212","57","29","0","57","88","59"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","133","0","3","50","34","54","9","7","36","108","0","13","5","0","133","0","0","0","0","3","50","0","0","34","54","0","0","9","7","0","32","4","0","108","0","0","0","13","0","5"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","70","673","678","199","589","314","185","722","1616","2026","706","660","353","85","64","6","549","124","500","178","173","26","284","305","269","45","47","138","317","405","1074","542","489","1537","373","333","338","322","142","211"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","93","2183","2269","374","2894","1328","403","2565","3575","4887","2094","2099","1141","125","56","37","1739","444","1804","465","314","60","1477","1417","991","337","240","163","1273","1292","2204","1371","1498","3389","920","1174","898","1201","514","627"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","14","157","128","0","74","83","14","37","200","366","164","91","70","0","0","14","119","38","113","15","0","0","0","74","68","15","0","14","0","37","148","52","171","195","131","33","58","33","54","16"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","318","5141","3499","593","5713","2013","650","2238","4590","9464","3156","2842","1679","257","302","16","4638","503","2377","1122","420","173","3590","2123","1616","397","583","67","822","1416","2727","1863","2385","7079","1816","1340","1767","1075","763","916"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","53","1705","3297","928","3721","1780","921","2625","6901","8274","2395","2317","1314","72","11","42","1461","244","2400","897","505","423","2340","1381","1280","500","689","232","1033","1592","4406","2495","2271","6003","1609","786","1115","1202","517","797"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","513","3678","5326","943","6283","2228","1343","4402","11174","9886","3600","2435","2301","179","307","206","2942","736","3865","1461","695","248","3819","2464","1915","313","873","470","1874","2528","6634","4540","2854","7032","2137","1463","1134","1301","916","1385"
