"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","9","938","1294","290","1435","698","353","3198","3354","2779","1136","112","525","27","0","9","720","218","958","336","205","85","930","505","399","299","285","68","2039","1159","2026","1328","510","2269","698","438","38","74","262","263"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","77","2588","2372","583","2413","1108","547","4432","4672","4256","2030","178","1283","106","70","7","2118","470","1724","648","338","245","1246","1167","627","481","237","310","2560","1872","2113","2559","824","3432","1180","850","88","90","300","983"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","17","1012","1200","323","1014","639","357","3486","3828","2977","1055","200","896","38","0","17","759","253","732","468","175","148","301","713","405","234","242","115","2085","1401","2176","1652","1136","1841","429","626","48","152","336","560"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","165","3349","1631","335","2726","1687","464","1260","2653","3142","2073","276","1142","59","143","22","2928","421","969","662","266","69","1426","1300","1168","519","224","240","449","811","981","1672","834","2308","1075","998","94","182","502","640"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","37","0","0","0","0","0","11","0","0","0","11","0","0","0","0","0","13","24","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","11"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","40","3000","1573","363","3173","2159","434","2460","3127","4341","2060","930","1156","59","18","22","2276","724","938","635","213","150","1529","1644","1562","597","189","245","1092","1368","1588","1539","881","3460","939","1121","454","476","585","571"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","28","1269","1363","507","2032","756","492","3827","3680","3295","1544","278","1038","7","28","0","1119","150","707","656","390","117","1127","905","560","196","315","177","2118","1709","2177","1503","1158","2137","727","817","92","186","449","589"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","95","266","578","132","484","258","39","43","169","447","146","80","77","0","88","7","235","31","501","77","56","76","199","285","194","64","37","2","0","43","75","94","91","356","23","123","74","6","9","68"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","121","1184","1718","514","2314","954","71","945","1811","3041","1238","831","493","57","121","0","1059","125","1292","426","372","142","1252","1062","837","117","58","13","381","564","935","876","747","2294","710","528","384","447","215","278"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","194","1197","1504","308","2288","952","278","908","984","2514","1367","389","783","23","172","22","1122","75","1081","423","223","85","1210","1078","786","166","140","138","265","643","477","507","498","2016","644","723","214","175","321","462"
