"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","2","113","132","0","35","16","2","25","47","102","32","60","41","0","2","0","104","9","114","18","0","0","17","18","16","0","0","2","0","25","30","17","2","100","19","13","16","44","27","14"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","68","201","385","22","191","91","4","76","166","551","140","81","76","0","62","6","185","16","320","65","13","9","86","105","64","27","0","4","15","61","77","89","62","489","58","82","35","46","31","45"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","19","519","1229","266","2141","1842","260","2062","2563","4158","847","973","353","23","19","0","340","179","903","326","199","67","1154","987","1365","477","215","45","1046","1016","1794","769","1099","3059","477","370","372","601","167","186"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","110","1338","2575","542","2811","2346","496","1325","2597","4460","1898","1344","957","9","110","0","1216","122","1645","930","341","201","1536","1275","1609","737","265","231","435","890","1510","1087","1260","3200","928","970","658","686","435","522"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","28","653","845","193","1265","1126","281","1625","1699","4337","1021","892","629","42","22","6","548","105","570","275","128","65","521","744","874","252","231","50","963","662","1046","653","1283","3054","512","509","421","471","263","366"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","0","37","61","37","398","54","21","51","158","1807","964","77","48","6","0","0","37","0","40","21","7","30","215","183","18","36","0","21","23","28","118","40","672","1135","282","682","36","41","34","14"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","0","811","802","251","1234","744","134","294","908","1943","1100","148","285","0","0","0","755","56","492","310","146","105","587","647","509","235","69","65","95","199","439","469","317","1626","521","579","55","93","132","153"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","109","225","745","457","1375","616","290","1864","2368","5333","1641","403","510","24","21","88","208","17","463","282","250","207","731","644","459","157","192","98","1273","591","1204","1164","2015","3318","702","939","190","213","288","222"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","36","982","1490","324","2095","2631","271","1204","1799","3451","1506","778","598","48","4","32","882","100","933","557","162","162","768","1327","1784","847","152","119","379","825","982","817","1262","2189","734","772","377","401","206","392"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","63","622","785","369","1301","555","454","1468","2602","4796","1180","723","872","7","37","26","495","127","597","188","226","143","634","667","472","83","333","121","835","633","1441","1161","1597","3199","631","549","462","261","447","425"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","13","305","590","315","1209","325","607","1944","2670","3294","1326","551","500","0","13","0","202","103","449","141","209","106","748","461","196","129","393","214","1149","795","1572","1098","1195","2099","599","727","363","188","201","299"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","8","71","27","136","146","123","26","78","63","134","66","43","15","6","8","0","59","12","27","0","15","121","78","68","83","40","26","0","52","26","21","42","36","98","14","52","25","18","5","10"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","0","538","987","307","1429","2047","202","1455","1487","3674","978","360","552","0","0","0","448","90","662","325","155","152","639","790","1528","519","181","21","545","910","737","750","591","3083","401","577","130","230","325","227"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","0","656","781","342","1795","585","348","1812","2375","4797","1547","796","465","0","0","0","575","81","571","210","147","195","1189","606","484","101","215","133","895","917","1590","785","1714","3083","807","740","639","157","258","207"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","5","1360","1982","430","3003","3087","222","1540","1784","5131","1855","927","651","6","5","0","1253","107","1428","554","248","182","1342","1661","2101","986","142","80","554","986","917","867","1099","4032","1102","753","350","577","339","312"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","9","915","1810","576","2461","862","506","2825","4281","6336","2513","673","1138","10","0","9","729","186","1030","780","441","135","1316","1145","606","256","287","219","1564","1261","2557","1724","1995","4341","1171","1342","299","374","614","524"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","71","149","409","66","913","386","128","658","982","594","175","114","26","0","71","0","149","0","333","76","66","0","413","500","248","138","89","39","252","406","744","238","172","422","95","80","114","0","0","26"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","4","40","82","0","54","75","0","30","12","79","31","2","120","0","4","0","40","0","59","23","0","0","43","11","14","61","0","0","6","24","10","2","5","74","13","18","0","2","3","117"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","0","22","5","0","46","4","0","13","2","39","8","21","17","0","0","0","22","0","5","0","0","0","23","23","2","2","0","0","2","11","0","2","15","24","0","8","19","2","14","3"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","116","545","626","188","730","740","137","475","594","1131","343","573","335","0","94","22","528","17","431","195","143","45","329","401","465","275","78","59","227","248","376","218","293","838","122","221","367","206","201","134"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","26","65","231","0","193","56","0","307","83","157","192","49","78","0","26","0","65","0","152","79","0","0","111","82","18","38","0","0","171","136","27","56","8","149","124","68","24","25","55","23"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","23","2021","2213","497","2363","1805","245","1085","3053","3959","2207","677","1265","18","23","0","1798","223","1673","540","251","246","803","1560","1194","611","160","85","402","683","1673","1380","1238","2721","840","1367","404","273","576","689"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","75","224","622","203","702","517","193","379","857","1844","959","451","251","89","75","0","182","42","493","129","172","31","268","434","394","123","112","81","165","214","539","318","468","1376","498","461","210","241","134","117"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","18","454","901","332","1352","960","208","1308","1908","3406","1325","598","774","0","18","0","356","98","630","271","209","123","630","722","575","385","145","63","650","658","1292","616","1127","2279","640","685","176","422","231","543"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","72","124","198","0","189","32","3","48","137","533","97","106","61","0","43","29","102","22","165","33","0","0","130","59","30","2","0","3","27","21","57","80","118","415","71","26","81","25","22","39"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","0","0","81","0","22","53","0","69","296","185","33","0","47","0","0","0","0","0","81","0","0","0","0","22","21","32","0","0","25","44","259","37","0","185","0","33","0","0","31","16"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","106","197","558","73","242","148","67","299","367","772","156","74","238","0","106","0","171","26","420","138","73","0","165","77","107","41","34","33","109","190","182","185","262","510","54","102","51","23","116","122"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","27","58","26","20","109","47","265","70","62","177","49","10","20","0","9","18","41","17","21","5","0","20","105","4","44","3","118","147","68","2","56","6","1","176","39","10","8","2","1","19"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","91","1506","3225","466","2744","1417","474","3289","4271","9034","2296","1557","1548","40","75","16","1419","87","2370","855","362","104","1569","1175","906","511","213","261","2112","1177","2597","1674","2880","6154","1132","1164","1054","503","421","1127"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","28","1217","2877","659","1680","862","312","3170","4220","6273","1829","1004","739","14","18","10","1039","178","2168","709","472","187","971","709","714","148","170","142","1603","1567","2534","1686","2011","4262","913","916","704","300","361","378"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","68","809","1935","501","1762","603","384","2972","3637","6203","1554","481","647","0","43","25","735","74","1472","463","283","218","1031","731","498","105","211","173","1806","1166","2102","1535","2201","4002","780","774","285","196","253","394"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","183","620","672","129","660","202","39","126","190","960","237","143","181","7","148","35","593","27","540","132","0","129","286","374","178","24","28","11","73","53","127","63","227","733","87","150","101","42","73","108"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","59","306","657","137","721","346","166","908","997","1974","768","259","350","0","33","26","232","74","487","170","87","50","397","324","272","74","75","91","462","446","643","354","545","1429","495","273","189","70","82","268"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","34","325","620","250","520","243","179","611","867","2499","513","387","296","14","13","21","302","23","485","135","110","140","256","264","173","70","119","60","410","201","621","246","614","1885","242","271","258","129","186","110"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","22","169","213","53","271","285","61","140","305","618","258","144","165","0","22","0","151","18","160","53","25","28","139","132","245","40","25","36","38","102","128","177","146","472","146","112","116","28","97","68"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","55","1340","3193","1160","3791","2041","818","3872","4612","9713","2648","2077","1255","141","47","8","1233","107","2328","865","801","359","2113","1678","1539","502","556","262","2192","1680","2979","1633","2460","7253","1375","1273","1090","987","577","678"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","76","45","21","0","11","8","0","0","42","50","26","8","9","0","64","12","45","0","17","4","0","0","11","0","8","0","0","0","0","0","0","42","28","22","11","15","8","0","0","9"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","0","39","0","0","4","27","0","0","16","17","9","13","0","0","0","0","39","0","0","0","0","0","4","0","27","0","0","0","0","0","8","8","9","8","0","9","8","5","0","0"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","41","965","530","171","806","341","71","768","578","2251","371","387","413","35","35","6","955","10","364","166","117","54","450","356","341","0","60","11","361","407","300","278","676","1575","133","238","213","174","137","276"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","3","20","7","0","21","53","0","6","7","29","23","4","4","0","3","0","17","3","7","0","0","0","5","16","41","12","0","0","0","6","1","6","11","18","9","14","2","2","1","3"
