"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","160","588","857","230","1275","604","543","1706","3831","4107","1133","543","571","21","84","76","432","156","614","243","156","74","757","518","320","284","336","207","1202","504","1751","2080","1259","2848","651","482","202","341","191","380"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","123","648","619","223","679","679","365","1048","1742","3005","1022","547","658","26","115","8","554","94","557","62","117","106","382","297","565","114","202","163","759","289","1077","665","783","2222","452","570","265","282","98","560"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","171","1658","1607","392","2303","936","749","2429","4239","4758","1699","1322","1090","45","110","61","1398","260","1034","573","274","118","1110","1193","784","152","402","347","1419","1010","2440","1799","1083","3675","905","794","726","596","481","609"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","134","812","1051","523","928","310","764","1664","3011","2549","584","255","450","44","69","65","728","84","760","291","280","243","497","431","239","71","493","271","980","684","1809","1202","614","1935","346","238","142","113","195","255"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","205","683","876","433","892","401","930","2386","4549","3302","1622","374","538","144","188","17","596","87","537","339","282","151","363","529","281","120","597","333","1609","777","2265","2284","915","2387","1062","560","213","161","170","368"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","275","739","1085","471","1434","516","1140","2601","5092","6598","1850","709","983","69","137","138","581","158","778","307","388","83","653","781","456","60","877","263","1665","936","2909","2183","2193","4405","1043","807","437","272","456","527"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","232","1076","1860","623","1844","738","901","2628","8184","5538","1859","715","1203","31","127","105","944","132","1175","685","441","182","1309","535","507","231","490","411","1482","1146","4588","3596","1528","4010","806","1053","302","413","390","813"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","157","4922","2184","284","3018","1109","656","1964","3696","5336","2839","627","1885","27","96","61","4733","189","1392","792","174","110","1425","1593","800","309","521","135","929","1035","2100","1596","1283","4053","1228","1611","162","465","778","1107"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","192","1043","1155","307","1434","703","853","1337","5148","5642","1743","660","1127","16","129","63","938","105","788","367","204","103","692","742","504","199","636","217","723","614","2697","2451","2366","3276","944","799","364","296","467","660"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","247","2386","1529","796","2511","1672","456","918","2926","3984","2006","792","1159","18","173","74","2179","207","1141","388","531","265","1626","885","1395","277","311","145","291","627","1688","1238","1004","2980","812","1194","410","382","463","696"
