"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","171","1574","2468","193","1317","1558","182","684","1814","2879","1073","1245","796","41","160","11","1489","85","1541","927","146","47","619","698","1187","371","122","60","356","328","1094","720","511","2368","490","583","773","472","523","273"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","39","173","1022","98","683","237","43","215","515","1457","331","265","203","0","39","0","162","11","840","182","71","27","330","353","204","33","19","24","47","168","248","267","275","1182","133","198","140","125","144","59"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","95","596","897","210","834","531","58","651","680","1778","540","279","385","10","62","33","584","12","707","190","124","86","333","501","429","102","29","29","310","341","392","288","485","1293","280","260","123","156","169","216"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","6","438","1015","345","1071","406","282","1272","2003","2655","1016","397","459","0","6","0","397","41","615","400","204","141","612","459","222","184","148","134","908","364","1056","947","773","1882","566","450","171","226","260","199"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","41","634","1295","88","1133","483","89","476","905","2855","896","299","736","6","41","0","634","0","1037","258","69","19","633","500","224","259","33","56","162","314","415","490","701","2154","512","384","244","55","491","245"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","0","734","1007","146","1132","564","116","484","620","1986","1030","429","421","0","0","0","620","114","683","324","99","47","662","470","419","145","64","52","188","296","196","424","691","1295","559","471","125","304","158","263"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","8","608","1136","223","874","578","198","161","668","1386","1019","165","301","0","8","0","508","100","654","482","133","90","524","350","470","108","122","76","44","117","322","346","325","1061","452","567","78","87","205","96"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","0","235","423","40","438","65","14","117","224","579","133","81","128","0","0","0","202","33","251","172","32","8","154","284","32","33","7","7","42","75","186","38","76","503","65","68","54","27","31","97"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","31","122","140","21","282","65","33","203","121","358","87","34","50","0","23","8","115","7","124","16","18","3","107","175","31","34","27","6","165","38","70","51","70","288","73","14","31","3","22","28"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","282","483","2116","216","1529","1022","136","904","1805","3290","1268","797","426","0","282","0","424","59","1103","1013","142","74","945","584","719","303","89","47","318","586","942","863","372","2918","699","569","432","365","80","346"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","47","116","129","65","175","26","0","90","120","228","97","67","91","0","29","18","114","2","125","4","19","46","108","67","24","2","0","0","36","54","48","72","34","194","17","80","38","29","64","27"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","87","806","2903","1018","2356","1109","565","3398","5232","6702","1665","733","774","14","87","0","643","163","2045","858","741","277","1304","1052","961","148","222","343","1614","1784","3027","2205","2323","4379","791","874","410","323","357","417"
