"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","0","53","36","26","218","81","30","329","120","344","330","36","38","13","0","0","53","0","15","21","26","0","171","47","37","44","8","22","248","81","41","79","83","261","296","34","20","16","21","17"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","0","219","300","88","467","119","96","556","613","1475","370","207","237","201","0","0","160","59","152","148","58","30","243","224","84","35","96","0","273","283","216","397","397","1078","199","171","76","131","68","169"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","13","1056","851","201","2410","1340","217","1448","2731","3193","1618","481","932","211","13","0","809","247","648","203","121","80","1347","1063","859","481","98","119","719","729","1318","1413","625","2568","820","798","370","111","455","477"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","24","617","362","174","1033","828","115","670","1065","1365","719","142","208","34","24","0","501","116","277","85","143","31","604","429","474","354","21","94","269","401","612","453","218","1147","419","300","76","66","94","114"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","7","1172","1076","561","2379","1219","181","1999","3301","3854","1511","1076","844","40","7","0","1088","84","572","504","462","99","1125","1254","997","222","107","74","1231","768","2231","1070","1174","2680","630","881","840","236","526","318"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","19","599","820","464","1550","1347","136","1039","1774","2728","1433","543","667","44","19","0","599","0","420","400","390","74","792","758","794","553","0","136","264","775","1012","762","590","2138","660","773","224","319","348","319"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","162","579","524","245","1718","1438","110","817","1314","2491","1404","513","480","33","64","98","548","31","288","236","201","44","754","964","828","610","25","85","173","644","634","680","366","2125","511","893","121","392","132","348"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","50","1067","697","424","2737","2059","602","2184","2094","3810","1803","1051","1305","515","50","0","765","302","492","205","407","17","1595","1142","1662","397","247","355","553","1631","997","1097","814","2996","767","1036","671","380","765","540"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0","8","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","4","1509","882","372","3447","1652","115","1469","2246","5830","2704","900","890","317","4","0","1063","446","732","150","287","85","1564","1883","1113","539","56","59","428","1041","1663","583","1758","4072","1453","1251","541","359","525","365"
