"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","16","94","41","21","97","67","12","3","244","258","49","20","31","0","0","16","80","14","41","0","21","0","65","32","40","27","12","0","1","2","79","165","76","182","26","23","10","10","31","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","24","630","772","221","621","850","11","229","462","817","234","115","142","24","0","24","601","29","441","331","75","146","401","220","613","237","11","0","55","174","335","127","169","648","32","202","23","92","58","84"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","92","178","263","80","276","270","35","319","362","655","200","21","191","22","56","36","174","4","233","30","55","25","155","121","231","39","28","7","132","187","201","161","180","475","73","127","15","6","64","127"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","0","158","315","62","116","49","153","180","575","713","313","130","102","0","0","0","158","0","220","95","48","14","49","67","24","25","74","79","117","63","363","212","209","504","219","94","44","86","31","71"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","19","487","648","229","823","326","49","704","916","1812","742","175","240","0","0","19","429","58","398","250","229","0","438","385","191","135","13","36","272","432","383","533","659","1153","298","444","98","77","160","80"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","10","346","781","125","920","214","284","648","1180","2562","1163","195","409","28","10","0","282","64","612","169","28","97","695","225","169","45","200","84","488","160","628","552","935","1627","587","576","83","112","103","306"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","36","572","967","299","864","549","371","1243","1826","3869","1240","391","658","10","15","21","469","103","608","359","183","116","413","451","393","156","192","179","720","523","1018","808","1116","2753","840","400","126","265","267","391"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","101","357","1171","225","1441","609","112","968","1839","3167","1198","459","647","0","4","97","329","28","621","550","177","48","959","482","442","167","35","77","578","390","1130","709","1136","2031","618","580","377","82","257","390"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","38","616","1137","435","1548","907","292","1687","2778","4024","1220","390","679","64","31","7","462","154","601","536","302","133","829","719","717","190","168","124","886","801","1597","1181","1438","2586","670","550","256","134","330","349"
