"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","0","1661","981","617","2336","1758","262","2265","3299","3674","2387","667","1612","0","0","0","1324","337","503","478","503","114","1096","1240","949","809","145","117","1125","1140","1659","1640","1056","2618","1212","1175","439","228","741","871"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","87","2970","1897","869","1957","2377","100","770","1891","4373","1484","313","1438","0","54","33","2814","156","1266","631","457","412","843","1114","1879","498","78","22","407","363","1046","845","856","3517","755","729","65","248","937","501"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","144","4215","2876","1476","3929","3769","326","1900","3408","7916","2662","656","2445","0","67","77","3760","455","1724","1152","955","521","1883","2046","3037","732","180","146","652","1248","1646","1762","1997","5919","1424","1238","417","239","1024","1421"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","28","1828","1380","466","1797","1591","108","600","1298","3276","1570","307","1314","0","26","2","1732","96","996","384","338","128","1095","702","1222","369","31","77","109","491","628","670","750","2526","718","852","102","205","681","633"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","92","2474","1695","852","2103","2407","388","1530","3162","4807","1510","851","1294","103","50","42","2215","259","1030","665","523","329","1304","799","2005","402","328","60","374","1156","1689","1473","1211","3596","874","636","391","460","729","565"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","189","2796","2456","1284","3917","3371","795","3018","4875","7530","3245","1544","2775","21","162","27","2383","413","1521","935","819","465","1740","2177","2447","924","436","359","1442","1576","2305","2570","1863","5667","1734","1511","590","954","1200","1575"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","44","1787","1961","997","2398","3096","229","1111","2394","5173","1642","377","1429","0","0","44","1627","160","1297","664","636","361","1340","1058","2472","624","140","89","523","588","1247","1147","1218","3955","1012","630","191","186","547","882"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","108","3025","2259","1463","2968","3710","596","2463","3359","6398","2461","1293","1630","40","80","28","2482","543","1317","942","969","494","1677","1291","2654","1056","288","308","1022","1441","1961","1398","1621","4777","1210","1251","884","409","920","710"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","2","451","223","203","773","463","73","732","1158","1313","490","235","358","13","2","0","386","65","80","143","121","82","527","246","281","182","73","0","383","349","678","480","487","826","243","247","167","68","265","93"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","40","2337","1086","868","3399","2144","341","1891","4345","3986","3371","630","1309","0","40","0","2105","232","814","272","700","168","1659","1740","1766","378","137","204","1238","653","2051","2294","872","3114","1962","1409","384","246","794","515"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","52","1540","1193","661","2747","2037","394","1856","3413","4962","2875","1139","1816","13","25","27","1347","193","794","399","471","190","1716","1031","1439","598","232","162","1010","846","1799","1614","1407","3555","1915","960","739","400","1110","706"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","152","3352","1502","801","5002","2930","612","1980","3356","8712","3921","1502","2430","12","152","0","3080","272","956","546","527","274","2101","2901","2198","732","370","242","831","1149","1934","1422","1950","6762","2002","1919","600","902","1521","909"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","113","2955","2158","948","5667","2678","529","2481","5427","8191","4434","1280","2174","53","74","39","2611","344","1399","759","386","562","2940","2727","1860","818","327","202","1126","1355","3033","2394","1739","6452","2804","1630","757","523","1364","810"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","83","2790","2100","1137","4740","4138","772","2607","5081","10499","3952","2952","1920","16","83","0","2465","325","1329","771","723","414","2777","1963","2556","1582","533","239","1153","1454","2924","2157","1929","8570","1919","2033","1531","1421","1155","765"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","58","892","715","474","1865","1394","280","1475","2007","3610","1482","979","514","93","45","13","840","52","463","252","279","195","1221","644","802","592","229","51","415","1060","1194","813","899","2711","704","778","532","447","260","254"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","55","1510","1143","1240","3599","2594","663","2579","5046","7495","2924","2266","1704","36","46","9","1312","198","693","450","846","394","1757","1842","1934","660","456","207","1216","1363","2970","2076","2159","5336","1531","1393","1046","1220","848","856"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","83","577","697","487","1773","1309","562","1939","2270","2804","1001","1143","579","134","42","41","450","127","420","277","392","95","809","964","1002","307","401","161","1067","872","1302","968","1076","1728","458","543","510","633","199","380"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","252","1174","1088","759","2552","2121","825","1990","4178","5224","1999","1111","813","42","252","0","791","383","565","523","470","289","1695","857","1445","676","425","400","905","1085","2371","1807","1602","3622","1193","806","642","469","376","437"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","93","1058","970","682","2292","1793","264","2776","3103","3549","2154","308","904","91","76","17","914","144","792","178","500","182","1144","1148","964","829","147","117","1486","1290","1622","1481","928","2621","1253","901","107","201","247","657"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","30","1795","731","690","3602","2377","361","1283","2999","5123","4719","590","1486","14","22","8","1640","155","465","266","506","184","1585","2017","1729","648","309","52","855","428","1202","1797","1221","3902","2857","1862","213","377","851","635"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","60","1160","687","419","3033","1753","195","1000","2578","5649","2850","660","1029","0","31","29","1078","82","550","137","168","251","1599","1434","1453","300","178","17","585","415","1164","1414","1318","4331","1788","1062","355","305","650","379"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","150","2665","1183","597","2716","2289","610","1502","3602","6125","2243","774","1760","0","69","81","2553","112","679","504","421","176","1381","1335","1650","639","196","414","867","635","1745","1857","1329","4796","1060","1183","453","321","648","1112"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","48","1233","1222","761","1272","1888","458","1028","2674","2523","1502","736","596","72","26","22","868","365","608","614","521","240","563","709","1403","485","200","258","605","423","1714","960","829","1694","845","657","205","531","222","374"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","22","1238","658","234","848","1399","140","430","1040","2178","1356","669","568","59","22","0","1118","120","352","306","216","18","442","406","1055","344","119","21","242","188","586","454","390","1788","686","670","282","387","384","184"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","9","611","490","232","1474","1114","59","353","1076","2257","1315","478","638","0","0","9","536","75","267","223","194","38","938","536","928","186","25","34","131","222","651","425","362","1895","847","468","265","213","334","304"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","48","1568","488","469","2678","2257","330","909","2121","5302","2119","978","1342","30","48","0","1489","79","430","58","400","69","1428","1250","1376","881","262","68","476","433","1344","777","1107","4195","1126","993","244","734","479","863"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","2474","2772","462","164","1417","960","116","524","2723","2352","1396","557","739","0","1539","935","2574","198","327","135","114","50","830","587","792","168","110","6","172","352","1846","877","646","1706","695","701","417","140","313","426"
"publicpolygonfeature:5:41411","ZIP Code 33031","country:us/state:fl/zip:33031","33031","111","470","45","41","513","411","0","169","439","379","166","152","130","0","51","60","374","96","28","17","41","0","470","43","411","0","0","0","41","128","216","223","47","332","148","18","136","16","57","73"
"publicpolygonfeature:5:41416","ZIP Code 33032","country:us/state:fl/zip:33032","33032","585","2994","1492","737","3307","3420","413","2664","3960","6703","2341","1505","1697","28","315","270","2831","163","1084","408","588","149","1634","1673","2363","1057","347","66","1431","1233","2157","1803","1316","5387","1355","986","825","680","899","798"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","0","915","107","182","818","682","85","600","1098","1816","1671","131","427","111","0","0","915","0","67","40","131","51","354","464","377","305","47","38","351","249","510","588","266","1550","842","829","92","39","204","223"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","122","608","160","153","1340","634","19","364","1262","1588","529","634","368","0","37","85","557","51","136","24","98","55","883","457","452","182","0","19","253","111","569","693","301","1287","329","200","377","257","135","233"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","88","1648","991","716","3330","2867","412","1587","3095","3474","2302","652","1112","212","74","14","1489","159","537","454","350","366","1515","1815","2274","593","262","150","815","772","1359","1736","933","2541","1182","1120","257","395","448","664"
"publicpolygonfeature:5:41530","ZIP Code 33173","country:us/state:fl/zip:33173","33173","56","956","548","281","1232","1224","350","1660","2483","4365","1216","598","547","48","18","38","845","111","275","273","193","88","820","412","816","408","179","171","734","926","1426","1057","1304","3061","621","595","208","390","314","233"
"publicpolygonfeature:5:41558","ZIP Code 33174","country:us/state:fl/zip:33174","33174","85","1403","935","443","2078","1820","185","1196","2144","3862","1212","410","1347","0","41","44","1308","95","641","294","304","139","994","1084","1429","391","68","117","683","513","1203","941","1028","2834","566","646","208","202","547","800"
"publicpolygonfeature:5:41600","ZIP Code 33054","country:us/state:fl/zip:33054","33054","7","1647","1071","483","1499","1460","163","465","1051","2363","1578","320","887","36","7","0","1626","21","564","507","436","47","677","822","997","463","95","68","142","323","469","582","511","1852","704","874","84","236","544","343"
"publicpolygonfeature:5:41604","ZIP Code 33055","country:us/state:fl/zip:33055","33055","99","2228","1416","421","1685","2261","76","834","1908","3676","1384","480","1407","0","84","15","1897","331","908","508","302","119","892","793","1851","410","50","26","396","438","1042","866","829","2847","897","487","269","211","777","630"
"publicpolygonfeature:5:41607","ZIP Code 33056","country:us/state:fl/zip:33056","33056","42","1341","1114","394","2101","2118","268","997","1699","3620","1475","964","726","12","42","0","1269","72","478","636","179","215","1042","1059","1590","528","209","59","336","661","953","746","927","2693","682","793","322","642","424","302"
"publicpolygonfeature:5:41608","ZIP Code 33060","country:us/state:fl/zip:33060","33060","0","2514","879","280","2348","937","154","922","2611","3169","2725","661","828","56","0","0","2366","148","439","440","157","123","1122","1226","712","225","81","73","458","464","1430","1181","847","2322","1688","1037","493","168","299","529"
"publicpolygonfeature:5:41613","ZIP Code 33062","country:us/state:fl/zip:33062","33062","0","1144","503","287","1125","490","252","1457","2246","1850","1180","376","417","6","0","0","904","240","430","73","185","102","619","506","325","165","203","49","605","852","1219","1027","578","1272","629","551","171","205","127","290"
"publicpolygonfeature:5:41614","ZIP Code 33063","country:us/state:fl/zip:33063","33063","47","2200","1667","775","3794","1971","235","2458","4162","6683","2450","1166","1714","121","47","0","2010","190","1080","587","347","428","1824","1970","1453","518","158","77","1252","1206","2165","1997","1679","5004","1128","1322","661","505","762","952"
"publicpolygonfeature:5:41650","ZIP Code 33064","country:us/state:fl/zip:33064","33064","26","4269","2111","504","3814","1724","669","2240","5428","5687","4273","1108","3195","149","15","11","3904","365","1143","968","299","205","1903","1911","1369","355","306","363","1136","1104","3139","2289","1357","4330","2389","1884","500","608","1546","1649"
"publicpolygonfeature:5:41655","ZIP Code 33065","country:us/state:fl/zip:33065","33065","58","2052","1988","879","4165","1919","309","1810","4653","6342","3280","1109","2286","76","45","13","1693","359","1283","705","470","409","2062","2103","1413","506","278","31","816","994","2023","2630","1543","4799","1617","1663","617","492","843","1443"
"publicpolygonfeature:5:41656","ZIP Code 33066","country:us/state:fl/zip:33066","33066","28","523","463","176","816","394","173","414","1201","1364","699","257","499","0","0","28","461","62","306","157","107","69","290","526","340","54","25","148","205","209","392","809","235","1129","323","376","106","151","165","334"
"publicpolygonfeature:5:41659","ZIP Code 33067","country:us/state:fl/zip:33067","33067","15","815","893","624","1437","555","230","766","1997","3578","1014","626","983","55","0","15","644","171","584","309","441","183","803","634","375","180","69","161","278","488","1323","674","985","2593","476","538","438","188","406","577"
"publicpolygonfeature:5:41664","ZIP Code 33068","country:us/state:fl/zip:33068","33068","0","2321","1093","850","5013","2453","208","1454","3489","8258","2563","746","1270","28","0","0","2089","232","692","401","562","288","2226","2787","2024","429","116","92","601","853","1726","1763","2304","5954","1291","1272","318","428","507","763"
"publicpolygonfeature:5:41668","ZIP Code 33069","country:us/state:fl/zip:33069","33069","59","1264","668","522","1502","1069","157","1283","1773","1884","1047","201","844","0","59","0","1147","117","366","302","309","213","799","703","562","507","142","15","604","679","1015","758","548","1336","616","431","172","29","480","364"
"publicpolygonfeature:5:41673","ZIP Code 33071","country:us/state:fl/zip:33071","33071","47","1362","911","1038","2820","1222","435","2035","3368","4567","2174","1114","919","0","47","0","1178","184","729","182","690","348","1551","1269","1002","220","271","164","1326","709","1671","1697","1205","3362","1181","993","615","499","389","530"
"publicpolygonfeature:5:41677","ZIP Code 33073","country:us/state:fl/zip:33073","33073","44","1253","741","689","2407","449","324","1762","2974","3818","1531","999","1018","0","44","0","1049","204","599","142","580","109","1268","1139","392","57","215","109","977","785","1500","1474","844","2974","788","743","505","494","484","534"
