"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","0","1150","2265","972","1686","1228","518","1132","3618","4890","2239","882","895","31","0","0","1035","115","1383","882","740","232","769","917","806","422","327","191","387","745","1813","1805","1263","3627","1308","931","300","582","339","556"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","0","387","1058","138","1322","546","432","829","1563","3122","1832","511","557","88","0","0","317","70","634","424","110","28","725","597","389","157","275","157","490","339","1004","559","863","2259","754","1078","154","357","165","392"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","27","1864","2825","703","2535","2010","302","841","1990","3850","1770","871","757","0","0","27","1679","185","1792","1033","553","150","1727","808","1277","733","170","132","409","432","992","998","607","3243","894","876","707","164","366","391"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","96","635","930","388","1361","394","404","1330","1842","3611","1071","650","482","0","19","77","561","74","709","221","346","42","681","680","321","73","299","105","661","669","1208","634","1101","2510","617","454","322","328","225","257"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","21","187","167","8","171","187","29","60","130","330","77","99","74","9","21","0","111","76","147","20","8","0","111","60","140","47","21","8","4","56","65","65","110","220","19","58","57","42","45","29"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","0","21","26","0","0","0","0","11","0","86","0","22","0","0","0","0","21","0","0","26","0","0","0","0","0","0","0","0","0","11","0","0","52","34","0","0","22","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","3","44","163","7","94","45","18","36","31","96","61","55","31","8","3","0","28","16","117","46","2","5","36","58","43","2","18","0","17","19","16","15","14","82","14","47","34","21","9","22"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","48","88","58","7","38","13","0","20","21","36","35","0","90","0","48","0","88","0","54","4","0","7","1","37","10","3","0","0","13","7","17","4","0","36","25","10","0","0","69","21"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","104","140","349","45","325","126","0","84","197","827","122","234","135","104","92","12","87","53","291","58","40","5","179","146","113","13","0","0","67","17","186","11","132","695","63","59","117","117","104","31"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","6","50","204","43","88","91","8","53","32","115","51","58","71","0","6","0","50","0","189","15","11","32","30","58","65","26","4","4","5","48","28","4","9","106","17","34","2","56","67","4"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","173","5492","4442","965","5758","5374","1440","3311","6873","11783","5932","1877","2873","56","151","22","4744","748","2913","1529","561","404","3194","2564","4294","1080","1011","429","1750","1561","3548","3325","3221","8562","3004","2928","862","1015","1507","1366"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","19","97","75","110","220","67","20","121","260","354","33","42","84","0","11","8","70","27","33","42","43","67","195","25","54","13","20","0","73","48","202","58","106","248","0","33","42","0","48","36"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","13","830","1332","320","1124","623","46","627","823","2050","766","544","441","33","13","0","713","117","1032","300","237","83","556","568","509","114","33","13","86","541","401","422","627","1423","454","312","358","186","116","325"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","45","184","585","11","218","173","46","177","260","469","205","57","44","0","45","0","142","42","457","128","11","0","102","116","136","37","46","0","55","122","163","97","76","393","38","167","32","25","8","36"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","111","387","374","26","167","123","19","135","238","667","117","212","238","0","111","0","351","36","338","36","19","7","93","74","63","60","0","19","35","100","87","151","148","519","73","44","110","102","125","113"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","20","252","238","84","160","435","24","125","228","363","152","101","112","0","20","0","228","24","196","42","66","18","96","64","292","143","10","14","43","82","98","130","38","325","62","90","41","60","71","41"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","0","410","381","74","352","175","131","256","358","686","450","92","333","16","0","0","370","40","199","182","74","0","131","221","139","36","64","67","88","168","160","198","168","518","167","283","45","47","56","277"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","7","129","47","16","149","41","20","12","45","131","73","14","17","0","7","0","129","0","31","16","16","0","38","111","35","6","20","0","0","12","45","0","31","100","0","73","14","0","17","0"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","25","1048","1597","756","3014","1104","663","3934","5876","7948","2597","849","1278","14","12","13","799","249","1087","510","576","180","1572","1442","616","488","408","255","2415","1519","3833","2043","2783","5165","1461","1136","489","360","369","909"
"publicpolygonfeature:5:44544","ZIP Code 37143","country:us/state:tn/zip:37143","37143","12","226","177","0","309","78","48","227","327","523","230","100","138","0","0","12","211","15","120","57","0","0","214","95","69","9","33","15","77","150","189","138","162","361","142","88","100","0","62","76"
"publicpolygonfeature:5:44545","ZIP Code 37029","country:us/state:tn/zip:37029","37029","0","420","322","101","459","176","21","201","327","831","201","153","89","0","0","0","410","10","213","109","53","48","206","253","88","88","10","11","72","129","214","113","185","646","165","36","65","88","22","67"
"publicpolygonfeature:5:44546","ZIP Code 37030","country:us/state:tn/zip:37030","37030","98","360","551","67","664","406","39","138","273","728","185","209","45","0","72","26","336","24","431","120","46","21","294","370","237","169","25","14","33","105","165","108","90","638","95","90","110","99","11","34"
"publicpolygonfeature:5:44547","ZIP Code 37032","country:us/state:tn/zip:37032","37032","196","212","534","69","390","170","7","102","214","563","163","268","58","0","186","10","212","0","468","66","42","27","151","239","132","38","7","0","23","79","94","120","140","423","109","54","209","59","0","58"
"publicpolygonfeature:5:44548","ZIP Code 37076","country:us/state:tn/zip:37076","37076","66","1339","1525","486","2461","1534","684","1836","3255","4214","2023","920","1565","7","66","0","1124","215","1035","490","365","121","930","1531","1237","297","358","326","939","897","1677","1578","1190","3024","1225","798","437","483","682","883"
"publicpolygonfeature:5:44549","ZIP Code 37033","country:us/state:tn/zip:37033","37033","58","421","650","44","468","167","72","131","194","919","189","229","178","0","58","0","342","79","448","202","44","0","140","328","128","39","54","18","23","108","105","89","336","583","125","64","87","142","107","71"
"publicpolygonfeature:5:44550","ZIP Code 37165","country:us/state:tn/zip:37165","37165","0","2","0","0","1","7","0","0","0","5","0","0","0","0","0","0","1","1","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"publicpolygonfeature:5:44552","ZIP Code 37035","country:us/state:tn/zip:37035","37035","72","79","152","90","258","206","41","79","106","496","151","209","20","7","38","34","79","0","40","112","90","0","147","111","153","53","41","0","13","66","39","67","174","322","57","94","53","156","19","1"
"publicpolygonfeature:5:44554","ZIP Code 37036","country:us/state:tn/zip:37036","37036","20","307","542","19","247","295","10","76","168","534","300","192","103","0","20","0","262","45","337","205","7","12","134","113","290","5","10","0","25","51","108","60","97","437","95","205","116","76","76","27"
"publicpolygonfeature:5:44556","ZIP Code 37037","country:us/state:tn/zip:37037","37037","61","389","693","221","825","538","82","255","304","1180","507","165","264","19","31","30","373","16","431","262","167","54","387","438","405","133","42","40","108","147","176","128","286","894","256","251","65","100","224","40"
"publicpolygonfeature:5:44557","ZIP Code 37217","country:us/state:tn/zip:37217","37217","94","2194","1588","287","1646","2013","280","964","2316","2252","2299","415","582","0","84","10","2040","154","1040","548","192","95","912","734","1384","629","173","107","476","488","1083","1233","514","1738","1141","1158","253","162","261","321"
"publicpolygonfeature:5:44562","ZIP Code 37046","country:us/state:tn/zip:37046","37046","63","196","356","54","599","48","43","423","397","743","300","57","87","0","30","33","179","17","307","49","32","22","402","197","48","0","25","18","300","123","304","93","121","622","187","113","57","0","87","0"
"publicpolygonfeature:5:44563","ZIP Code 37115","country:us/state:tn/zip:37115","37115","42","3014","1727","401","2344","1070","754","1261","2691","4084","2484","764","772","49","39","3","2802","212","1039","688","150","251","1327","1017","675","395","506","248","331","930","1523","1168","877","3207","1487","997","255","509","192","580"
"publicpolygonfeature:5:44564","ZIP Code 37048","country:us/state:tn/zip:37048","37048","27","301","300","85","279","252","36","183","524","892","229","144","158","46","8","19","250","51","262","38","72","13","197","82","189","63","32","4","89","94","273","251","111","781","166","63","51","93","41","117"
"publicpolygonfeature:5:44565","ZIP Code 37049","country:us/state:tn/zip:37049","37049","28","358","401","83","223","123","28","85","139","544","124","92","67","0","28","0","348","10","245","156","82","1","127","96","97","26","5","23","15","70","69","70","96","448","66","58","60","32","25","42"
"publicpolygonfeature:5:44566","ZIP Code 37118","country:us/state:tn/zip:37118","37118","0","32","0","34","58","0","0","43","55","197","62","0","71","0","0","0","20","12","0","0","18","16","33","25","0","0","0","0","18","25","0","55","24","173","0","62","0","0","71","0"
"publicpolygonfeature:5:44569","ZIP Code 37051","country:us/state:tn/zip:37051","37051","39","181","173","69","115","112","13","113","127","365","34","87","51","23","39","0","181","0","146","27","69","0","50","65","105","7","0","13","28","85","24","103","51","314","2","32","66","21","39","12"
