"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","0","62","27","139","255","58","0","0","184","268","63","28","91","0","0","0","40","22","12","15","89","50","146","109","58","0","0","0","0","0","108","76","42","226","0","63","0","28","13","78"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","0","516","479","230","875","312","340","784","2735","2466","1575","163","387","18","0","0","211","305","320","159","214","16","521","354","298","14","204","136","350","434","1754","981","1227","1239","714","861","119","44","221","166"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","15","285","107","324","135","34","8","157","239","662","108","105","45","0","15","0","249","36","72","35","321","3","83","52","30","4","8","0","105","52","139","100","116","546","51","57","55","50","7","38"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","0","194","175","34","201","141","8","194","316","349","583","24","85","0","0","0","194","0","142","33","31","3","112","89","103","38","5","3","73","121","160","156","143","206","254","329","20","4","58","27"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","15","1795","581","452","3613","2620","138","1317","2343","3795","3498","842","1218","0","15","0","1529","266","449","132","280","172","1682","1931","2047","573","97","41","887","430","1188","1155","567","3228","1778","1720","532","310","945","273"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","28","619","821","301","1163","593","456","1420","3203","2997","1758","706","531","0","28","0","440","179","578","243","194","107","697","466","310","283","221","235","786","634","1565","1638","1149","1848","878","880","467","239","176","355"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","21","566","534","369","1054","388","164","1295","3411","3211","1277","306","496","0","21","0","481","85","318","216","215","154","663","391","347","41","147","17","946","349","2011","1400","1049","2162","667","610","246","60","212","284"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","51","473","267","112","1465","742","168","736","1256","1527","1664","215","502","0","51","0","473","0","126","141","80","32","861","604","400","342","0","168","466","270","773","483","350","1177","899","765","92","123","302","200"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","35","923","774","333","1513","640","284","1331","2609","3915","1843","344","569","4","0","35","849","74","549","225","267","66","777","736","502","138","117","167","743","588","1612","997","1075","2840","1048","795","189","155","332","237"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","162","1862","763","397","2510","1827","306","1005","2569","3830","2407","571","1319","52","44","118","1712","150","546","217","316","81","1475","1035","1526","301","134","172","345","660","1323","1246","1055","2775","1092","1315","261","310","558","761"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","82","2576","1042","286","4331","2394","313","1553","2542","5049","4983","1021","905","0","32","50","2374","202","615","427","179","107","1784","2547","1611","783","157","156","554","999","1327","1215","1146","3903","1834","3149","315","706","436","469"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","141","1680","998","301","1248","1410","282","459","1856","1834","2420","191","418","0","70","71","1336","344","448","550","213","88","581","667","853","557","199","83","193","266","1212","644","547","1287","1129","1291","46","145","192","226"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","11","1829","1106","264","1954","1441","455","707","2412","4233","2682","533","827","16","0","11","1680","149","620","486","162","102","841","1113","1202","239","253","202","237","470","1201","1211","937","3296","866","1816","194","339","320","507"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","0","1045","908","470","3444","1913","142","1225","2137","3179","4537","674","692","94","0","0","952","93","658","250","299","171","1613","1831","1448","465","126","16","603","622","919","1218","496","2683","2670","1867","179","495","380","312"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","14","1337","773","392","1841","1297","325","1700","3284","3210","2621","484","862","274","0","14","1055","282","477","296","219","173","1016","825","961","336","201","124","1006","694","1820","1464","845","2365","1253","1368","184","300","483","379"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","0","220","343","71","95","333","68","758","1354","1539","515","249","111","0","0","0","180","40","297","46","65","6","81","14","202","131","27","41","316","442","968","386","816","723","186","329","94","155","58","53"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","56","1092","1041","476","2454","1134","270","1193","2407","4418","3290","752","789","23","56","0","857","235","703","338","315","161","1565","889","612","522","185","85","728","465","1503","904","1037","3381","2262","1028","488","264","366","423"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","30","1504","833","259","3556","2628","283","1165","3227","6435","5515","1060","1554","15","20","10","1435","69","675","158","210","49","1423","2133","2068","560","238","45","554","611","1891","1336","1011","5424","2629","2886","305","755","484","1070"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","13","764","887","344","1414","1128","226","977","2503","2527","4467","313","451","25","13","0","666","98","601","286","244","100","775","639","994","134","169","57","607","370","1569","934","821","1706","2474","1993","246","67","269","182"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","0","601","396","0","390","188","14","138","955","1518","737","680","277","0","0","0","554","47","340","56","0","0","280","110","184","4","14","0","55","83","598","357","398","1120","594","143","264","416","178","99"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","77","765","581","146","2074","757","208","791","2371","2101","4406","309","558","0","77","0","748","17","312","269","146","0","1076","998","457","300","168","40","309","482","1350","1021","481","1620","2030","2376","111","198","359","199"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","51","2423","1614","870","3976","3941","638","2082","4290","6869","4093","880","2529","0","51","0","2066","357","834","780","693","177","2251","1725","2774","1167","461","177","1050","1032","2351","1939","1446","5423","2032","2061","456","424","1165","1364"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","147","1708","1333","1098","3514","2248","174","2294","5484","5643","4799","1028","1457","12","147","0","1405","303","1084","249","878","220","1759","1755","1753","495","120","54","1098","1196","2810","2674","1783","3860","2652","2147","489","539","520","937"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","98","1931","2712","560","4338","2690","831","1870","4718","7640","4353","1050","2164","118","28","70","1572","359","1639","1073","337","223","2235","2103","1936","754","582","249","870","1000","2748","1970","1973","5667","2444","1909","427","623","1163","1001"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","13","499","1080","184","1188","588","251","841","2025","3561","2817","378","501","0","0","13","352","147","841","239","126","58","779","409","429","159","90","161","319","522","1502","523","1375","2186","1109","1708","200","178","210","291"
