"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","0","173","84","41","311","198","74","101","208","641","171","206","287","0","0","0","165","8","67","17","24","17","179","132","77","121","59","15","48","53","110","98","207","434","93","78","94","112","122","165"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","43","402","1034","333","1532","666","338","1538","2501","4718","1236","555","883","69","25","18","337","65","753","281","159","174","875","657","530","136","234","104","1067","471","1632","869","1534","3184","579","657","416","139","267","616"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","0","218","572","195","583","295","123","358","572","717","294","176","194","0","0","0","99","119","443","129","114","81","254","329","150","145","57","66","196","162","224","348","174","543","112","182","36","140","96","98"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","0","198","72","0","32","110","0","12","13","57","20","65","16","0","0","0","198","0","72","0","0","0","16","16","49","61","0","0","0","12","13","0","9","48","20","0","0","65","0","16"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","9","778","854","158","1288","814","271","681","1890","2929","835","581","792","64","9","0","599","179","546","308","132","26","680","608","556","258","93","178","382","299","1091","799","764","2165","466","369","313","268","329","463"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","92","688","484","76","661","392","89","445","628","1273","452","426","410","0","75","17","554","134","347","137","19","57","341","320","251","141","66","23","142","303","280","348","280","993","242","210","301","125","157","253"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","67","140","193","20","495","209","30","188","372","1096","55","153","72","0","36","31","129","11","92","101","20","0","227","268","185","24","30","0","83","105","200","172","381","715","33","22","68","85","53","19"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","83","0","0","31","17","0","0","35","16","0","20","0","0","0","0","83","0","0","0","0","0","31","0","17","0","0","0","0","0","0","35","16","0","0","0","0","20","0","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","46","447","441","242","903","501","67","712","1004","1883","707","383","310","0","46","0","403","44","384","57","200","42","459","444","412","89","53","14","327","385","585","419","390","1493","328","379","224","159","231","79"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","0","424","233","156","687","653","89","359","605","1428","484","400","414","22","0","0","415","9","135","98","73","83","350","337","489","164","22","67","308","51","319","286","293","1135","227","257","106","294","195","219"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","0","0","0","11","11","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","11","0","11","0","0","0","0","0","0","0","0","0","12","0","0","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","0","1501","1311","598","3625","1887","280","1353","2734","5763","1780","957","957","23","0","0","1253","248","837","474","491","107","1910","1715","1382","505","195","85","509","844","1556","1178","1638","4125","794","986","615","342","346","611"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","18","503","579","232","1424","610","69","301","876","2574","965","980","288","368","18","0","474","29","504","75","178","54","572","852","435","175","69","0","166","135","535","341","783","1791","578","387","398","582","247","41"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","0","962","1402","502","3044","1624","478","1138","2086","4112","1150","1454","449","183","0","0","813","149","899","503","323","179","1821","1223","1250","374","303","175","621","517","1040","1046","803","3309","498","652","715","739","258","191"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","9","114","44","3","75","12","6","20","17","162","16","15","6","0","8","1","114","0","24","20","0","3","23","52","11","1","0","6","9","11","5","12","52","110","13","3","8","7","3","3"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","0","121","65","39","40","78","39","123","178","388","73","134","42","30","0","0","121","0","49","16","21","18","10","30","38","40","39","0","14","109","118","60","113","275","0","73","103","31","13","29"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","63","1247","1724","469","3258","2613","289","1304","2853","6836","1911","1342","1363","12","14","49","1195","52","1146","578","363","106","1746","1512","1728","885","173","116","700","604","1518","1335","1775","5061","938","973","882","460","789","574"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","18","278","240","119","210","159","153","298","496","1074","179","634","223","19","6","12","239","39","182","58","64","55","110","100","114","45","60","93","186","112","275","221","295","779","28","151","471","163","87","136"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","18","0","28","45","44","0","0","0","67","78","0","0","0","0","0","18","0","0","0","28","0","0","45","23","21","0","0","0","0","0","0","0","67","26","52","0","0","0","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","6","89","70","10","139","77","14","140","150","268","108","39","8","0","0","6","87","2","60","10","0","10","78","61","45","32","13","1","42","98","83","67","67","201","32","76","16","23","4","4"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","16","208","205","48","227","227","26","261","229","479","58","206","83","0","16","0","208","0","161","44","20","28","135","92","178","49","18","8","126","135","105","124","146","333","36","22","89","117","44","39"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","3","588","697","276","1656","755","88","744","977","3916","1486","450","448","53","3","0","497","91","548","149","245","31","935","721","519","236","65","23","382","362","666","311","1124","2792","831","655","310","140","169","279"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","5","572","449","167","1008","503","93","209","571","1218","634","342","269","0","5","0","514","58","299","150","156","11","469","539","306","197","83","10","95","114","366","205","227","991","397","237","216","126","66","203"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","0","389","432","104","684","412","63","401","772","1215","632","352","240","0","0","0","375","14","273","159","87","17","373","311","302","110","45","18","223","178","362","410","348","867","292","340","222","130","125","115"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","0","247","489","206","424","167","338","1051","1812","3087","503","417","124","15","0","0","210","37","374","115","87","119","194","230","136","31","204","134","662","389","1222","590","1065","2022","217","286","176","241","55","69"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","0","420","624","121","1277","572","110","974","1822","2959","788","652","503","30","0","0","374","46","345","279","77","44","947","330","434","138","70","40","469","505","1202","620","750","2209","456","332","437","215","148","355"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","0","282","289","104","306","186","156","230","804","1199","370","188","62","0","0","0","251","31","198","91","62","42","147","159","157","29","87","69","101","129","467","337","315","884","155","215","147","41","29","33"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","0","183","100","343","468","325","22","247","354","572","363","149","83","0","0","0","165","18","56","44","324","19","131","337","289","36","22","0","94","153","209","145","78","494","163","200","52","97","43","40"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","391","929","662","207","1578","719","71","452","1249","3050","866","690","552","75","307","84","840","89","486","176","185","22","834","744","514","205","71","0","192","260","820","429","686","2364","402","464","532","158","259","293"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","5","54","56","2","0","6","0","2","40","21","13","0","2","0","5","0","54","0","56","0","2","0","0","0","6","0","0","0","0","2","11","29","12","9","13","0","0","0","0","2"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","7","0","7","0","0","0","0","5","0","0","0","0","0","0","0","7","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","14","49","46","9","19","15","3","0","14","70","11","22","34","6","9","5","41","8","27","19","0","9","19","0","6","9","0","3","0","0","3","11","30","40","11","0","16","6","29","5"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","0","7","5","0","0","0","0","0","7","80","0","5","0","0","0","0","7","0","5","0","0","0","0","0","0","0","0","0","0","0","7","0","74","6","0","0","5","0","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","10","464","1084","223","1813","579","501","1332","2919","4216","639","577","576","187","0","10","447","17","824","260","190","33","987","826","516","63","321","180","706","626","1961","958","1129","3087","345","294","365","212","244","332"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","0","67","60","32","158","219","31","40","107","507","172","63","36","9","0","0","67","0","54","6","19","13","103","55","204","15","0","31","11","29","53","54","135","372","120","52","29","34","4","32"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","7","553","1338","702","2171","1518","217","912","1204","4646","672","1404","747","204","7","0","518","35","841","497","466","236","1064","1107","1063","455","94","123","315","597","655","549","1064","3582","397","275","704","700","413","334"
