"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","114","985","586","93","1101","406","71","494","631","1612","670","235","298","137","64","50","909","76","360","226","89","4","648","453","325","81","56","15","319","175","325","306","295","1317","232","438","131","104","126","172"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","0","76","0","17","125","7","0","100","143","286","90","17","15","43","0","0","76","0","0","0","0","17","55","70","0","7","0","0","81","19","143","0","156","130","90","0","17","0","15","0"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","24","2936","1156","497","1829","1011","158","926","1840","3354","3044","567","999","50","21","3","2805","131","732","424","384","113","953","876","804","207","59","99","351","575","1000","840","777","2577","1609","1435","261","306","448","551"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","4","75","80","69","216","127","0","35","225","246","254","73","102","13","0","4","65","10","66","14","69","0","165","51","62","65","0","0","0","35","156","69","42","204","172","82","32","41","27","75"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","35","1006","607","65","1171","484","101","431","500","980","800","109","532","16","34","1","930","76","495","112","59","6","504","667","340","144","96","5","148","283","349","151","234","746","288","512","27","82","292","240"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","547","2445","1553","242","2230","1623","186","1095","1923","4233","2047","500","1017","80","418","129","2231","214","1053","500","149","93","1393","837","1251","372","113","73","405","690","1280","643","838","3395","586","1461","205","295","561","456"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","66","940","637","257","2670","1025","235","1041","2419","5099","3268","607","944","195","48","18","813","127","563","74","160","97","1397","1273","873","152","82","153","488","553","1344","1075","1811","3288","1673","1595","436","171","391","553"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","130","1102","1064","274","2431","1184","470","2380","3190","5327","2569","851","772","219","83","47","1083","19","930","134","221","53","1242","1189","786","398","282","188","1178","1202","1887","1303","1783","3544","1286","1283","451","400","267","505"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","93","2387","1004","156","1397","916","130","838","1398","3622","1807","423","879","28","85","8","2376","11","703","301","129","27","607","790","647","269","111","19","344","494","743","655","842","2780","827","980","238","185","440","439"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","76","677","838","245","1587","657","266","1114","1528","2813","1741","645","508","89","76","0","667","10","628","210","197","48","588","999","493","164","128","138","389","725","826","702","870","1943","801","940","359","286","302","206"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","207","1018","837","312","837","1078","194","647","1185","2495","1446","782","1117","132","82","125","899","119","651","186","159","153","345","492","732","346","64","130","296","351","725","460","619","1876","729","717","355","427","621","496"
