"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","12","573","791","274","870","598","725","1483","3841","2361","1422","404","446","28","12","0","494","79","425","366","242","32","575","295","334","264","306","419","696","787","2026","1815","624","1737","839","583","179","225","196","250"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","22","1280","1165","234","1620","1703","640","973","2988","4265","2171","1110","903","8","7","15","1118","162","792","373","160","74","1001","619","1366","337","371","269","573","400","1730","1258","1238","3027","1136","1035","596","514","303","600"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","0","27","263","35","504","185","1022","364","2502","2284","269","112","82","34","0","0","27","0","125","138","0","35","151","353","117","68","604","418","302","62","1586","916","742","1542","179","90","66","46","53","29"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","17","261","3105","412","1032","661","1333","1352","5747","3085","957","419","362","27","5","12","234","27","2081","1024","248","164","650","382","517","144","865","468","539","813","3836","1911","845","2240","549","408","170","249","164","198"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","116","916","786","160","1524","424","492","1842","2866","2894","858","329","542","32","89","27","730","186","529","257","148","12","849","675","254","170","288","204","1030","812","1757","1109","720","2174","474","384","166","163","106","436"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","156","1852","1269","329","1490","840","1070","559","4176","3408","1811","702","908","78","56","100","1706","146","880","389","254","75","880","610","656","184","688","382","300","259","2496","1680","799","2609","1160","651","384","318","414","494"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","30","136","593","96","316","88","673","359","1967","1050","295","159","150","0","13","17","127","9","355","238","51","45","95","221","50","38","481","192","255","104","1192","775","234","816","157","138","71","88","44","106"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1","102","229","33","408","163","378","388","1555","2016","368","353","192","0","1","0","89","13","187","42","25","8","226","182","118","45","238","140","193","195","896","659","844","1172","188","180","108","245","41","151"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","141","1720","1402","321","2595","1895","683","1341","3868","4839","2105","1150","1261","14","91","50","1607","113","766","636","139","182","1295","1300","1175","720","434","249","437","904","2083","1785","1457","3382","1240","865","622","528","582","679"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","0","8","171","9","315","113","142","181","852","267","293","44","21","0","0","0","8","0","100","71","9","0","156","159","100","13","94","48","116","65","540","312","84","183","112","181","18","26","0","21"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","188","2379","2542","708","3491","3084","1127","2639","7025","8790","4091","2476","2476","0","109","79","2173","206","1510","1032","491","217","1896","1595","2375","709","788","339","1308","1331","4539","2486","2634","6156","1989","2102","1028","1448","923","1553"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","17","0","0","0","0","0","0","48","40","27","24","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","48","0","27","13","0","27","0","24","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","9","27","265","46","226","22","136","468","755","520","210","10","69","0","9","0","12","15","158","107","36","10","152","74","21","1","94","42","284","184","496","259","223","297","77","133","10","0","26","43"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","0","413","1134","197","1276","701","2206","1513","7688","4301","1001","638","813","34","0","0","390","23","612","522","79","118","743","533","517","184","1194","1012","875","638","5039","2649","2031","2270","512","489","253","385","472","341"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","9","501","731","146","1550","611","1331","2871","6730","3559","973","362","560","34","0","9","400","101","441","290","113","33","752","798","372","239","690","641","1806","1065","3532","3198","913","2646","637","336","75","287","151","409"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","24","546","1036","597","1536","1320","1078","1728","4650","5327","1891","1416","824","12","9","15","470","76","557","479","208","389","655","881","1045","275","692","386","827","901","2740","1910","1570","3757","1041","850","759","657","293","531"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","182","1457","1878","594","2413","2379","560","1329","3419","6018","2724","1001","1329","314","98","84","1413","44","1250","628","329","265","1342","1071","1827","552","435","125","751","578","2023","1396","1813","4205","1579","1145","536","465","532","797"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","32","1664","1992","244","4415","3794","647","2524","5517","8190","3718","1425","1346","10","32","0","1438","226","1267","725","159","85","2418","1997","2848","946","356","291","1196","1328","2525","2992","2677","5513","1959","1759","847","578","583","763"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","50","458","1114","236","1300","619","2298","1844","8419","4979","1926","702","784","10","42","8","421","37","784","330","84","152","731","569","397","222","1659","639","1152","692","4792","3627","1836","3143","1050","876","416","286","238","546"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","64","496","929","277","1807","494","1267","2989","6309","4875","1689","706","911","55","0","64","448","48","565","364","132","145","768","1039","343","151","804","463","1992","997","3569","2740","1445","3430","727","962","224","482","361","550"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","8","416","1555","127","899","415","1180","1001","4073","2567","884","393","499","0","8","0","323","93","1021","534","25","102","503","396","212","203","652","528","533","468","2303","1770","809","1758","452","432","247","146","216","283"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","40","88","209","21","97","238","70","147","540","499","89","150","132","0","40","0","88","0","73","136","0","21","25","72","226","12","56","14","45","102","261","279","147","352","16","73","115","35","132","0"
