"feature id","feature label","shid","geoid","Employment Industry Agriculture, Fishing, and Mining (2020-2024)","Employment Industry Construction (2020-2024)","Employment Industry Manufacturing (2020-2024)","Employment Industry Wholesale Trade (2020-2024)","Employment Industry Retail Trade (2020-2024)","Employment Industry Transportation (2020-2024)","Employment Industry Information (2020-2024)","Employment Industry Finance and Insurance (2020-2024)","Employment Industry Scientific and Professional (2020-2024)","Employment Industry Education and Health Care (2020-2024)","Employment Industry Arts, Food, and Entertainment (2020-2024)","Employment Industry Public Administration (2020-2024)","Employment Industry Other Services (2020-2024)","Employment Industry Armed Forces (2020-2024)","Male Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Female Employed in Agriculture, Fishing, and Mining Industry (2020-2024)","Male Employed in Construction Industry (2020-2024)","Female Employed in Construction Industry (2020-2024)","Male Employed in Manufacturing Industry (2020-2024)","Female Employed in Manufacturing Industry (2020-2024)","Male Employed in Wholesale Trade Industry (2020-2024)","Female Employed in Wholesale Trade Industry (2020-2024)","Male Employed in Retail Trade Industry (2020-2024)","Female Employed in Retail Trade Industry (2020-2024)","Male Employed in Transportation Industry (2020-2024)","Female Employed in Transportation Industry (2020-2024)","Male Employed in Information Industry (2020-2024)","Female Employed in Information Industry (2020-2024)","Male Employed in Finance and Insurance Industry (2020-2024)","Female Employed in Finance and Insurance Industry (2020-2024)","Male Employed in Scientific and Professional Industry (2020-2024)","Female Employed in Scientific and Professional Industry (2020-2024)","Male Employed in Education and Health Care Industry (2020-2024)","Female Employed in Education and Health Care Industry (2020-2024)","Male Employed in Arts, Food, and Entertainment Industry (2020-2024)","Female Employed in Arts, Food, and Entertainment Industry (2020-2024)","Male Employed in Public Administration Industry (2020-2024)","Female Employed in Public Administration Industry (2020-2024)","Male Employed in Other Services Industry (2020-2024)","Female Employed in Other Services Industry (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","108","572","919","532","1459","507","213","2403","3396","3425","1430","584","393","70","108","0","464","108","649","270","293","239","909","550","402","105","108","105","1232","1171","1969","1427","962","2463","742","688","364","220","79","314"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","23","835","606","470","961","484","255","2272","3052","2991","922","445","288","71","23","0","747","88","446","160","378","92","443","518","355","129","86","169","1441","831","1642","1410","1072","1919","499","423","239","206","31","257"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","3","851","781","515","1313","964","450","916","2171","1913","1093","228","665","110","3","0","826","25","381","400","296","219","643","670","717","247","180","270","383","533","1121","1050","602","1311","584","509","109","119","444","221"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","70","757","760","230","1460","737","59","1456","1743","2245","809","336","715","92","56","14","603","154","522","238","66","164","773","687","548","189","35","24","974","482","829","914","629","1616","403","406","285","51","293","422"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","18","1290","591","96","1812","683","45","621","1157","2805","823","627","492","0","0","18","1086","204","308","283","82","14","929","883","576","107","20","25","368","253","729","428","476","2329","394","429","419","208","243","249"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","0","658","918","195","1358","765","232","1154","2020","2197","922","289","439","9","0","0","526","132","670","248","168","27","778","580","536","229","94","138","428","726","1037","983","502","1695","394","528","189","100","233","206"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","39","0","0","0","0","0","0","41","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","0","0","0","114","16","0","84","88","172","0","0","49","0","0","0","0","0","0","0","0","0","66","48","16","0","0","0","14","70","71","17","68","104","0","0","0","0","49","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","23","789","583","158","1593","672","144","612","1342","1919","1135","433","394","0","0","23","659","130","412","171","115","43","856","737","421","251","97","47","192","420","720","622","435","1484","471","664","342","91","197","197"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","19","591","461","250","724","285","229","1106","1541","2049","1032","406","284","22","0","19","571","20","386","75","185","65","449","275","180","105","138","91","424","682","858","683","447","1602","511","521","256","150","90","194"
