"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","1904","419","5","343","263","450","254","1324","382","31","164","0","468","4303","0","308","2790","154","1","521"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","2889","1884","29","278","732","334","463","1298","680","173","232","0","1157","1825","0","358","3675","28","0","744"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","4202","3213","15","1189","2818","639","4458","11046","3741","1245","5570","1","1060","6820","221","776","5339","1813","370","4159"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","21","0","19","0","7","0","4","114","0","0","9","0","3","1","26","0","41","8","49","3"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","29","114","5","0","471","302","0","1","19","6","150","284","13","5","44","21","58","5","0","66"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","16","7","135","7","59","2","14","9","0","0","2","0","3","24","4","2","16","23","0","19"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","221","252","11","1","294","756","5","129","8","0","100","251","54","44","24","46","313","75","12","50"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","607","293","14","37","792","620","193","606","76","4","629","0","149","157","134","52","829","185","730","221"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","10","4","10","0","76","202","1","0","0","0","0","0","16","11","0","48","5","36","0","0"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","1607","482","46","80","882","2034","263","1222","62","43","357","79","302","348","543","83","2328","221","329","143"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","11949","8246","13","1673","1047","2265","6081","7269","10754","539","2136","296","4480","24865","32773","2711","2998","354","1131","2985"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","3934","1782","56","315","494","815","893","1844","3166","244","1067","6","1040","4300","1698","642","1551","463","10","850"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","3470","2686","8","358","357","5079","707","1017","1829","281","627","111","1259","3892","3265","761","2001","53","1718","552"
