"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","3959","2128","23","501","258","455","3167","3253","506","505","69","83","1022","3000","39","1061","5504","56","1","450"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","1170","1143","89","47","499","945","379","575","61","301","484","1","640","480","0","80","783","840","0","793"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","2554","501","21","649","349","427","446","1310","197","101","99","23","494","795","16","224","5631","57","30","289"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","3058","790","0","138","526","614","6587","3965","534","122","52","0","379","1878","176","417","5561","34","0","658"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","1535","2149","0","310","167","307","3172","943","205","801","113","25","613","2263","76","624","1051","35","0","613"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","2095","900","0","159","340","7510","413","4595","420","678","221","8","719","2467","10","535","1133","80","8","493"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","3236","910","7","935","769","358","407","3200","689","148","1142","2","960","3192","72","447","1136","251","16","662"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","985","551","59","23","535","599","147","935","55","5","125","0","431","419","0","161","1330","41","0","393"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","1265","266","3","137","128","374","150","8227","245","269","46","0","470","1021","0","144","973","51","0","294"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","1214","1255","0","64","2508","1447","136","566","753","46","1373","0","371","576","96","219","1465","1019","6","1304"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","1791","4405","17","541","2457","309","2709","3981","347","506","352","23","1111","2825","1","886","2719","83","0","475"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","731","2582","37","76","410","428","472","4440","999","422","211","3","845","878","1","479","2047","417","95","426"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","604","219","0","19","192","54","114","516","101","8","7","0","148","337","481","76","613","10","0","105"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","1804","305","2","179","674","290","266","1278","49","138","466","10","431","290","331","118","1993","40","6","147"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","1605","414","0","173","864","310","865","2475","119","788","867","7","370","2091","192","244","1684","44","57","633"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","371","60","0","97","1046","482","358","347","96","1","15","4","39","1203","637","39","8","0","0","91"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","61","110","0","78","58","58","4","765","24","8","2","0","72","73","1295","20","63","0","0","38"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","1156","1268","0","62","642","157","5601","1451","3160","3112","7","234","227","5911","2","1132","302","48","2","1720"
