"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","23","21","169","0","58","0","5","74","0","0","191","0","2","2","0","1","57","20","114","94"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","3687","4872","0","542","1237","26517","5199","1857","2899","643","265","0","1535","17235","17291","2485","674","1181","1398","224"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","298","86","50","0","63","67","8","5","2","3","143","0","5","22","32","6","8","0","0","1"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","29","53","0","229","87","362","41","44","0","1","2","0","5","36","10","12","7","80","3","35"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","200","145","0","0","321","97","25","716","8","4","531","0","73","89","0","31","393","141","36","2327"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","4124","9682","12","1590","1017","1275","678","22509","314","146","468","0","1069","3831","7","495","3368","569","1","211"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","1410","2287","76","293","2180","921","320","3727","505","154","1462","22","697","2232","2","436","2050","618","25","1889"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","1097","5673","0","1952","1725","491","104","1436","14","431","747","0","521","402","574","296","1059","959","0","1429"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","1534","996","3","261","1398","970","912","19668","322","5738","759","0","1080","1012","45","399","1840","1105","0","609"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","823","2595","5","122","1631","318","298","1189","146","40","362","0","510","516","2","407","1902","208","0","412"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","754","1621","0","103","1630","166","189","1658","167","37","1509","0","619","530","0","404","2685","1024","0","3041"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","3179","7214","0","92","2701","865","2511","1855","573","438","3472","0","1309","2187","72","1838","7614","6076","1","6171"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","1391","1096","0","59","2473","244","2696","1141","1273","595","2003","0","412","1076","0","940","2441","534","0","1348"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","897","2630","4","104","1766","3766","488","890","383","259","1331","0","1031","1756","4","1125","2210","727","11","905"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","1701","1593","15","110","389","89","118","630","36","2","77","0","749","466","0","615","1040","106","0","64"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","278","97","0","36","336","49","1519","466","58","5","14","0","127","2067","3","69","286","4","6","18"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","2231","1689","5","140","383","59","1407","721","561","277","89","5","241","4193","0","409","2569","109","0","493"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","887","334","2","204","239","27","124","713","17","145","43","0","148","147","0","89","2070","43","0","23"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","29290","11293","1","28300","1903","546","1247","5253","2589","3339","7405","0","829","4121","26","2853","11702","4056","94","1762"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","157","102","0","2","161","3","14","65","12","0","1","3","29","49","0","20","298","4","0","55"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","10304","4444","0","3761","875","20","700","74","75","1705","51","0","387","367","1","2227","4660","113","4","124"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","3349","1282","21","216","1969","1307","517","3823","914","347","376","0","648","3920","799","540","3452","1648","2","1547"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","816","2434","5","172","2514","59","62","301","216","602","2709","6","1158","671","0","981","1647","12780","86","6067"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","741","449","5","47","715","176","675","1213","32","58","3664","0","276","625","0","179","2047","66","7","93"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","1413","2757","0","95","232","233","1313","467","1108","63","595","3","184","9359","0","172","670","10","0","843"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","4847","2133","9","761","324","354","139","406","156","583","87","0","1221","1295","225","2210","683","16888","0","231"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","2877","513","0","336","265","138","176","1193","170","26","67","0","368","902","0","283","3411","190","1","251"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","205","116","0","6","221","24","60","272","41","5","6","0","85","109","0","126","779","448","4","261"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","37335","1812","2","51455","203","17","240","259","249","1436","0","0","138","3039","379","222","1815","363","88","23"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","14","0","0","0","2","0","0","1","0","0","0","0","0","6","0","0","2","0","2","48"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","1611","239","11","133","640","93","524","1263","55","74","786","2","1049","544","0","232","1591","178","0","83"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","147","42","0","45","439","8","18","19","0","3","31","0","40","54","8","18","107","11","8","105"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","1024","1788","12","141","699","513","283","1225","194","1069","53","0","234","1511","1","373","1031","160","1","226"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","3477","251","2","127","107","139","27","648","173","33","19","0","95","365","0","164","316","144","0","86"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","5281","3567","0","500","1395","643","559","1717","467","679","1547","0","856","1271","23","1199","5375","1940","0","1299"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","2522","1840","1","42","897","176","646","410","163","1508","154","0","326","875","3173","480","6368","176","0","676"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","112","10","0","29","31","0","13","8","11","0","0","1","0","0","0","5","46","2","0","1"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","1749","877","0","706","702","14","292","3992","56","17","54","0","338","600","148","507","2531","163","181","75"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","2841","2051","2","189","2207","371","1945","3070","178","2490","105","0","541","2038","24","716","3431","59","100","680"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","1763","2446","0","82","664","172","552","4378","271","120","308","0","266","915","664","394","3180","61","0","307"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","1","16","1","0","49","49","1","4","32","0","0","0","5","1","6","1","44","1","0","62"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","1728","1941","752","182","3266","246","664","2538","156","16","2879","1","699","742","518","230","3676","604","3","2676"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","865","2879","12","170","1021","326","128","900","84","77","403","0","237","1173","312","185","2184","74","7","230"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","1605","483","3","138","1006","285","378","825","239","42","288","0","542","1357","174","170","1595","115","2","313"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","0","45","0","0","39","0","1","16","1","0","0","0","13","3","0","17","10","81","0","20"
"publicpolygonfeature:5:43448","ZIP Code 32709","country:us/state:fl/zip:32709","32709","11","17","9","8","36","0","0","25","0","0","0","0","9","15","0","27","32","9","3","2"
"publicpolygonfeature:5:43449","ZIP Code 32712","country:us/state:fl/zip:32712","32712","570","450","893","62","1004","69","116","567","25","3","217","3","274","378","0","124","866","128","126","326"
"publicpolygonfeature:5:43451","ZIP Code 32720","country:us/state:fl/zip:32720","32720","1441","1093","91","105","980","9712","390","2750","49","88","429","0","276","644","3742","236","1528","29","80","241"
"publicpolygonfeature:5:43453","ZIP Code 32726","country:us/state:fl/zip:32726","32726","1055","256","4","27","629","4","273","1073","97","21","340","0","412","296","326","145","1639","11","38","49"
"publicpolygonfeature:5:43454","ZIP Code 32730","country:us/state:fl/zip:32730","32730","249","154","0","2","92","24","18","489","90","0","6","0","60","125","0","25","582","22","0","6"
"publicpolygonfeature:5:43455","ZIP Code 32732","country:us/state:fl/zip:32732","32732","21","323","28","4","357","2","15","13","6","173","6","0","2","39","3","4","75","3","0","113"
"publicpolygonfeature:5:43456","ZIP Code 32736","country:us/state:fl/zip:32736","32736","245","96","629","29","268","53","24","60","4","0","72","6","25","55","0","11","377","16","0","202"
"publicpolygonfeature:5:43457","ZIP Code 32751","country:us/state:fl/zip:32751","32751","1129","4855","4","203","1600","839","7263","7635","3078","1152","113","0","456","7339","570","1278","1167","102","36","1050"
"publicpolygonfeature:5:43460","ZIP Code 32746","country:us/state:fl/zip:32746","32746","3187","6249","2","564","2421","1983","11300","3051","3772","406","666","0","2316","9057","234","948","3486","167","545","2542"
"publicpolygonfeature:5:43461","ZIP Code 32750","country:us/state:fl/zip:32750","32750","1100","1419","5","179","3934","81","1154","2493","89","206","1244","4","730","1367","235","432","1801","1519","86","1127"
"publicpolygonfeature:5:43463","ZIP Code 32757","country:us/state:fl/zip:32757","32757","1670","1727","629","270","898","284","228","2097","71","41","280","0","262","606","355","285","2036","61","4","243"
"publicpolygonfeature:5:43466","ZIP Code 32765","country:us/state:fl/zip:32765","32765","2997","2566","115","339","3185","610","615","2867","173","60","542","17","699","1717","302","248","3943","101","107","380"
"publicpolygonfeature:5:43467","ZIP Code 32766","country:us/state:fl/zip:32766","32766","60","275","7","33","314","34","31","260","10","14","6","0","89","236","0","30","183","23","0","46"
"publicpolygonfeature:5:43468","ZIP Code 32767","country:us/state:fl/zip:32767","32767","8","38","0","0","13","113","0","2","0","0","0","0","0","2","0","0","14","0","0","1"
"publicpolygonfeature:5:43470","ZIP Code 32771","country:us/state:fl/zip:32771","32771","3418","2368","8","357","7434","312","421","2563","306","396","2164","0","796","1668","2910","368","5372","694","45","1659"
"publicpolygonfeature:5:43471","ZIP Code 32773","country:us/state:fl/zip:32773","32773","896","841","6","56","1590","7940","101","328","15","9","1324","0","239","182","1559","285","1891","1432","12","685"
"publicpolygonfeature:5:43472","ZIP Code 32776","country:us/state:fl/zip:32776","32776","110","146","77","91","732","7","18","8","0","11","34","0","53","158","0","37","264","237","0","107"
