"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","1208","411","121","1203","1582","47","106","566","2","658","4305","0","857","860","86","748","1484","4544","2","3212"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","9279","4438","1","2827","472","9434","2711","4248","1518","361","60","7","1120","4029","14948","909","829","515","25","402"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","1256","1246","12","29","869","546","128","5632","48","93","1348","9","506","674","33","153","1614","305","0","1073"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","133","11","0","0","84","1","22","106","0","0","56","0","51","20","696","18","230","4","0","8"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","562","94","0","17","217","151","150","478","7","8","367","2","80","31","0","223","1152","245","0","210"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","1217","768","1","174","525","1502","418","1333","69","0","775","26","286","306","0","123","1421","1495","0","137"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","2364","5536","4","157","341","8489","2889","46287","617","196","408","10","489","2966","49","476","2432","31","0","254"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","3722","3066","1","81","420","1683","8626","4898","159","27","154","50","780","2736","1","852","3585","326","1","779"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","805","30","0","8","393","2079","135","628","33","0","868","0","214","94","0","41","1073","21","0","757"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","2826","1348","0","370","674","20408","2022","2197","256","40","981","3","949","4052","179","355","5446","862","0","595"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","399","228","0","62","862","295","65","828","23","5","7","4","135","194","161","17","772","25","13","6"
