"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","3978","293","14","337","172","347","529","3300","402","1155","263","0","597","2593","1","645","1790","110","77","227"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","282","404","2","8","363","521","43","2699","29","149","38","0","361","787","1025","37","279","40","1","97"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","1046","135","0","564","52","30","30","652","1318","125","132","0","101","2868","2","39","158","176","0","47"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","336","69","0","34","41","330","73","868","189","0","373","0","86","1820","16","28","205","53","0","186"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","2918","1652","10","387","643","631","4113","8463","460","761","160","0","1132","4013","604","1340","4304","628","14","252"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","2373","960","20","431","2338","3211","743","6747","2923","222","2036","13","1096","7154","4471","564","3045","447","48","448"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","231","602","0","126","210","1266","383","272","4606","677","671","0","131","5153","106","112","129","662","0","1443"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","318","70","0","34","67","148","78","642","54","0","54","0","259","236","0","46","281","19","0","40"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","1367","1015","0","512","291","1013","264","1739","1873","1745","67","0","543","936","352","89","1641","344","0","214"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","3531","8097","13","409","759","703","11737","2859","9804","1935","236","2","931","18896","370","1930","1309","443","504","945"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","1047","350","0","102","686","2417","135","4160","86","0","43","0","634","5410","1","64","845","83","0","388"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","17","0","0","0","3","0","0","0","0","0","0","0","6","3","0","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","98","48","4","74","8","1542","28","128","48","7","31","0","345","130","40","47","35","0","12","9"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","1857","590","5","240","188","755","325","2029","538","0","228","0","650","1484","0","127","1137","157","22","167"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","2543","210","47","235","204","1343","286","11282","454","309","116","0","1237","1013","0","287","1077","4","0","73"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","823","85","5","28","481","1419","101","2070","35","0","93","0","298","363","0","79","487","28","0","70"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","827","767","7","606","479","471","187","1857","148","0","243","0","873","287","57","142","2773","423","0","88"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","2543","510","0","512","301","1200","343","4639","182","0","224","0","582","363","426","90","2696","130","103","37"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","1639","434","18","56","304","775","111","2262","452","19","68","0","566","1445","32","146","957","27","0","62"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","2262","579","42","1059","448","2974","483","3258","166","36","74","0","1271","663","0","325","1825","8","0","89"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","844","271","0","35","564","1056","91","709","898","120","297","0","515","838","192","130","698","4","0","402"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","919","467","11","25","459","100","90","76","144","250","617","22","153","955","134","366","472","955","0","999"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","3232","2386","15","399","1216","1807","791","4241","1365","333","1335","0","1404","2757","599","639","1973","1717","0","1342"
