"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","25","589","940","142","1189","526","1135","211","1964","2271","1181","773","612","0","0","69","19","0","42","0","90","18","89","305","75","144","67","0","0","0","49","0","14","9","0","0","0","12","0","0"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","65","444","372","96","646","35","310","446","1278","1808","599","203","321","0","0","77","0","0","98","0","112","47","359","240","66","11","18","0","0","0","0","0","23","0","0","96","20","55","0","70"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","163","1535","1371","260","1808","791","1017","493","3297","3036","1769","418","895","111","21","425","71","7","66","185","164","49","914","697","227","32","30","0","0","88","7","74","214","7","41","0","266","78","100","20"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","23","107","114","30","152","37","39","5","116","154","14","53","52","0","0","37","0","0","44","10","0","0","23","15","2","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","57","409","61","17","149","98","25","27","171","121","43","150","47","0","48","91","41","0","0","0","0","0","7","47","18","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","4","102","146","19","93","29","62","0","198","101","60","57","58","98","8","12","9","0","8","4","4","0","23","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","136","1208","477","73","1155","158","357","75","632","1343","410","446","289","18","25","194","0","99","124","0","0","0","46","119","280","0","74","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","166","988","830","208","992","440","320","87","763","1310","545","281","522","0","0","72","79","0","31","0","38","0","117","106","73","91","56","0","0","31","0","0","0","0","0","0","0","10","0","0"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","0","102","33","0","76","33","11","0","21","238","10","32","136","33","0","0","17","0","5","0","2","0","4","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
