"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","9","587","802","153","1024","515","1570","146","1582","2064","739","27","406","12","0","116","7","8","49","6","28","0","57","90","118","0","0","0","0","0","0","12","95","0","255","42","57","38","55","0"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","38","1211","1707","291","1564","708","2436","233","2122","3072","1410","100","749","44","32","959","82","41","156","66","34","0","240","401","308","0","195","3","0","32","43","0","50","0","130","0","140","40","57","0"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","17","880","714","296","583","291","1935","245","2065","2340","720","132","587","38","0","31","6","19","128","0","89","0","218","52","88","0","13","0","0","0","32","0","30","16","82","0","0","0","0","54"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","32","1904","1146","80","1465","1058","575","269","1619","2084","1287","225","768","32","0","1014","134","115","654","188","16","23","371","250","255","51","201","0","0","36","12","0","134","0","0","40","12","131","144","0"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","37","0","0","0","0","0","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","0","1264","936","218","2040","1181","892","178","1417","2602","1424","451","605","39","0","1047","231","40","331","136","78","0","264","305","171","73","24","0","0","66","30","0","62","66","75","22","32","0","73","0"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","0","1075","613","236","1381","364","2115","201","1789","2329","1068","188","476","6","0","4","81","36","114","71","97","16","204","162","304","0","311","1","0","0","0","0","5","0","5","0","13","44","0","0"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","75","192","471","132","421","221","43","39","106","365","134","80","43","0","13","15","30","0","18","19","0","0","27","25","12","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","17","997","1498","404","1923","849","454","0","1471","2572","740","714","367","0","67","143","101","0","228","91","77","0","74","203","202","0","91","57","0","9","0","0","1","0","0","0","19","0","0","92"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","194","930","1229","272","1795","820","543","99","649","1952","947","338","526","23","0","170","136","36","228","78","0","26","21","256","184","0","220","0","0","0","0","0","0","0","0","0","0","55","0","0"
