"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","2","94","119","0","35","8","25","2","43","95","27","60","30","0","0","19","9","0","0","8","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","68","191","318","19","176","91","63","0","102","433","140","81","41","0","0","0","58","0","8","0","0","4","21","64","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","19","294","1073","250","1526","1505","958","167","1497","3355","722","556","253","0","0","6","57","0","209","39","28","0","226","168","57","0","23","0","0","0","0","0","0","0","0","0","83","0","0","0"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","83","1037","2009","411","2053","1871","786","366","1677","3301","1167","956","598","9","0","147","217","61","334","189","39","24","379","454","317","25","167","0","0","0","0","0","72","34","6","0","42","215","71","0"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","28","487","447","119","729","735","865","196","860","3022","686","601","400","25","0","55","123","10","73","264","62","0","31","209","28","34","7","10","0","0","139","0","37","0","0","0","20","8","0","0"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","0","18","21","0","84","0","0","0","3","129","105","33","0","0","0","0","0","0","48","8","0","0","0","5","0","0","0","6","0","0","0","0","40","0","0","0","12","105","50","8"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","0","354","678","240","945","528","118","76","459","1103","651","115","195","0","0","246","25","11","87","67","0","11","103","403","167","10","71","0","0","44","10","0","62","20","0","0","13","41","160","0"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","48","225","497","316","850","285","1151","109","1411","4173","1343","267","299","23","0","0","0","0","53","42","0","0","39","245","31","0","31","1","0","0","53","0","7","0","41","25","0","30","34","30"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","4","678","1338","297","1263","1776","569","186","1020","2341","1058","480","438","48","0","62","75","22","266","184","91","0","142","277","108","91","16","0","32","69","0","0","74","205","28","23","117","112","114","0"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","28","481","515","279","952","416","796","175","1383","3121","694","431","597","7","0","17","7","20","32","0","53","12","117","282","115","2","33","0","0","0","20","0","9","18","38","0","0","81","93","20"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","0","214","416","229","781","202","1136","267","871","2319","756","239","375","0","0","0","14","0","40","0","40","0","149","137","6","0","0","0","0","0","8","0","0","0","0","72","20","48","25","0"
