"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","107","389","420","72","593","283","890","203","1619","2567","529","250","405","0","0","0","17","0","0","0","17","0","135","159","208","0","0","0","0","0","9","0","119","8","25","51","165","136","50","53"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","39","464","454","161","485","490","361","247","781","1855","665","273","321","15","10","0","20","9","48","10","0","0","47","158","67","101","9","0","0","33","19","0","10","56","9","14","58","68","73","12"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","146","1302","1139","306","1598","768","1137","479","2113","3315","1245","636","798","45","0","163","135","0","282","61","114","27","221","439","151","203","43","0","0","43","0","0","50","0","12","0","50","65","0","18"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","66","490","571","474","624","189","876","311","922","1737","340","122","352","44","36","52","10","11","84","21","102","17","50","79","45","60","24","0","0","0","0","0","0","0","38","65","5","54","35","19"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","99","511","537","173","499","146","1343","384","1424","2115","807","197","309","3","0","0","61","10","18","0","28","0","34","92","33","0","0","57","0","0","38","0","0","9","94","23","20","48","81","0"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","161","440","596","343","637","412","1275","283","1795","3401","1077","367","573","53","0","80","38","0","141","0","89","0","88","449","91","31","64","0","11","51","35","0","143","1","42","20","308","258","61","119"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","104","838","901","395","1043","321","1195","208","2343","3769","928","317","435","14","41","66","168","12","86","21","45","16","275","229","148","23","25","0","0","26","19","0","68","17","56","17","155","111","105","12"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","116","4401","1610","232","2172","799","1341","303","2287","3934","2033","458","1352","9","0","206","147","9","359","174","73","76","263","295","198","38","77","18","0","34","179","0","128","31","58","19","163","181","308","30"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","123","795","703","132","884","477","707","380","2464","3653","988","397","624","16","12","150","97","46","140","109","61","0","163","401","96","16","179","0","0","9","32","0","13","29","5","18","47","142","53","0"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","177","1756","1026","487","1931","1147","450","232","1433","2527","1292","497","854","8","70","309","116","8","153","184","61","25","389","381","261","11","130","0","0","47","23","15","217","8","8","9","34","17","80","70"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","15","676","322","304","892","409","614","528","1327","1886","624","215","516","0","19","126","53","9","151","131","66","24","215","239","45","10","132","0","0","86","12","38","218","12","27","0","18","104","23","19"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","68","969","476","365","2107","936","390","262","2056","3077","1085","451","494","45","53","94","138","0","147","313","55","93","158","334","379","69","78","0","0","38","0","0","230","32","0","37","147","56","99","33"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","52","1029","761","280","1252","521","456","313","956","1394","944","467","363","0","12","34","29","10","105","0","0","13","54","189","53","19","0","0","0","0","32","16","41","9","13","43","21","46","20","8"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","235","1945","1782","502","2754","1768","747","448","1876","3790","1385","933","1172","107","0","229","272","20","129","403","190","21","105","509","236","62","294","22","143","21","0","0","17","2","0","0","68","71","173","30"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","32","1179","1092","186","1827","683","681","100","1468","2091","1441","288","473","35","69","201","299","64","133","96","143","25","116","372","80","72","188","0","0","0","29","0","0","47","0","0","36","15","33","10"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","7","220","174","85","479","93","136","14","402","728","425","176","110","0","0","0","18","0","28","9","56","0","14","99","116","7","33","56","0","6","13","0","27","0","0","0","0","62","0","0"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","0","585","478","136","1031","187","273","115","685","1244","512","291","143","61","0","30","31","0","15","15","27","0","103","207","147","0","24","0","0","0","0","7","37","0","0","0","9","68","9","0"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","95","654","311","272","963","439","847","291","1394","1730","837","481","369","40","0","0","14","100","150","24","78","26","215","238","110","7","196","0","0","13","0","0","41","31","133","89","15","68","46","0"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","151","403","594","192","656","624","599","196","1088","2885","502","599","210","181","0","19","0","15","103","76","35","0","118","192","117","53","112","0","0","20","24","0","53","19","88","0","30","99","99","15"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","294","2413","1019","390","1914","1570","788","242","1960","3237","1292","292","740","9","0","560","292","100","288","324","65","7","205","233","265","0","158","0","0","1","0","0","65","37","0","0","0","0","127","0"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","97","1366","1375","501","1868","798","498","352","1311","2898","1026","611","564","12","54","169","77","68","265","29","16","45","186","491","317","9","156","0","8","19","0","0","0","0","69","0","57","27","41","43"
