"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","156","1195","1897","178","1077","1345","446","128","1364","2304","816","868","544","41","7","182","217","0","99","71","26","16","27","170","76","129","129","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","32","145","906","82","548","236","139","28","455","1302","315","231","201","0","0","28","95","0","35","0","31","0","34","138","16","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","83","533","653","185","588","439","461","44","350","1447","424","197","272","10","0","25","149","0","42","41","18","0","66","179","46","18","34","0","0","0","13","0","12","0","0","0","0","7","0","0"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","6","297","922","274","770","311","775","147","1237","1877","878","268","331","0","0","63","12","47","95","25","100","0","71","143","57","23","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","41","524","1120","76","929","361","201","32","491","2313","676","258","574","6","0","68","77","0","90","34","42","37","35","206","70","32","145","0","0","0","2","0","0","0","0","0","3","0","9","0"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","0","488","870","103","960","450","328","40","453","1629","724","323","301","0","0","175","63","0","113","0","99","0","38","137","134","31","43","0","0","0","0","0","6","0","0","0","0","0","19","0"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","0","360","837","207","626","366","119","93","312","1087","525","116","226","0","8","110","245","16","124","72","25","30","128","83","326","0","24","0","0","0","4","0","17","0","0","0","0","0","20","13"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","0","218","357","13","333","41","40","14","107","506","80","75","103","0","0","5","26","21","64","6","34","0","85","9","25","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","12","119","81","21","246","30","41","10","95","214","79","34","45","0","0","0","10","0","0","0","30","3","0","73","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","282","327","1657","206","1339","793","554","106","1295","2666","610","625","224","0","0","58","220","0","51","120","28","0","79","166","395","13","102","0","0","26","0","0","18","0","0","0","25","21","47","0"
