"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","16","67","34","21","87","67","2","12","147","225","49","0","31","0","0","0","7","0","10","0","1","0","3","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","24","579","630","187","475","718","99","7","236","650","189","91","99","24","0","4","8","0","87","52","90","0","134","79","37","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","66","141","207","63","169","240","195","35","138","484","149","5","90","0","11","30","2","0","37","0","5","0","23","77","24","10","7","0","0","0","0","15","0","0","0","0","0","0","11","0"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","0","101","181","15","110","0","26","66","159","463","58","66","16","0","0","0","75","0","5","0","7","0","8","25","0","16","17","0","0","33","0","0","0","0","0","0","64","0","3","0"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","0","198","300","169","407","275","396","0","416","854","316","80","197","0","0","178","11","41","36","7","12","0","69","198","154","11","15","0","0","28","80","6","212","2","77","0","61","163","84","0"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","10","231","697","61","539","203","322","143","665","2053","693","126","320","28","0","61","14","6","207","0","0","0","37","36","56","0","28","0","0","0","9","0","0","0","13","14","26","17","9","22"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","4","412","685","224","548","428","647","169","1092","2956","1009","273","467","10","0","45","5","5","87","39","72","0","71","215","93","14","13","0","0","0","7","0","0","0","0","0","12","38","5","0"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","101","329","947","132","1214","494","526","53","1044","2383","895","377","531","0","0","8","0","16","94","66","34","7","94","277","54","0","0","0","0","0","0","0","9","0","0","0","14","0","9","0"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","31","447","896","350","1162","570","1158","157","1614","2973","695","318","448","64","0","53","21","8","54","70","31","0","34","262","330","7","25","0","0","0","12","0","20","0","0","0","0","0","38","0"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","28","62","581","116","1054","564","177","44","357","1106","689","127","58","13","1","0","115","0","74","94","0","17","23","362","104","14","0","0","0","0","0","24","47","67","85","0","41","87","55","0"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","0","4","133","0","0","0","0","0","0","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","0","115","586","29","302","287","11","10","300","608","206","22","54","66","0","4","89","0","17","53","0","0","54","87","216","0","16","0","0","0","48","43","84","220","93","0","101","118","120","0"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","0","93","43","0","0","4","0","0","0","59","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","0","217","740","56","439","419","437","21","426","995","508","184","304","0","11","0","41","0","159","44","0","0","66","78","60","12","32","0","0","0","102","0","65","0","0","14","20","85","217","0"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","0","212","423","136","315","247","62","188","221","862","467","145","155","0","0","4","71","13","33","28","42","0","6","220","55","0","5","0","0","18","14","0","92","45","16","0","29","12","149","0"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","0","90","88","0","92","53","31","0","59","154","11","26","19","0","14","0","94","0","20","29","22","0","9","11","13","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","13","62","170","28","82","74","168","49","135","354","139","48","69","0","0","0","3","0","15","0","14","0","6","14","8","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","17","362","289","44","165","207","151","18","176","505","161","74","111","36","42","62","9","0","35","1","1","0","20","73","33","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","19","554","1577","322","1376","1538","728","139","890","3140","1302","473","1115","47","0","79","98","0","314","187","54","0","101","427","326","0","55","0","0","0","0","98","0","13","0","0","53","0","0","0"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","0","36","139","0","146","38","50","0","38","173","50","38","9","0","0","0","7","0","0","0","0","0","0","49","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","15","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","73","657","2927","337","1297","638","478","56","694","3024","913","573","421","72","40","131","368","30","169","75","0","28","64","283","106","29","53","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","0","35","59","0","66","0","41","0","26","96","19","10","19","0","13","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","9","100","404","4","200","124","46","3","186","339","82","24","69","0","2","14","41","15","3","0","14","0","0","23","22","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","53","108","176","3","131","61","96","0","31","191","43","82","33","0","0","0","3","2","45","4","6","0","0","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","0","12","61","0","0","91","0","0","0","81","0","9","54","0","0","0","11","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","0","32","50","4","28","44","8","0","30","86","0","1","55","0","0","38","0","0","6","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","55","445","327","65","201","198","82","7","64","932","34","122","119","0","0","28","0","0","11","0","0","0","0","24","8","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","21","164","416","20","386","219","224","34","113","564","107","70","101","0","0","35","12","0","67","0","0","0","54","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","0","0","15","3","22","2","22","3","38","68","5","5","7","0","0","0","0","0","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","21","774","1230","184","761","544","674","104","722","2025","552","295","332","74","0","100","58","65","95","30","81","0","135","213","92","17","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
