"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","0","1224","475","450","1562","1111","1475","68","1904","2720","1384","411","1155","0","0","147","256","21","173","227","101","0","198","209","335","75","157","0","0","40","9","0","37","33","29","0","221","148","32","89"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","44","1174","1315","453","1282","1597","418","100","998","3161","859","172","1033","0","6","320","183","265","126","134","124","0","310","361","174","8","63","0","3","84","0","20","48","22","18","0","62","57","33","34"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","70","2534","2050","1193","2640","2499","1327","297","2303","5629","1625","384","1660","0","27","433","539","161","786","233","175","10","421","990","327","191","121","0","27","0","0","0","135","5","36","0","24","189","72","26"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","20","1061","1140","215","1413","909","333","31","839","2644","1162","191","978","0","0","79","143","120","122","134","41","5","118","291","79","37","14","0","0","11","18","0","0","0","61","0","0","4","21","22"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","62","1953","1276","651","1502","1888","827","288","2132","3696","1064","738","986","103","28","195","121","123","297","231","126","25","189","575","188","96","72","0","0","124","0","14","18","0","0","0","83","41","50","0"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","115","2250","1788","964","3122","2675","2013","457","3063","6086","2379","1269","2553","10","12","285","250","103","326","254","180","9","610","623","373","96","92","11","0","25","65","0","92","24","14","0","10","77","102","23"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","8","1271","1623","771","1708","2271","577","186","1630","4050","1415","295","685","0","23","177","240","71","355","332","108","22","297","727","101","19","250","0","0","0","0","0","0","12","39","0","50","0","52","0"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","93","2367","1886","1304","2430","3057","1789","295","2141","4873","1571","1017","1248","23","4","125","132","117","215","345","56","89","718","453","665","44","87","0","2","9","12","0","7","8","14","0","27","26","11","19"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","0","341","131","118","590","221","320","14","534","961","232","151","311","0","2","40","0","0","12","171","15","43","26","102","36","6","0","0","0","0","0","0","0","0","0","0","14","34","0","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","30","1590","624","598","2156","1435","1190","216","1879","2770","2147","451","777","0","4","376","137","182","409","325","162","8","287","140","284","41","41","0","0","87","79","12","340","48","14","26","341","120","39","0"
