"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","0","670","1648","581","1213","954","575","260","2197","3480","1599","761","605","31","0","387","229","27","159","123","75","17","356","668","323","23","129","0","0","0","0","0","122","0","8","0","79","59","53","43"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","0","290","809","87","564","358","590","263","926","1998","735","282","301","88","0","18","45","22","73","74","3","35","32","278","443","0","17","0","0","0","0","0","126","0","0","0","69","95","165","0"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","27","1218","1885","621","1829","1678","526","91","1181","2959","1300","774","567","0","0","362","745","40","511","152","0","13","230","211","276","0","158","0","0","51","0","0","0","0","0","0","0","9","0","0"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","23","609","591","366","951","214","623","343","799","2164","784","303","391","0","73","0","62","0","91","19","79","0","26","224","162","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","2","128","127","8","75","169","38","1","107","273","75","65","45","9","0","0","8","0","54","0","4","0","0","24","2","32","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","0","21","26","0","0","0","0","0","0","59","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","3","44","122","7","67","45","23","18","29","74","44","44","31","8","0","0","35","0","23","0","6","0","0","4","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","48","32","58","7","37","13","16","0","5","33","35","0","23","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","1","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","3","108","301","45","308","69","65","0","118","680","53","168","120","104","13","27","3","0","9","0","0","0","49","26","28","24","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","6","50","151","36","60","83","36","4","22","75","51","58","71","0","0","0","37","4","11","4","17","0","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","108","3700","3062","748","4110","4376","1699","706","4164","8667","4069","1147","2375","17","43","1227","558","136","610","450","87","13","502","753","1340","267","155","0","0","151","87","0","63","153","12","4","34","199","44","0"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","0","70","62","101","188","33","56","9","133","266","33","42","48","0","0","27","0","0","14","34","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","13","696","1085","314","913","526","394","33","471","1403","652","409","394","33","0","52","26","0","75","40","13","0","93","346","47","29","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","0","151","422","11","157","154","96","28","164","258","114","30","41","0","0","4","19","0","4","0","0","0","12","36","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","79","288","336","26","146","112","81","11","209","508","104","138","164","0","0","88","19","0","0","0","0","0","0","66","13","0","21","0","0","0","0","0","0","0","11","0","0","0","0","0"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","0","204","206","84","152","369","80","10","126","324","84","54","112","0","0","34","0","0","0","0","8","0","58","18","0","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","0","292","236","58","229","123","144","47","152","451","353","23","285","16","0","112","47","16","84","20","46","0","108","117","97","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","7","101","37","16","149","41","0","20","45","131","35","14","17","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","13","751","1096","494","2186","837","2602","404","3012","5882","1825","567","895","14","0","166","9","10","84","17","92","11","123","347","215","0","50","0","0","0","0","0","0","0","4","0","0","0","10","0"
"publicpolygonfeature:5:44544","ZIP Code 37143","country:us/state:tn/zip:37143","37143","0","169","117","0","262","55","84","42","204","412","128","41","127","0","0","32","29","0","27","8","11","0","42","33","0","59","0","0","0","0","0","0","0","0","0","0","7","0","0","0"
