"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","0","62","27","107","255","0","0","0","137","240","63","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","0","285","346","172","555","262","485","129","1389","1728","1307","128","234","18","0","167","0","0","0","0","0","9","15","0","0","20","26","0","0","0","0","0","0","0","0","12","77","21","0","0"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","0","133","55","321","80","30","101","8","164","533","91","103","42","0","0","49","0","0","7","4","0","0","9","61","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","0","141","146","26","131","117","96","0","171","197","499","21","39","0","0","4","0","0","35","0","5","0","6","14","0","0","34","0","0","0","0","0","11","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","15","1506","452","147","2414","2437","583","96","1440","2896","2637","731","858","0","0","77","129","192","355","15","175","0","175","362","778","14","167","0","0","0","0","0","0","0","0","0","0","0","24","0"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","28","491","447","209","678","460","843","183","1476","2317","1446","525","425","0","0","8","26","14","0","0","0","78","60","195","59","19","0","0","0","25","37","0","0","0","0","0","12","0","26","0"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","21","507","286","218","664","241","1060","80","2085","2284","939","72","443","0","0","0","12","0","85","27","13","0","27","57","33","0","0","0","0","6","39","0","0","10","0","0","15","0","0","0"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","0","393","155","39","1027","607","392","15","770","1033","1130","194","271","0","11","63","23","18","160","30","83","101","217","75","141","5","14","0","0","0","41","35","78","46","33","0","30","67","299","0"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","35","694","567","182","995","372","861","104","1337","3141","1519","281","364","4","0","68","20","14","101","88","0","0","163","123","186","10","20","0","0","0","0","0","64","0","0","0","2","77","7","0"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","114","968","543","285","1672","1275","563","92","1367","2697","1611","511","910","23","32","492","140","93","460","145","210","18","525","452","324","0","229","29","0","216","0","0","50","2","0","65","0","74","168","0"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","72","1766","632","237","2913","1755","893","208","1459","4017","3640","755","362","0","0","319","284","40","257","203","196","0","228","273","527","91","68","0","0","0","72","0","155","37","7","18","62","202","344","10"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","69","1070","817","220","807","1223","259","128","960","1203","1541","134","217","0","0","361","17","0","82","43","36","0","504","416","564","0","48","0","0","14","0","0","54","0","0","0","75","3","209","0"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","11","1301","614","226","1256","1130","287","181","1432","3341","1889","453","713","16","0","433","255","38","141","200","17","7","81","382","283","0","42","0","0","0","0","0","3","2","0","0","0","65","113","0"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","0","594","511","397","2362","1615","449","35","1247","2428","2435","555","467","22","0","356","94","31","518","217","82","0","158","280","1340","47","93","45","0","38","48","9","74","41","40","0","34","51","84","0"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","0","912","429","312","1545","1116","1042","206","1994","2347","2052","380","696","274","0","169","31","33","104","139","176","0","180","405","210","15","66","0","0","0","0","0","0","0","0","0","2","0","122","0"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","0","161","175","24","80","224","367","22","752","974","351","180","101","0","0","9","0","0","10","18","0","9","23","91","20","38","0","0","0","0","0","0","0","0","0","9","0","7","0","0"
