"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","0","142","70","41","162","98","75","60","83","597","115","125","148","0","0","20","0","0","31","31","0","0","57","19","43","73","9","0","0","0","0","0","0","0","0","0","35","6","0","0"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","22","254","480","234","1049","521","521","85","1231","3033","698","394","477","69","0","16","116","5","100","30","16","0","55","221","358","10","113","0","0","0","12","0","29","28","88","16","124","269","64","28"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","0","150","450","180","435","185","150","95","303","516","176","76","131","0","0","0","20","0","53","7","40","0","46","44","51","28","0","0","0","25","18","1","0","15","0","0","0","28","10","42"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","0","198","72","0","32","49","0","0","13","48","20","65","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","0","444","546","128","732","442","446","35","1071","1995","605","425","580","51","0","50","54","0","174","42","22","7","55","244","122","0","16","0","0","111","48","0","62","21","30","0","37","47","0","75"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","65","563","441","57","518","364","305","57","501","1097","375","341","265","0","17","70","14","0","78","11","27","0","75","118","40","27","62","0","0","0","0","0","0","17","0","0","0","0","0","0"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","0","129","108","0","405","175","126","30","190","1013","33","135","71","0","67","11","0","0","25","0","27","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","54","0","0","31","17","0","0","35","16","0","20","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","22","357","190","202","787","458","536","59","768","1400","472","268","231","0","0","0","184","0","6","0","0","0","43","36","22","33","34","0","0","0","17","24","0","32","8","0","29","13","24","35"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","0","353","199","84","584","543","200","71","292","1081","284","266","350","0","0","57","15","58","63","3","0","0","0","54","181","68","46","0","0","0","19","0","0","85","15","0","45","15","13","63"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","0","0","0","11","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","0","1134","1094","516","2601","1241","656","125","1664","4437","1246","698","705","23","0","82","88","28","444","176","25","0","84","258","251","41","23","0","0","94","9","0","86","61","11","30","25","170","17","65"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","18","429","524","172","701","451","161","31","405","1937","752","686","278","314","0","74","0","13","548","65","0","21","344","314","150","70","0","54","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","0","667","1159","263","2350","1300","494","294","1231","3107","812","1303","366","169","0","88","43","177","236","30","19","0","92","399","173","10","37","0","0","0","0","0","107","95","52","18","112","167","0","49"
