"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","0","170","228","5","193","216","148","49","483","895","155","76","129","28","0","35","51","0","0","16","48","0","60","72","17","17","14","0","0","63","138","0","286","129","34","59","448","581","421","97"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","7","877","501","130","583","1125","499","182","1161","1928","907","655","534","8","0","140","269","29","227","250","93","0","305","728","311","114","127","0","0","58","148","25","473","110","162","67","527","635","662","118"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","0","17","69","0","111","47","94","90","372","302","35","26","6","34","0","0","0","0","73","0","0","0","18","269","0","0","0","0","0","0","104","0","68","33","127","178","425","323","59","19"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","17","238","1704","343","587","444","529","455","2261","1766","686","301","214","15","0","0","248","15","44","78","46","186","287","175","47","7","72","12","0","0","114","0","10","42","55","115","332","125","91","17"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","116","687","397","77","941","138","750","156","857","1900","448","142","364","32","0","77","23","5","87","45","82","12","374","250","189","12","0","0","0","0","47","40","54","79","269","0","340","59","39","38"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","94","1088","817","252","878","505","170","463","1869","1919","1137","490","556","40","11","524","96","26","133","58","64","52","696","522","132","15","105","38","0","126","85","0","132","25","26","65","209","162","186","20"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","13","130","394","56","152","43","142","281","732","490","269","123","57","0","0","6","9","9","7","15","23","52","84","160","8","15","23","0","0","0","31","0","0","13","43","25","70","12","0","10"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1","66","50","0","184","67","72","29","231","691","105","59","113","0","0","0","73","0","20","7","0","7","52","213","16","13","12","0","0","13","0","0","15","8","60","103","247","88","32","60"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","120","1076","918","176","1485","1239","805","240","1932","3554","1166","730","750","0","13","162","128","0","313","61","74","84","392","573","250","106","171","0","0","0","8","0","80","101","130","30","156","113","121","57"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","0","0","11","0","0","39","16","12","147","39","40","0","0","0","0","0","0","0","106","0","0","15","0","0","0","0","0","0","0","0","30","0","132","0","0","0","83","72","27","0"
