"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Commute by Drive Alone (2020-2024)","Workers in Construction who Commute by Drive Alone (2020-2024)","Workers in Manufacturing who Commute by Drive Alone (2020-2024)","Workers in Wholesale Trade who Commute by Drive Alone (2020-2024)","Workers in Retail Trade who Commute by Drive Alone (2020-2024)","Workers in Transportation who Commute by Drive Alone (2020-2024)","Workers in Finance and Insurance who Commute by Drive Alone (2020-2024)","Workers in Information who Commute by Drive Alone (2020-2024)","Workers in Scientific and Professional who Commute by Drive Alone (2020-2024)","Workers in Education and Health Care who Commute by Drive Alone (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Alone (2020-2024)","Workers in Public Administration who Commute by Drive Alone (2020-2024)","Workers in Other Services who Commute by Drive Alone (2020-2024)","Workers in Armed Forces who Commute by Drive Alone (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Drive Carpool (2020-2024)","Workers in Construction who Commute by Drive Carpool (2020-2024)","Workers in Manufacturing who Commute by Drive Carpool (2020-2024)","Workers in Wholesale Trade who Commute by Drive Carpool (2020-2024)","Workers in Retail Trade who Commute by Drive Carpool (2020-2024)","Workers in Transportation who Commute by Drive Carpool (2020-2024)","Workers in Finance and Insurance who Commute by Drive Carpool (2020-2024)","Workers in Information who Commute by Drive Carpool (2020-2024)","Workers in Scientific and Professional who Commute by Drive Carpool (2020-2024)","Workers in Education and Health Care who Commute by Drive Carpool (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Drive Carpool (2020-2024)","Workers in Public Administration who Commute by Drive Carpool (2020-2024)","Workers in Other Services who Commute by Drive Carpool (2020-2024)","Workers in Armed Forces who Commute by Drive Carpool (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Public Transit (2020-2024)","Workers in Construction who Commute by Public Transit (2020-2024)","Workers in Manufacturing who Commute by Public Transit (2020-2024)","Workers in Wholesale Trade who Commute by Public Transit (2020-2024)","Workers in Retail Trade who Commute by Public Transit (2020-2024)","Workers in Transportation who Commute by Public Transit (2020-2024)","Workers in Finance and Insurance who Commute by Public Transit (2020-2024)","Workers in Information who Commute by Public Transit (2020-2024)","Workers in Scientific and Professional who Commute by Public Transit (2020-2024)","Workers in Education and Health Care who Commute by Public Transit (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Public Transit (2020-2024)","Workers in Public Administration who Commute by Public Transit (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","7","385","479","264","924","417","1182","147","1455","2538","1089","382","282","37","0","14","46","0","120","24","140","18","64","166","93","22","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","10","626","392","226","652","323","1176","116","1761","2289","677","324","160","71","0","18","41","0","68","31","143","0","131","133","42","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","0","658","579","435","928","792","442","235","1229","1377","549","143","582","110","0","97","132","0","82","130","0","42","259","142","235","77","35","0","1","0","0","0","0","0","0","0","0","25","0","0"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","56","632","638","189","1163","654","703","35","972","1545","653","233","492","46","0","77","105","21","103","83","86","0","152","230","58","66","138","46","0","0","0","0","0","0","25","0","74","0","0","0"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","18","902","491","48","1341","540","425","33","547","1887","567","557","388","0","0","137","45","0","72","22","0","0","18","239","39","24","51","0","0","0","0","0","32","0","0","0","0","173","0","0"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","0","553","617","146","1162","512","694","148","1019","1589","737","235","322","0","0","9","96","6","32","19","21","21","69","119","91","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","39","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","0","0","0","14","0","14","0","46","16","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","23","654","474","91","1038","483","221","62","936","1544","866","387","264","0","0","29","25","24","139","15","133","29","68","75","157","0","82","0","0","0","0","0","0","0","29","0","0","38","0","9"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","12","465","303","223","490","215","497","85","694","1476","760","284","249","22","0","102","31","0","0","35","37","17","119","93","136","36","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","53","433","612","193","777","479","517","141","1397","2366","1171","334","435","14","33","40","146","0","358","40","69","0","105","32","92","0","19","0","0","0","0","0","28","0","20","0","0","76","11","56"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","4","190","348","150","308","231","568","161","637","699","380","81","144","15","0","0","0","7","34","0","50","0","40","38","62","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","0","350","349","99","888","441","700","64","712","1848","851","382","171","62","0","45","0","0","87","0","23","0","50","15","204","0","17","0","0","0","0","0","0","0","0","0","0","0","11","0"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","40","284","316","68","664","128","384","95","391","1070","335","244","208","0","0","10","10","66","60","0","11","23","143","47","38","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","26","688","700","205","1185","333","496","66","957","1593","729","157","722","11","0","68","62","62","70","0","34","21","44","221","108","6","49","14","0","0","0","36","19","57","18","0","38","9","25","0"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","47","767","1252","240","1923","424","745","107","1820","2426","1220","543","434","0","69","29","66","93","62","44","200","3","112","268","108","110","115","0","0","0","0","0","0","0","0","0","0","23","77","29"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","7","259","221","127","507","271","338","43","345","1411","800","224","177","24","0","209","0","0","41","0","15","0","28","248","138","161","26","0","0","0","36","0","148","0","0","0","24","54","162","0"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","10","975","388","245","1046","512","566","103","943","2542","1102","482","579","11","0","61","86","0","73","0","44","29","234","244","207","16","84","0","0","70","0","0","61","0","7","6","108","0","56","20"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","10","323","564","111","1049","391","675","102","872","2399","953","393","407","50","0","125","315","21","33","15","0","0","71","156","117","21","58","0","0","0","42","0","0","0","0","18","0","0","1","0"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","86","254","946","265","1212","402","577","85","930","1812","870","390","394","29","0","43","32","55","99","65","13","0","143","83","73","28","32","0","0","0","0","0","0","0","0","0","0","0","44","0"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","0","108","92","121","46","34","134","19","125","260","248","15","52","0","0","0","0","0","4","0","42","18","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","0","31","37","8","13","8","66","0","57","157","30","13","14","0","0","0","0","3","0","0","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
