"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","0","0","0","0","10","0","0","25","37","0","42","39","52","0","0","0","0","0","10","20","71","20","0","0","53","9","96","11","0","0"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","0","20","0","66","27","10","174","80","111","16","47","15","42","0","0","9","0","32","0","6","72","30","0","0","33","75","101","9","11","0"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","44","0","0","8","0","0","90","0","25","0","106","32","53","0","0","0","0","7","8","0","39","8","32","0","26","47","23","0","18","0"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","0","0","0","0","10","0","58","0","12","0","9","0","9","0","0","0","30","111","43","7","0","0","6","0","67","28","67","0","0","0"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","0","0","0","0","0","0","28","0","91","0","18","10","75","0","0","44","0","55","0","0","32","31","58","0","13","6","32","12","0","0"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","16","0","0","0","0","0","9","0","11","17","4","0","0","5","0","0","0","7","0","11","0","26","84","0","0","0","33","0","0","0"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","14","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","0","0","0","0","0","7","11","8","0","0","0","23","6","0","0","0","0","35","0","0","0","0","14","0","0","161","37","0","0","0"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","0","0","0","12","41","0","17","0","0","0","0","0","14","0","0","0","0","0","17","0","42","0","14","0","0","5","16","0","18","0"
"publicpolygonfeature:5:41047","ZIP Code 27054","country:us/state:nc/zip:27054","27054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41049","ZIP Code 28098","country:us/state:nc/zip:28098","28098","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","12","0","0","0"
"publicpolygonfeature:5:41053","ZIP Code 28101","country:us/state:nc/zip:28101","28101","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41054","ZIP Code 28102","country:us/state:nc/zip:28102","28102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41144","ZIP Code 28270","country:us/state:nc/zip:28270","28270","11","0","0","0","0","0","38","0","0","0","5","18","0","0","0","0","0","0","0","0","8","0","0","0","26","7","0","0","41","0"
"publicpolygonfeature:5:41147","ZIP Code 28273","country:us/state:nc/zip:28273","28273","199","0","0","0","0","0","2","0","7","5","0","17","19","0","0","0","0","9","24","16","102","281","53","0","93","27","56","0","29","61"
"publicpolygonfeature:5:41153","ZIP Code 28277","country:us/state:nc/zip:28277","28277","0","0","0","0","25","0","41","13","18","0","32","42","303","0","0","5","0","0","110","0","5","33","55","14","26","59","327","0","20","0"
"publicpolygonfeature:5:41194","ZIP Code 28012","country:us/state:nc/zip:28012","28012","7","0","0","0","10","0","16","0","9","0","112","43","11","0","0","14","16","0","20","0","29","32","0","0","0","15","24","11","0","0"
"publicpolygonfeature:5:41199","ZIP Code 28278","country:us/state:nc/zip:28278","28278","0","0","0","0","0","0","33","0","42","0","0","18","22","0","0","0","0","0","12","41","34","34","18","0","179","22","49","0","0","0"
"publicpolygonfeature:5:41204","ZIP Code 28280","country:us/state:nc/zip:28280","28280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41208","ZIP Code 28282","country:us/state:nc/zip:28282","28282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41400","ZIP Code 28006","country:us/state:nc/zip:28006","28006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41401","ZIP Code 28007","country:us/state:nc/zip:28007","28007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41404","ZIP Code 28016","country:us/state:nc/zip:28016","28016","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","12","0","0","0","0","4","0","0","0","0","0"
"publicpolygonfeature:5:41412","ZIP Code 28021","country:us/state:nc/zip:28021","28021","0","0","0","0","0","0","54","0","0","0","8","0","0","0","0","0","0","8","0","0","0","0","0","0","12","36","19","0","0","0"
"publicpolygonfeature:5:41413","ZIP Code 28023","country:us/state:nc/zip:28023","28023","0","0","0","0","64","0","0","0","0","0","0","13","8","0","0","0","0","0","7","0","0","0","0","0","43","0","0","0","0","0"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","0","0","0","0","0","0","46","0","0","0","45","174","0","0","20","0","0","0","44","0","41","112","6","0","55","19","9","18","0","0"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","12","0","0","0","0","0"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","0","0","126","0","10","0","149","0","22","0","74","43","16","14","0","0","0","148","3","19","117","176","76","0","101","0","164","0","0","0"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","0","0","0","0","0","21","34","10","10","0","0","52","26","0","0","33","0","43","14","0","17","25","0","0","15","42","28","0","0","0"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","0","0","0","0","0","0","15","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","0","0","0","61","0","0","0","0","0","0","2","49","33","0","0","0","0","0","0","0","35","8","0","0","8","10","24","7","12","0"
