"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","134","0","40","9","0","0","0","0","68","0","0","0"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","46","0","15","0","11","0","0","0","0","0","26","0","0","0","19","9","0","0","0","0","11","0","0","0","0","0","0","0","2","0"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","0","0","0","0","0","0","1","17","70","0","294","130","211","29","0","65","0","0","41","0","0","0","0","0","4","0","10","0","4","0"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","0","0","0","0","28","0","67","16","0","0","60","124","88","9","0","0","19","34","17","0","43","0","13","42","102","31","5","0","0","0"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","0","0","0","0","0","0","100","0","0","16","11","82","120","0","0","0","0","13","0","0","5","0","10","0","13","38","20","0","10","0"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","0","0","0","0","0","0","62","0","33","0","2","104","27","0","0","55","0","0","21","2","19","15","19","10","11","14","24","0","17","0"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","0","0","0","0","0","40","58","5","13","0","20","118","86","0","0","12","0","0","3","0","5","0","0","4","108","95","44","10","6","0"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","0","0","0","0","0","0","11","20","0","2","2","49","0","0","0","6","0","0","0","0","43","2","0","0","29","38","1","0","6","0"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","12","0","0","0","21","0","96","82","13","0","92","586","144","0","21","17","0","17","59","15","10","7","20","24","252","6","27","0","0","0"
