"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","47","0","0","22","30","17","151","0","42","0","55","92","133","0","0","158","0","17","15","10","115","29","71","0","91","255","213","10","11","0"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","52","0","14","57","0","11","96","0","0","0","50","48","90","0","0","0","14","36","94","60","185","3","12","0","62","237","21","0","12","0"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","2","0","0","0","0","0","100","47","17","0","63","64","66","0","0","117","0","90","85","0","18","82","43","0","53","134","87","0","72","0"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","24","0","0","0","0","0","38","14","0","0","0","45","50","0","0","22","3","39","37","8","39","16","6","0","0","9","0","18","44","0"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","18","0","0","0","0","0","60","0","45","10","30","52","83","0","0","19","0","57","59","13","96","16","83","0","37","37","29","13","91","0"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","0","0","0","0","0","0","43","0","76","0","0","33","86","0","0","0","0","129","127","65","128","175","10","13","41","97","119","10","13","0"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","0","0","0","0","0","15","99","0","7","0","0","62","46","0","0","0","0","20","90","10","0","9","26","0","16","0","20","0","0","0"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","0","0","0","0","0","0","10","0","10","21","0","31","22","0","0","10","0","23","0","0","13","8","20","0","64","52","19","8","0","17"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","0","0","0","0","0","0","10","0","0","0","39","0","0","0","0","0","0","22","0","0","0","24","0","0","0","33","31","0","22","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","86","0","0","28","56","0","193","0","18","0","79","85","140","0","0","0","3","69","26","0","92","90","37","46","168","460","366","0","175","0"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","48","0","0","0","0","47","25","0","34","0","94","109","79","0","13","61","5","16","68","0","246","216","112","0","244","85","69","0","129","0"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","127","0","0","21","16","0","127","0","32","0","31","7","110","0","0","14","0","6","138","13","114","84","48","14","59","141","86","0","130","0"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","3","0","0","34","0","0","36","0","36","0","0","25","153","0","0","0","0","93","105","0","175","0","81","13","98","353","47","0","84","0"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","38","0","0","0","13","0","10","16","53","0","104","102","166","0","0","0","0","0","0","0","129","12","17","113","163","67","56","23","0","0"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","0","0","0","0","0","0","18","0","0","0","0","35","7","0","0","0","0","0","0","0","3","42","38","0","24","30","11","26","39","0"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","0","0","8","0","0","0","19","12","0","0","15","123","18","0","0","0","0","0","15","0","141","28","54","0","73","77","233","0","65","0"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","0","0","0","0","0","0","11","0","0","0","0","27","0","0","0","0","0","0","0","0","73","87","27","0","0","0","0","16","0","0"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","11","0","0","0","0","13","0","0","10","0","0","45","120","0","0","0","0","0","9","25","79","57","23","25","29","40","27","0","0","0"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","14","0","0","46","30","49","67","0","117","0","26","47","29","0","29","18","0","28","102","95","42","248","34","58","49","27","113","0","37","0"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","255","0","0","14","10","0","150","0","42","54","47","176","161","0","0","30","0","45","0","10","181","251","27","44","102","120","0","38","87","0"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","114","0","0","0","20","11","82","0","0","0","3","12","15","15","0","0","0","59","0","36","250","34","17","0","185","140","71","41","28","0"
