"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","0","0","0","0","0","0","0","40","0","0","0","0","19","0","0","0","0","26","0","0","51","30","0","0","21","18","25","0","0","0"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","0","0","0","0","0","0","36","0","0","0","49","52","21","0","0","0","0","0","0","0","0","7","24","0","0","69","20","0","15","0"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","151","0","3","86","35","0","178","11","0","0","48","152","118","0","0","17","0","23","7","13","36","0","48","0","44","156","56","0","0","8"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","0","0","0","0","0","0","0","0","0","0","44","5","30","0","0","0","0","0","0","0","0","0","0","0","10","27","0","0","6","0"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","74","0","1","0","0","0","23","0","0","0","1","9","23","0","0","0","0","24","8","0","0","0","0","0","0","11","0","9","0","0"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","0","0","0","23","1","0","25","0","0","0","92","20","45","0","0","0","0","0","0","0","36","18","46","0","0","124","0","0","73","0"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","0","0","0","4","0","17","84","0","68","0","209","179","148","7","0","0","0","25","96","52","53","179","0","0","183","184","62","0","0","0"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","0","0","0","0","0","0","18","15","150","0","0","30","92","0","0","29","0","0","0","0","0","46","0","0","43","97","14","0","0","0"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","55","0","0","11","0","10","18","8","15","0","17","26","79","0","0","0","0","38","5","16","35","31","82","0","18","67","24","0","0","0"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","17","0","0","0","0","0","99","0","123","0","0","54","77","0","0","0","0","0","10","19","12","0","0","0","37","152","51","0","35","0"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","0","0","0","14","6","0","22","0","0","0","0","52","12","11","0","0","0","0","0","0","44","20","0","0","0","12","0","0","31","0"
