"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","0","0","0","43","0","0","35","0","47","0","59","0","12","0","0","0","0","0","22","0","5","28","3","0","11","0","91","0","0","0"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","0","0","0","0","0","0","0","0","0","0","18","15","0","0","0","0","0","11","0","0","11","34","19","0","6","56","16","0","11","0"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","1","0","0","12","16","0","0","13","20","62","15","0","0","0"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","24","0","0","0","0","0","123","0","16","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","142","0","0","0","7","0"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","0","0","0","25","0","0","30","0","0","12","0","0","37","26","0","0","0","17","0","18","0","58","57","0","20","45","12","0","5","0"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","0","0","0","0","11","0","18","0","0","0","18","0","0","0","0","0","0","54","16","0","83","0","0","18","9","0","0","0","16","0"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","0","0","0","8","0","0","0","0","0","0","18","20","54","0","0","0","0","26","18","0","47","46","47","19","46","20","0","0","6","0"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","3","0","0","16","0","0","0","11","11","61","16","28","10","0","0","0","0","0","0","0","39","0","0","0","0","7","17","0","0","0"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","18","0","0","0","0","12","0","0","33","0","7","166","21","0","0","0","0","33","8","0","10","5","0","0","158","60","74","0","99","0"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","0","0","0","0","0","0","11","0","0","0","0","48","28","0","0","0","0","0","9","0","18","21","14","0","0","17","56","8","0","0"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","15","0","0","0","0","0","0","26","54","0","1","117","71","0","0","71","0","33","0","0","45","0","5","0","63","69","43","0","0","0"
