"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","100","458","536","94","248","378","431","394","2302","692","181","519","310","0","25","658","1019","142","1384","567","1225","252","2139","2646","1295","1005","679","0","5057","272","888","122","304","0","7790","1498","2434","466","848","0"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","38","85","221","48","285","133","645","318","1813","751","268","158","285","0","65","521","372","96","823","99","446","698","1692","2207","760","353","439","0","4064","248","641","0","95","0","5771","946","970","444","440","0"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","0","277","584","88","570","80","625","449","3635","690","274","387","207","0","184","2093","1449","465","2352","990","1293","640","4562","4052","2187","470","1368","111","5833","334","1324","51","324","0","10268","4225","3359","2203","2161","0"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","0","13","7","0","0","0","2","0","26","25","0","17","4","0","28","144","119","30","196","47","39","5","139","169","16","64","66","0","54","19","21","0","0","0","193","239","185","205","240","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","0","10","38","9","28","0","79","0","47","126","0","30","47","0","105","500","134","17","149","98","25","27","211","168","61","183","60","0","248","10","94","24","38","0","556","296","195","460","231","0"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","0","4","42","0","10","22","20","0","56","1","0","0","0","0","12","114","158","19","101","33","66","0","221","106","60","57","58","98","83","0","29","0","43","0","415","109","167","154","258","0"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","0","26","17","0","7","49","35","75","277","160","35","56","43","0","161","1465","477","172","1300","254","357","75","738","1477","690","446","367","18","568","42","141","24","5","0","2634","1394","1459","1427","1083","0"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","24","94","61","39","116","131","97","21","247","189","49","224","58","0","184","1091","945","208","1177","478","358","87","903","1426","643","372","608","0","801","118","241","89","101","0","2730","1363","2101","969","1317","0"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","5","0","2","0","12","0","3","0","16","44","0","9","0","0","0","102","50","0","81","33","13","0","25","262","10","32","136","33","76","0","15","0","0","0","214","232","132","60","106","33"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","7","18","156","0","52","57","219","89","884","388","84","166","82","213","123","1927","1600","226","1831","1086","506","347","1178","3899","1205","839","707","541","1281","390","479","39","83","143","5935","2493","2804","2494","2054","235"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","0","76","80","0","271","44","469","431","2032","324","241","9","84","9","9","6","311","279","133","21","646","72","1558","732","333","268","322","23","3516","0","515","0","30","9","3569","410","624","6","93","11"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","34","121","249","101","332","182","639","584","2512","505","261","545","212","0","51","729","965","298","1166","188","697","448","2523","2037","990","734","179","0","4859","236","1156","26","0","0","6601","1092","1894","519","899","0"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","107","209","426","85","253","32","511","164","2173","623","309","194","129","0","90","254","577","22","713","77","1248","146","1857","2429","716","340","288","0","3964","137","915","26","173","0","6460","500","1373","60","364","0"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","0","313","294","143","584","239","528","50","1504","622","155","628","220","10","73","1949","1970","574","1909","1357","1350","411","2330","4080","1796","2288","812","0","3743","217","1072","73","185","0","9006","2835","4368","1859","2831","0"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","164","391","52","0","33","74","161","0","151","176","53","226","96","0","55","957","498","66","338","627","203","21","850","1188","698","399","376","0","939","44","450","70","74","0","1889","1212","1183","827","1165","0"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","51","317","706","226","559","254","1763","991","5348","1749","580","461","491","0","160","1187","1308","217","1615","936","1753","699","4903","4457","1799","739","998","36","10606","279","2219","202","190","0","11944","2987","4030","925","921","0"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","20","96","156","10","262","20","287","44","801","1233","134","206","63","0","81","338","728","86","1415","327","608","371","836","5308","2020","278","235","0","2211","286","644","47","144","0","6375","2490","2870","274","622","0"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","48","381","1386","373","1111","445","1914","885","4747","1537","438","567","260","19","133","1792","3267","641","4399","1518","2637","644","5043","7223","2939","1669","1616","10","10850","440","2449","173","180","19","18033","4313","6299","1866","3010","10"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","22","0","2","4","12","0","11","0","44","10","0","10","20","0","21","86","45","7","59","58","23","0","32","98","61","72","7","0","79","14","31","1","10","0","214","100","61","96","98","0"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","0","109","0","0","0","0","38","14","23","13","0","141","0","0","152","1188","393","29","330","223","109","30","523","496","452","118","266","0","176","0","57","105","0","0","880","925","702","1278","524","0"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","100","65","58","10","14","38","375","12","52","413","69","84","129","0","99","2157","694","81","1931","569","471","93","1000","2149","1173","948","849","0","517","257","387","168","90","0","2738","2243","2418","2878","1937","0"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","85","198","505","99","244","198","501","213","1393","501","193","101","262","55","87","445","696","99","811","298","615","73","747","1694","490","342","278","32","3291","128","776","197","156","0","3869","789","1119","299","612","19"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","0","136","121","0","8","0","221","26","611","230","9","31","28","0","60","108","227","69","142","59","119","31","190","414","93","68","139","0","957","0","444","20","0","0","745","178","554","68","174","0"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","28","128","305","73","180","260","283","131","422","422","15","257","187","0","80","2103","1051","118","1472","575","433","58","1041","1786","1037","1200","548","0","1199","233","798","171","290","0","3727","2044","1978","1740","2013","0"
