"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","0","235","426","97","183","132","1266","165","1501","465","163","74","70","15","9","703","829","193","1239","566","1890","188","1834","2284","973","38","406","12","3410","168","905","114","180","15","6913","1045","1966","455","773","12"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","7","194","513","235","389","173","1649","298","1945","561","130","69","299","39","70","2300","1859","348","2016","884","2711","249","2650","3561","1892","109","964","67","4480","221","1647","113","40","0","8743","2896","4015","2051","1951","24"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","0","75","440","0","135","253","1312","112","1298","520","65","14","178","0","17","926","760","315","870","315","2163","245","2412","2450","908","186","662","38","3027","149","964","68","194","0","7088","1257","2382","537","965","38"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","103","125","160","40","349","427","651","123","520","520","234","0","108","27","62","3065","1345","202","2311","1246","609","332","2078","2532","1723","276","969","32","1124","461","1078","136","588","0","3693","3838","2975","3201","3075","0"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","11","0","0","0","11","0","0","0","0","0","0","0","0","11","0","0","48","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","40","522","292","105","680","724","1266","234","1269","1370","293","394","445","20","0","2432","1197","258","2493","1414","1194","200","1763","2930","1749","536","673","39","3401","811","1811","525","1086","20","5815","2688","3742","2177","2445","11"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","28","172","655","224","354","295","1499","228","1599","671","172","82","158","0","0","1086","694","283","1509","461","2312","234","2043","2535","1372","193","803","7","4579","192","1149","93","124","0","7437","1498","2600","847","1144","6"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","7","21","77","0","28","18","0","0","36","49","0","0","9","0","88","207","501","132","453","240","43","39","133","390","146","80","68","0","41","56","38","57","53","0","751","210","518","210","831","0"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","10","0","107","103","151","6","400","71","208","209","129","25","26","0","84","1184","1599","411","2163","948","545","0","1601","2798","1109","806","458","57","790","139","473","0","43","0","4153","2285","2652","1710","2963","0"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","0","85","5","0","165","30","351","153","298","127","197","51","19","0","194","1112","1423","308","2082","898","557","125","686","2263","1150","338","764","23","641","229","498","77","36","0","4435","1311","2460","1353","2351","13"
